chrom	length	bases	mean	min	max
ptg000070l_1	277397	2077162	7.49	0	27
ptg000070l_1_region	277397	2077162	7.49	0	27
ptg000071l_1	78417	505539	6.45	0	15
ptg000071l_1_region	78417	505539	6.45	0	15
ptg000073l_1	878729	7282688	8.29	0	44
ptg000073l_1_region	878729	7282688	8.29	0	44
ptg000074l_1	4297895	35621063	8.29	0	37
ptg000074l_1_region	4297895	35621063	8.29	0	37
ptg000075l_1	38822	275398	7.09	0	17
ptg000075l_1_region	38822	275398	7.09	0	17
ptg000076l_1	1161857	8867262	7.63	0	22
ptg000076l_1_region	1161857	8867262	7.63	0	22
ptg000077l_1	2020233	13568715	6.72	0	31
ptg000077l_1_region	2020233	13568715	6.72	0	31
ptg000081l_1	1003219	8471343	8.44	0	30
ptg000081l_1_region	1003219	8471343	8.44	0	30
ptg000082l_1	765665	8017645	10.47	0	79
ptg000082l_1_region	765665	8017645	10.47	0	79
ptg000083l_1	135166	1079092	7.98	0	90
ptg000083l_1_region	135166	1079092	7.98	0	90
ptg000084l_1	652496	5036049	7.72	0	25
ptg000084l_1_region	652496	5036049	7.72	0	25
ptg000085l_1	591990	7049786	11.91	0	42
ptg000085l_1_region	591990	7049786	11.91	0	42
ptg000086l_1	1566885	12555218	8.01	0	77
ptg000086l_1_region	1566885	12555218	8.01	0	77
ptg000087l_1	231933	1330805	5.74	0	34
ptg000087l_1_region	231933	1330805	5.74	0	34
ptg000088l_1	310722	1928289	6.21	0	20
ptg000088l_1_region	310722	1928289	6.21	0	20
ptg000089l_1	90642	817298	9.02	0	22
ptg000089l_1_region	90642	817298	9.02	0	22
ptg000090l_1	94161	584585	6.21	0	14
ptg000090l_1_region	94161	584585	6.21	0	14
ptg000091l_1	106474	646239	6.07	0	45
ptg000091l_1_region	106474	646239	6.07	0	45
ptg000092l_1	94983	575193	6.06	0	35
ptg000092l_1_region	94983	575193	6.06	0	35
ptg000093l_1	1559311	13497945	8.66	0	25
ptg000093l_1_region	1559311	13497945	8.66	0	25
ptg000095l_1	366653	2684762	7.32	0	19
ptg000095l_1_region	366653	2684762	7.32	0	19
ptg000096l_1	661661	5171896	7.82	0	23
ptg000096l_1_region	661661	5171896	7.82	0	23
ptg000097l_1	707944	5699111	8.05	0	27
ptg000097l_1_region	707944	5699111	8.05	0	27
ptg000099l_1	853229	7182761	8.42	0	22
ptg000099l_1_region	853229	7182761	8.42	0	22
ptg000100l_1	2744947	22025413	8.02	0	33
ptg000100l_1_region	2744947	22025413	8.02	0	33
ptg000102l_1	1396630	10698219	7.66	0	30
ptg000102l_1_region	1396630	10698219	7.66	0	30
ptg000103l_1	1067840	7575537	7.09	0	58
ptg000103l_1_region	1067840	7575537	7.09	0	58
ptg000104l_1	262532	2235777	8.52	0	22
ptg000104l_1_region	262532	2235777	8.52	0	22
ptg000105l_1	872662	7312505	8.38	0	46
ptg000105l_1_region	872662	7312505	8.38	0	46
ptg000106l_1	1048502	7512497	7.16	0	31
ptg000106l_1_region	1048502	7512497	7.16	0	31
ptg000108l_1	2785599	22541017	8.09	0	31
ptg000108l_1_region	2785599	22541017	8.09	0	31
ptg000109l_1	2056794	16647936	8.09	0	36
ptg000109l_1_region	2056794	16647936	8.09	0	36
ptg000110l_1	1165893	9640451	8.27	0	55
ptg000110l_1_region	1165893	9640451	8.27	0	55
ptg000111l_1	860410	6954385	8.08	0	29
ptg000111l_1_region	860410	6954385	8.08	0	29
ptg000112l_1	310037	2196729	7.09	0	20
ptg000112l_1_region	310037	2196729	7.09	0	20
ptg000115l_1	2335839	19415654	8.31	0	27
ptg000115l_1_region	2335839	19415654	8.31	0	27
ptg000116l_1	469499	3680409	7.84	0	21
ptg000116l_1_region	469499	3680409	7.84	0	21
ptg000117l_1	406753	2888439	7.10	0	31
ptg000117l_1_region	406753	2888439	7.10	0	31
ptg000119l_1	1807034	13798538	7.64	0	36
ptg000119l_1_region	1807034	13798538	7.64	0	36
ptg000120l_1	1323317	11935374	9.02	0	27
ptg000120l_1_region	1323317	11935374	9.02	0	27
ptg000121l_1	280342	1882673	6.72	0	21
ptg000121l_1_region	280342	1882673	6.72	0	21
ptg000122l_1	1056360	8172093	7.74	0	29
ptg000122l_1_region	1056360	8172093	7.74	0	29
ptg000123l_1	725853	5741460	7.91	0	24
ptg000123l_1_region	725853	5741460	7.91	0	24
ptg000126l_1	296254	2906524	9.81	0	36
ptg000126l_1_region	296254	2906524	9.81	0	36
ptg000127l_1	1299274	9470039	7.29	0	30
ptg000127l_1_region	1299274	9470039	7.29	0	30
ptg000128l_1	708623	8547712	12.06	0	34
ptg000128l_1_region	708623	8547712	12.06	0	34
ptg000130l_1	154507	994529	6.44	0	17
ptg000130l_1_region	154507	994529	6.44	0	17
ptg000131l_1	241907	1554178	6.42	0	23
ptg000131l_1_region	241907	1554178	6.42	0	23
ptg000132l_1	725834	5480128	7.55	0	43
ptg000132l_1_region	725834	5480128	7.55	0	43
ptg000134l_1	744042	8972053	12.06	0	168
ptg000134l_1_region	744042	8972053	12.06	0	168
ptg000135l_1	2688661	22618365	8.41	0	25
ptg000135l_1_region	2688661	22618365	8.41	0	25
ptg000136l_1	3783687	32129578	8.49	0	93
ptg000136l_1_region	3783687	32129578	8.49	0	93
ptg000137l_1	112738	1056517	9.37	0	21
ptg000137l_1_region	112738	1056517	9.37	0	21
ptg000139l_1	1120073	8736801	7.80	0	35
ptg000139l_1_region	1120073	8736801	7.80	0	35
ptg000140l_1	415772	3295134	7.93	0	20
ptg000140l_1_region	415772	3295134	7.93	0	20
ptg000141l_1	624560	5714706	9.15	0	40
ptg000141l_1_region	624560	5714706	9.15	0	40
ptg000143l_1	3964861	31736480	8.00	0	65
ptg000143l_1_region	3964861	31736480	8.00	0	65
ptg000144l_1	205279	1607385	7.83	0	24
ptg000144l_1_region	205279	1607385	7.83	0	24
ptg000145l_1	499346	3785789	7.58	0	49
ptg000145l_1_region	499346	3785789	7.58	0	49
ptg000146l_1	308568	2036554	6.60	0	17
ptg000146l_1_region	308568	2036554	6.60	0	17
ptg000147l_1	628175	4977440	7.92	0	40
ptg000147l_1_region	628175	4977440	7.92	0	40
ptg000148l_1	1586636	9505264	5.99	0	22
ptg000148l_1_region	1586636	9505264	5.99	0	22
ptg000150l_1	646464	5143182	7.96	0	26
ptg000150l_1_region	646464	5143182	7.96	0	26
ptg000151l_1	271719	1868705	6.88	0	31
ptg000151l_1_region	271719	1868705	6.88	0	31
ptg000152l_1	215081	1671432	7.77	0	19
ptg000152l_1_region	215081	1671432	7.77	0	19
ptg000153l_1	230373	1562812	6.78	0	15
ptg000153l_1_region	230373	1562812	6.78	0	15
ptg000154l_1	1446940	11062574	7.65	0	29
ptg000154l_1_region	1446940	11062574	7.65	0	29
ptg000155l_1	244340	1680432	6.88	0	22
ptg000155l_1_region	244340	1680432	6.88	0	22
ptg000162l_1	3431271	39786544	11.60	0	180
ptg000162l_1_region	3431271	39786544	11.60	0	180
ptg000166l_1	341311	3237371	9.49	0	26
ptg000166l_1_region	341311	3237371	9.49	0	26
ptg000167l_1	226411	1525687	6.74	0	16
ptg000167l_1_region	226411	1525687	6.74	0	16
ptg000168l_1	1618980	12891938	7.96	0	30
ptg000168l_1_region	1618980	12891938	7.96	0	30
ptg000171l_1	311500	3409990	10.95	0	27
ptg000171l_1_region	311500	3409990	10.95	0	27
ptg000172l_1	1061725	9175473	8.64	0	33
ptg000172l_1_region	1061725	9175473	8.64	0	33
ptg000173l_1	1969476	15424203	7.83	0	26
ptg000173l_1_region	1969476	15424203	7.83	0	26
ptg000174l_1	113307	289986	2.56	0	23
ptg000174l_1_region	113307	289986	2.56	0	23
ptg000175l_1	913822	7009582	7.67	0	26
ptg000175l_1_region	913822	7009582	7.67	0	26
ptg000176l_1	282886	2070364	7.32	0	39
ptg000176l_1_region	282886	2070364	7.32	0	39
ptg000179l_1	975029	6444539	6.61	0	26
ptg000179l_1_region	975029	6444539	6.61	0	26
ptg000180l_1	2098151	19610179	9.35	0	85
ptg000180l_1_region	2098151	19610179	9.35	0	85
ptg000181l_1	1229614	9747545	7.93	0	30
ptg000181l_1_region	1229614	9747545	7.93	0	30
ptg000182l_1	1016035	8475163	8.34	0	34
ptg000182l_1_region	1016035	8475163	8.34	0	34
ptg000183l_1	1412545	11204194	7.93	0	25
ptg000183l_1_region	1412545	11204194	7.93	0	25
ptg000184l_1	1114327	12312790	11.05	0	194
ptg000184l_1_region	1114327	12312790	11.05	0	194
ptg000185l_1	898203	7210952	8.03	0	24
ptg000185l_1_region	898203	7210952	8.03	0	24
ptg000187l_1	301322	2405286	7.98	0	24
ptg000187l_1_region	301322	2405286	7.98	0	24
ptg000188l_1	112124	681433	6.08	0	23
ptg000188l_1_region	112124	681433	6.08	0	23
ptg000189l_1	350341	2490760	7.11	0	21
ptg000189l_1_region	350341	2490760	7.11	0	21
ptg000190l_1	681470	5677998	8.33	0	32
ptg000190l_1_region	681470	5677998	8.33	0	32
ptg000191l_1	3187155	25393252	7.97	0	35
ptg000191l_1_region	3187155	25393252	7.97	0	35
ptg000194l_1	207100	1348959	6.51	0	22
ptg000194l_1_region	207100	1348959	6.51	0	22
ptg000195l_1	448496	3719364	8.29	0	22
ptg000195l_1_region	448496	3719364	8.29	0	22
ptg000197l_1	288531	2897571	10.04	0	24
ptg000197l_1_region	288531	2897571	10.04	0	24
ptg000198l_1	1222818	11082103	9.06	0	55
ptg000198l_1_region	1222818	11082103	9.06	0	55
ptg000199l_1	620732	4718627	7.60	0	20
ptg000199l_1_region	620732	4718627	7.60	0	20
ptg000200l_1	529585	4244051	8.01	0	28
ptg000200l_1_region	529585	4244051	8.01	0	28
ptg000203l_1	919422	6818871	7.42	0	33
ptg000203l_1_region	919422	6818871	7.42	0	33
ptg000206l_1	560493	4196414	7.49	0	22
ptg000206l_1_region	560493	4196414	7.49	0	22
ptg000208l_1	168091	1777566	10.58	0	35
ptg000208l_1_region	168091	1777566	10.58	0	35
ptg000210l_1	2003485	16703140	8.34	0	51
ptg000210l_1_region	2003485	16703140	8.34	0	51
ptg000214l_1	338067	2199788	6.51	0	26
ptg000214l_1_region	338067	2199788	6.51	0	26
ptg000215l_1	146837	1246911	8.49	0	26
ptg000215l_1_region	146837	1246911	8.49	0	26
ptg000216l_1	572280	4135893	7.23	0	27
ptg000216l_1_region	572280	4135893	7.23	0	27
ptg000217l_1	434215	3486284	8.03	0	25
ptg000217l_1_region	434215	3486284	8.03	0	25
ptg000218l_1	12782	81924	6.41	0	13
ptg000218l_1_region	12782	81924	6.41	0	13
ptg000219l_1	2134074	15687392	7.35	0	26
ptg000219l_1_region	2134074	15687392	7.35	0	26
ptg000220l_1	55644	525860	9.45	0	40
ptg000220l_1_region	55644	525860	9.45	0	40
ptg000222l_1	2228298	19519760	8.76	0	44
ptg000222l_1_region	2228298	19519760	8.76	0	44
ptg000223l_1	433311	4300586	9.92	0	86
ptg000223l_1_region	433311	4300586	9.92	0	86
ptg000224l_1	37299	182472	4.89	0	15
ptg000224l_1_region	37299	182472	4.89	0	15
ptg000227l_1	3464105	35118517	10.14	0	250
ptg000227l_1_region	3464105	35118517	10.14	0	250
ptg000229l_1	1476078	11613173	7.87	0	25
ptg000229l_1_region	1476078	11613173	7.87	0	25
ptg000230l_1	882934	7196235	8.15	0	26
ptg000230l_1_region	882934	7196235	8.15	0	26
ptg000231l_1	538216	3861201	7.17	0	19
ptg000231l_1_region	538216	3861201	7.17	0	19
ptg000233l_1	208468	1762326	8.45	0	31
ptg000233l_1_region	208468	1762326	8.45	0	31
ptg000236l_1	668830	5063507	7.57	0	20
ptg000236l_1_region	668830	5063507	7.57	0	20
ptg000238l_1	995965	7645455	7.68	0	30
ptg000238l_1_region	995965	7645455	7.68	0	30
ptg000239l_1	115467	1108970	9.60	0	32
ptg000239l_1_region	115467	1108970	9.60	0	32
ptg000240l_1	512162	3814339	7.45	0	23
ptg000240l_1_region	512162	3814339	7.45	0	23
ptg000241l_1	111167	474174	4.27	0	11
ptg000241l_1_region	111167	474174	4.27	0	11
ptg000242l_1	1150216	9224183	8.02	0	39
ptg000242l_1_region	1150216	9224183	8.02	0	39
ptg000245l_1	1346963	10432765	7.75	0	48
ptg000245l_1_region	1346963	10432765	7.75	0	48
ptg000246l_1	775883	6220870	8.02	0	30
ptg000246l_1_region	775883	6220870	8.02	0	30
ptg000247l_1	1198885	9327805	7.78	0	24
ptg000247l_1_region	1198885	9327805	7.78	0	24
ptg000248l_1	285395	5757123	20.17	0	123
ptg000248l_1_region	285395	5757123	20.17	0	123
ptg000250l_1	987460	7383238	7.48	0	23
ptg000250l_1_region	987460	7383238	7.48	0	23
ptg000251l_1	471929	3044976	6.45	0	20
ptg000251l_1_region	471929	3044976	6.45	0	20
ptg000252l_1	957570	6475872	6.76	0	23
ptg000252l_1_region	957570	6475872	6.76	0	23
ptg000253l_1	167238	610157	3.65	0	17
ptg000253l_1_region	167238	610157	3.65	0	17
ptg000254l_1	75736	433555	5.72	0	15
ptg000254l_1_region	75736	433555	5.72	0	15
ptg000257l_1	404407	3225572	7.98	0	19
ptg000257l_1_region	404407	3225572	7.98	0	19
ptg000258l_1	1259294	11302858	8.98	0	26
ptg000258l_1_region	1259294	11302858	8.98	0	26
ptg000259l_1	440040	2795335	6.35	0	25
ptg000259l_1_region	440040	2795335	6.35	0	25
ptg000260l_1	2024170	16078859	7.94	0	38
ptg000260l_1_region	2024170	16078859	7.94	0	38
ptg000262l_1	392051	2043011	5.21	0	28
ptg000262l_1_region	392051	2043011	5.21	0	28
ptg000263l_1	296150	2712408	9.16	0	117
ptg000263l_1_region	296150	2712408	9.16	0	117
ptg000266l_1	555696	4214935	7.58	0	27
ptg000266l_1_region	555696	4214935	7.58	0	27
ptg000267l_1	69977	514577	7.35	0	15
ptg000267l_1_region	69977	514577	7.35	0	15
ptg000269l_1	1867934	14314434	7.66	0	40
ptg000269l_1_region	1867934	14314434	7.66	0	40
ptg000270l_1	127187	882701	6.94	0	16
ptg000270l_1_region	127187	882701	6.94	0	16
ptg000271l_1	164252	1118905	6.81	0	17
ptg000271l_1_region	164252	1118905	6.81	0	17
ptg000272l_1	1704531	14420195	8.46	0	32
ptg000272l_1_region	1704531	14420195	8.46	0	32
ptg000273l_1	507943	3432243	6.76	0	18
ptg000273l_1_region	507943	3432243	6.76	0	18
ptg000274l_1	150305	920338	6.12	0	21
ptg000274l_1_region	150305	920338	6.12	0	21
ptg000275l_1	1198434	9123037	7.61	0	22
ptg000275l_1_region	1198434	9123037	7.61	0	22
ptg000276l_1	730836	5825675	7.97	0	21
ptg000276l_1_region	730836	5825675	7.97	0	21
ptg000279l_1	303570	2116191	6.97	0	26
ptg000279l_1_region	303570	2116191	6.97	0	26
ptg000281l_1	555253	3815620	6.87	0	34
ptg000281l_1_region	555253	3815620	6.87	0	34
ptg000282l_1	2050740	15744632	7.68	0	47
ptg000282l_1_region	2050740	15744632	7.68	0	47
ptg000283l_1	815848	5820992	7.13	0	29
ptg000283l_1_region	815848	5820992	7.13	0	29
ptg000286l_1	539966	4630669	8.58	0	255
ptg000286l_1_region	539966	4630669	8.58	0	255
ptg000287l_1	162734	892992	5.49	0	17
ptg000287l_1_region	162734	892992	5.49	0	17
ptg000288l_1	537917	4169409	7.75	0	28
ptg000288l_1_region	537917	4169409	7.75	0	28
ptg000289l_1	1362773	11601700	8.51	0	85
ptg000289l_1_region	1362773	11601700	8.51	0	85
ptg000292l_1	76620	485015	6.33	0	13
ptg000292l_1_region	76620	485015	6.33	0	13
ptg000293l_1	1334173	11698689	8.77	0	55
ptg000293l_1_region	1334173	11698689	8.77	0	55
ptg000294l_1	161136	1364059	8.47	0	17
ptg000294l_1_region	161136	1364059	8.47	0	17
ptg000295l_1	156759	1021983	6.52	0	17
ptg000295l_1_region	156759	1021983	6.52	0	17
ptg000297l_1	38313	262024	6.84	0	13
ptg000297l_1_region	38313	262024	6.84	0	13
ptg000298l_1	30576	108620	3.55	0	9
ptg000298l_1_region	30576	108620	3.55	0	9
ptg000299l_1	695798	5636829	8.10	0	28
ptg000299l_1_region	695798	5636829	8.10	0	28
ptg000300l_1	148005	1078733	7.29	0	23
ptg000300l_1_region	148005	1078733	7.29	0	23
ptg000301l_1	545157	3635154	6.67	0	63
ptg000301l_1_region	545157	3635154	6.67	0	63
ptg000304l_1	331508	1700486	5.13	0	14
ptg000304l_1_region	331508	1700486	5.13	0	14
ptg000306l_1	1939064	16570767	8.55	0	55
ptg000306l_1_region	1939064	16570767	8.55	0	55
ptg000307l_1	142848	781303	5.47	0	15
ptg000307l_1_region	142848	781303	5.47	0	15
ptg000308l_1	326805	1847633	5.65	0	58
ptg000308l_1_region	326805	1847633	5.65	0	58
ptg000309l_1	1758290	14888756	8.47	0	33
ptg000309l_1_region	1758290	14888756	8.47	0	33
ptg000310l_1	2688971	21737852	8.08	0	45
ptg000310l_1_region	2688971	21737852	8.08	0	45
ptg000311l_1	507709	5072524	9.99	0	47
ptg000311l_1_region	507709	5072524	9.99	0	47
ptg000312l_1	1063356	9732555	9.15	0	30
ptg000312l_1_region	1063356	9732555	9.15	0	30
ptg000313l_1	741409	5041115	6.80	0	22
ptg000313l_1_region	741409	5041115	6.80	0	22
ptg000314l_1	2439501	25609603	10.50	0	35
ptg000314l_1_region	2439501	25609603	10.50	0	35
ptg000315l_1	262547	1568976	5.98	0	26
ptg000315l_1_region	262547	1568976	5.98	0	26
ptg000316l_1	707252	6117315	8.65	0	30
ptg000316l_1_region	707252	6117315	8.65	0	30
ptg000317l_1	586921	4896366	8.34	0	34
ptg000317l_1_region	586921	4896366	8.34	0	34
ptg000318l_1	834037	5657102	6.78	0	27
ptg000318l_1_region	834037	5657102	6.78	0	27
ptg000320l_1	1121516	9630880	8.59	0	31
ptg000320l_1_region	1121516	9630880	8.59	0	31
ptg000321l_1	3587061	28605530	7.97	0	83
ptg000321l_1_region	3587061	28605530	7.97	0	83
ptg000322l_1	437023	4110069	9.40	0	19
ptg000322l_1_region	437023	4110069	9.40	0	19
ptg000323l_1	852535	6458129	7.58	0	20
ptg000323l_1_region	852535	6458129	7.58	0	20
ptg000324l_1	836823	6732026	8.04	0	23
ptg000324l_1_region	836823	6732026	8.04	0	23
ptg000325l_1	353220	2131366	6.03	0	41
ptg000325l_1_region	353220	2131366	6.03	0	41
ptg000326l_1	1016864	6086606	5.99	0	28
ptg000326l_1_region	1016864	6086606	5.99	0	28
ptg000327l_1	723404	6591732	9.11	0	26
ptg000327l_1_region	723404	6591732	9.11	0	26
ptg000328l_1	105771	706770	6.68	0	17
ptg000328l_1_region	105771	706770	6.68	0	17
ptg000329l_1	914025	7033005	7.69	0	24
ptg000329l_1_region	914025	7033005	7.69	0	24
ptg000331l_1	2499077	21212659	8.49	0	29
ptg000331l_1_region	2499077	21212659	8.49	0	29
ptg000332l_1	68945	321985	4.67	0	16
ptg000332l_1_region	68945	321985	4.67	0	16
ptg000333l_1	309970	2614444	8.43	0	24
ptg000333l_1_region	309970	2614444	8.43	0	24
ptg000334l_1	1481659	13351730	9.01	0	138
ptg000334l_1_region	1481659	13351730	9.01	0	138
ptg000335l_1	467256	3068238	6.57	0	24
ptg000335l_1_region	467256	3068238	6.57	0	24
ptg000336l_1	1855004	15325636	8.26	0	33
ptg000336l_1_region	1855004	15325636	8.26	0	33
ptg000337l_1	70537	471626	6.69	0	27
ptg000337l_1_region	70537	471626	6.69	0	27
ptg000338l_1	261717	1717810	6.56	0	22
ptg000338l_1_region	261717	1717810	6.56	0	22
ptg000340l_1	31341	220338	7.03	0	26
ptg000340l_1_region	31341	220338	7.03	0	26
ptg000341l_1	1323596	9778336	7.39	0	72
ptg000341l_1_region	1323596	9778336	7.39	0	72
ptg000342l_1	538518	3756207	6.98	0	38
ptg000342l_1_region	538518	3756207	6.98	0	38
ptg000343l_1	2014236	15787956	7.84	0	24
ptg000343l_1_region	2014236	15787956	7.84	0	24
ptg000344l_1	1684115	15038963	8.93	0	127
ptg000344l_1_region	1684115	15038963	8.93	0	127
ptg000345l_1	1256037	10601763	8.44	0	26
ptg000345l_1_region	1256037	10601763	8.44	0	26
ptg000346l_1	45786	296307	6.47	0	20
ptg000346l_1_region	45786	296307	6.47	0	20
ptg000347l_1	41075	373506	9.09	0	15
ptg000347l_1_region	41075	373506	9.09	0	15
ptg000349l_1	2204234	17058212	7.74	0	27
ptg000349l_1_region	2204234	17058212	7.74	0	27
ptg000350l_1	1720262	13469176	7.83	0	27
ptg000350l_1_region	1720262	13469176	7.83	0	27
ptg000351l_1	35921	181523	5.05	0	21
ptg000351l_1_region	35921	181523	5.05	0	21
ptg000352l_1	242008	1861831	7.69	0	22
ptg000352l_1_region	242008	1861831	7.69	0	22
ptg000353l_1	671123	3818127	5.69	0	183
ptg000353l_1_region	671123	3818127	5.69	0	183
ptg000354l_1	84415	771062	9.13	1	26
ptg000354l_1_region	84415	771062	9.13	1	26
ptg000355l_1	303893	2384969	7.85	0	19
ptg000355l_1_region	303893	2384969	7.85	0	19
ptg000356l_1	363851	2721996	7.48	0	20
ptg000356l_1_region	363851	2721996	7.48	0	20
ptg000357l_1	2594736	25929949	9.99	0	69
ptg000357l_1_region	2594736	25929949	9.99	0	69
ptg000358l_1	312206	1692704	5.42	0	18
ptg000358l_1_region	312206	1692704	5.42	0	18
ptg000359l_1	254103	2067027	8.13	0	53
ptg000359l_1_region	254103	2067027	8.13	0	53
ptg000360l_1	813349	7752916	9.53	0	28
ptg000360l_1_region	813349	7752916	9.53	0	28
ptg000361l_1	1735517	14512788	8.36	0	38
ptg000361l_1_region	1735517	14512788	8.36	0	38
ptg000362l_1	254149	1738271	6.84	0	15
ptg000362l_1_region	254149	1738271	6.84	0	15
ptg000363l_1	886317	7151734	8.07	0	21
ptg000363l_1_region	886317	7151734	8.07	0	21
ptg000364l_1	685131	5409025	7.89	0	22
ptg000364l_1_region	685131	5409025	7.89	0	22
ptg000365l_1	131061	868087	6.62	0	14
ptg000365l_1_region	131061	868087	6.62	0	14
ptg000367l_1	476683	3259914	6.84	0	30
ptg000367l_1_region	476683	3259914	6.84	0	30
ptg000368l_1	5276269	43337081	8.21	0	40
ptg000368l_1_region	5276269	43337081	8.21	0	40
ptg000369l_1	589055	5076331	8.62	0	49
