gene_id	symbol	product	biotype	chrom	start	end	n_go	tier	n_lines_refined	lines_refined	reciprocal_pav	ecotype_only_corroborated	cnv	dmr	ref_divergence	reciprocal_present_in	ecotype_only_tier	ecotype_only_side	copies_lean	copies_siscowet	sv	ref_pav	n_lines_23_6	cluster_rep	cluster_size	caution	phase18_convergent	phase18_rank_score
gene-LOC120051748	LOC120051748	uncharacterized protein K02A2.6-like	protein_coding	NC_052314.1	10124832	10126741	2	A	3	reciprocal_pav,cnv,ref_divergence	1	0	1	0	1	siscowet	liftoff_only	lean	50	49	0	0	1	gene-LOC120051748	1	repeat_or_tandem_family	0	
gene-LOC120063770	LOC120063770	uncharacterized LOC120063770	lncRNA	NC_052325.1	25736042	25737008	0	A	3	reciprocal_pav,cnv,ref_divergence	1	0	1	0	1	lean	liftoff_only	lean	37	30	0	0	1	gene-LOC120063770	2	noncoding;repeat_or_tandem_family	0	
gene-LOC120020198	LOC120020198	synapsin-2-like	protein_coding	NC_052308.1	4912697	5107606	4	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120020198	1		0	
gene-LOC120021129	LOC120021129	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1-like	protein_coding	NC_052332.1	36656364	36669703	2	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120021129	1		0	
gene-LOC120024458	LOC120024458	sodium/potassium-transporting ATPase subunit beta-1-interacting protein 2	protein_coding	NC_052335.1	21768706	21937603	1	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120024458	1		0	
gene-LOC120024920	LOC120024920	major histocompatibility complex class I-related gene protein-like	protein_coding	NC_052336.1	3204217	3207588	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120024920	1		0	
gene-LOC120025009	LOC120025009	protein kinase C-binding protein NELL1-like	protein_coding	NC_052336.1	30461230	30917964	2	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	1	3	gene-LOC120025009	1		0	0
gene-LOC120025522	LOC120025522	ankyrin-1-like	protein_coding	NC_052337.1	24375852	24462546	2	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120025522	1		0	
gene-LOC120025537	LOC120025537	astrotactin-2-like	protein_coding	NC_052337.1	26806655	27257815	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120025537	1		0	
gene-LOC120025549	LOC120025549	leucine-rich repeat transmembrane neuronal protein 4-like	protein_coding	NC_052337.1	31362896	31537376	1	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120025549	1		0	
gene-LOC120027905	LOC120027905	band 4.1-like protein 3	protein_coding	NC_052339.1	29614276	29636570	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120027905	1		0	
gene-LOC120028089	LOC120028089	phosphoenolpyruvate carboxykinase [GTP], mitochondrial-like	protein_coding	NC_052339.1	32615388	32645779	13	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120028089	1		0	
gene-LOC120029476	LOC120029476	KH domain-containing, RNA-binding, signal transduction-associated protein 2-like	protein_coding	NC_052341.1	9845013	9962143	4	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	1	3	gene-LOC120029476	1		0	0
gene-LOC120030672	LOC120030672	calsequestrin-1-like	protein_coding	NC_052342.1	23367790	23404658	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120030672	1		0	
gene-LOC120031305	LOC120031305	opioid-binding protein/cell adhesion molecule-like	protein_coding	NC_052309.1	40359677	40588871	1	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120043873	2		0	
gene-LOC120031768	LOC120031768	myotubularin-related protein 5-like	protein_coding	NC_052344.1	19899515	19967528	0	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120031768	1		0	
gene-LOC120032210	LOC120032210	kinesin-like protein KIF21A	protein_coding	NC_052344.1	2823139	2864380	5	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120032210	1		0	
gene-LOC120032728	LOC120032728	E3 ubiquitin-protein ligase TRIM39-like	protein_coding	NC_052345.1	15756331	15855646	2	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120032728	1		0	
gene-LOC120038650	LOC120038650	prickle-like protein 1	protein_coding	NW_024059108.1	55398	130237	1	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					0	1	2	gene-LOC120038650	1		0	0
gene-LOC120040161	LOC120040161	sperm-associated antigen 1A-like	protein_coding	NW_024060231.1	725	36108	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					0	1	2	gene-LOC120040161	1		0	1
gene-LOC120040412	LOC120040412	plexin-B2-like	protein_coding	NW_024060452.1	175988	244333	9	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					0	1	2	gene-LOC120040412	1		0	1
gene-LOC120042766	LOC120042766	tumor necrosis factor receptor superfamily member 16-like	protein_coding	NW_024061499.1	13591	67968	6	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					0	1	2	gene-LOC120042766	1		0	0
gene-LOC120043213	LOC120043213	extracellular serine/threonine protein kinase FAM20C-like	protein_coding	NC_052309.1	93593471	93665728	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	1	3	gene-LOC120043213	1		0	0
gene-LOC120048047	LOC120048047	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	protein_coding	NC_052311.1	21658600	21841079	5	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	1	3	gene-LOC120048047	1		0	0
gene-LOC120048669	LOC120048669	carcinoembryonic antigen-related cell adhesion molecule 5-like	protein_coding	NC_052311.1	62434325	62505668	0	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120048669	3		0	
gene-LOC120049548	LOC120049548	glucosidase 2 subunit beta-like	protein_coding	NC_052312.1	1514837	1830881	5	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120049548	1		0	
gene-LOC120053194	LOC120053194	NT-3 growth factor receptor-like	protein_coding	NC_052315.1	21629211	21787146	13	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120053194	1		0	
gene-LOC120053598	LOC120053598	lisH domain-containing protein ARMC9	protein_coding	NC_052315.1	3917735	4026576	4	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120053598	1		0	
gene-LOC120053718	LOC120053718	cAMP-specific 3',5'-cyclic phosphodiesterase 4D-like	protein_coding	NC_052315.1	14954754	14997295	5	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120053718	1		0	
gene-LOC120053938	LOC120053938	nuclear receptor ROR-alpha A-like	protein_coding	NC_052315.1	29746918	30023852	5	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120053938	1		0	
gene-LOC120054371	LOC120054371	lipoma-preferred partner homolog	protein_coding	NC_052316.1	47017289	47126904	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	1	3	gene-LOC120054371	1		0	0
gene-LOC120054763	LOC120054763	DNA-directed RNA polymerase, mitochondrial-like	protein_coding	NC_052316.1	16453251	16547181	5	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120054763	1		0	
gene-LOC120055734	LOC120055734	LARGE xylosyl- and glucuronyltransferase 2-like	protein_coding	NC_052307.1	51708014	51739042	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120055734	1		0	
gene-LOC120056781	LOC120056781	kin of IRRE-like protein 3	protein_coding	NC_052318.1	16317215	16480473	4	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120056781	1		0	
gene-LOC120056805	LOC120056805	troponin T, fast skeletal muscle isoforms-like	protein_coding	NC_052307.1	72961100	72989441	7	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120056805	1		0	
gene-LOC120060868	LOC120060868	agrin-like	protein_coding	NC_052322.1	7092001	7468729	6	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120060868	1		0	
gene-LOC120063528	LOC120063528		C_region	NC_052324.1	9668041	9675961	0	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120063528	1		0	
gene-LOC120063782	LOC120063782	ubiquitin-conjugating enzyme E2 E3	protein_coding	NC_052325.1	27425198	27492663	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120063782	1		0	
gene-LOC120065442	LOC120065442	protein CBFA2T2-like	protein_coding	NC_052326.1	47644243	48215905	4	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120065442	1		0	0
gene-LOC120065642	LOC120065642	protein kinase C alpha type	protein_coding	NC_052308.1	62474175	62692842	4	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120065642	1		0	
gene-LOC120066463	LOC120066463	contactin-1a-like	protein_coding	NC_052327.1	51237491	51422102	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120066463	1		0	
gene-LOC120066682	LOC120066682	nuclear receptor ROR-alpha A	protein_coding	NC_052327.1	28716140	29001043	5	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120066682	1		0	
gene-LOC120066718	LOC120066718	SH3 and multiple ankyrin repeat domains protein 2-like	protein_coding	NC_052327.1	36925670	37085577	5	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120066718	1		0	
gene-ap2b1	ap2b1	adaptor related protein complex 2 subunit beta 1	protein_coding	NC_052318.1	23895713	24022869	5	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-ap2b1	1		0	
gene-asap1a	asap1a	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1a	protein_coding	NC_052317.1	5073615	5234339	4	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	1	3	gene-asap1a	1		0	0
gene-bco2a	bco2a	beta-carotene oxygenase 2a	protein_coding	NC_052318.1	48737808	48839870	5	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-bco2a	1		0	
gene-cpn1	cpn1	carboxypeptidase N, polypeptide 1	protein_coding	NC_052310.1	29101617	29256810	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-cpn1	1		0	
gene-cracr2b	cracr2b	calcium release activated channel regulator 2B	protein_coding	NC_052314.1	2098663	2157745	15	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-cracr2b	1		0	
gene-crtc3	crtc3	CREB regulated transcription coactivator 3	protein_coding	NC_052307.1	73797980	73867923	6	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	1	3	gene-crtc3	1		0	0
gene-dnah2	dnah2	dynein, axonemal, heavy chain 2	protein_coding	NC_052312.1	18294530	18523089	7	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-dnah2	1		0	
gene-gde1	gde1	glycerophosphodiester phosphodiesterase 1	protein_coding	NC_052308.1	71435763	71443024	2	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-gde1	1		0	
gene-mpp6b	mpp6b	membrane protein, palmitoylated 6b (MAGUK p55 subfamily member 6)	protein_coding	NC_052333.1	13545300	13626404	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	1	3	gene-mpp6b	1		0	1
gene-nek7	nek7	NIMA-related kinase 7	protein_coding	NC_052314.1	42073311	42239918	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-nek7	1		0	
gene-pphln1	pphln1	periphilin 1	protein_coding	NW_024059108.1	23296	53282	4	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					0	1	2	gene-pphln1	1		0	1
gene-ptprc	ptprc	protein tyrosine phosphatase receptor type C	protein_coding	NC_052316.1	43844726	43870075	5	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-ptprc	1		0	
gene-sh2d3a	sh2d3a	SH2 domain containing 3A	protein_coding	NC_052308.1	80268812	80286037	4	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-sh2d3a	1		0	
gene-sh3yl1	sh3yl1	SH3 and SYLF domain containing 1	protein_coding	NC_052321.1	4800030	4852837	3	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-sh3yl1	1		0	
gene-sugct	sugct	succinyl-CoA:glutarate-CoA transferase	protein_coding	NC_052313.1	30156952	30329578	1	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-sugct	1		0	
gene-tmc6b	tmc6b	transmembrane channel-like 6b	protein_coding	NW_024061147.1	59976	115888	2	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					0	1	2	gene-tmc6b	3		0	0
gene-tmeff2a	tmeff2a	transmembrane protein with EGF-like and two follistatin-like domains 2a	protein_coding	NC_052319.1	5189924	5368281	1	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-tmeff2a	1		0	
gene-unc5c	unc5c	unc-5 netrin receptor C	protein_coding	NC_052337.1	34545564	34732092	4	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-unc5c	1		0	
gene-vps50	vps50	VPS50 EARP/GARPII complex subunit	protein_coding	NC_052338.1	25118660	25340181	4	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	1	3	gene-vps50	1		0	0
gene-LOC120019149	LOC120019149	histone chaperone asf1b-B-like	protein_coding	NC_052308.1	78637925	78647849	3	A	2	reciprocal_pav,ecotype_only_corroborated	1	1	0	0	0	siscowet	corroborated	siscowet			0	0	2	gene-LOC120019149	1	repeat_or_tandem_family	0	
gene-LOC120038491	LOC120038491	28S ribosomal RNA	rRNA	NW_024059030.1	36848	40779	0	A	2	reciprocal_pav,dmr	1	0	0	1	0	siscowet					0	0	2	gene-LOC120038488	5	noncoding;tandem_cluster_n5	0	0
gene-LOC120055730	LOC120055730	uncharacterized LOC120055730	lncRNA	NC_052307.1	51512532	51640249	0	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	lean					1	0	2	gene-LOC120055730	1	noncoding;repeat_or_tandem_family	0	
gene-LOC120056879	LOC120056879	uncharacterized LOC120056879	lncRNA	NC_052318.1	10246878	10255364	0	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120056879	1	noncoding;repeat_or_tandem_family	0	
gene-LOC120061515	LOC120061515	uncharacterized LOC120061515	lncRNA	NC_052322.1	46826479	46844287	0	A	2	reciprocal_pav,ref_divergence	1	0	0	0	1	siscowet					1	0	2	gene-LOC120061512	2	noncoding;repeat_or_tandem_family	0	
gene-LOC120033896	LOC120033896	small G protein signaling modulator 3-like	protein_coding	NC_052347.1	18116502	18152099	1	B	3	ecotype_only_corroborated,dmr,ref_divergence	0	1	0	1	1		corroborated	lean			1	0	3	gene-LOC120033896	1		0	3
gene-LOC120037712	LOC120037712	zona pellucida sperm-binding protein 4-like	protein_coding	NW_024058595.1	38592	47208	0	B	3	cnv,dmr,ref_divergence	0	0	1	1	1		liftoff_only	siscowet	3	6	0	0	1	gene-LOC120037712	1		0	0
gene-LOC120051056	LOC120051056	myosin-7-like	protein_coding	NC_052313.1	18531061	18545925	4	B	3	cnv,dmr,ref_divergence	0	0	1	1	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120051056	3		0	0
gene-LOC120017932	LOC120017932	histone H1	protein_coding	NC_052308.1	72357167	72357879	4	B	3	cnv,dmr,ref_divergence	0	0	1	1	1		liftoff_only	siscowet	2	7	0	0	1	gene-LOC120017900	19	repeat_or_tandem_family;tandem_cluster_n19	0	0
gene-LOC120017972	LOC120017972	histone H3	protein_coding	NC_052308.1	72365337	72365974	4	B	3	cnv,dmr,ref_divergence	0	0	1	1	1		liftoff_only	siscowet	3	8	0	0	1	gene-LOC120017900	19	repeat_or_tandem_family;tandem_cluster_n19	0	0
gene-LOC120018007	LOC120018007	histone H2A	protein_coding	NC_052308.1	72366313	72366832	4	B	3	cnv,dmr,ref_divergence	0	0	1	1	1		liftoff_only	siscowet	1	8	0	0	1	gene-LOC120017900	19	repeat_or_tandem_family;tandem_cluster_n19	0	0
gene-LOC120018068	LOC120018068	histone H4	protein_coding	NC_052308.1	72360091	72360446	5	B	3	cnv,dmr,ref_divergence	0	0	1	1	1		liftoff_only	siscowet	3	10	0	0	1	gene-LOC120017900	19	repeat_or_tandem_family;tandem_cluster_n19	0	0
gene-LOC120036685	LOC120036685	U1 spliceosomal RNA	snRNA	NW_024058159.1	16604	16767	0	B	3	cnv,dmr,ref_divergence	0	0	1	1	1		liftoff_only	siscowet	1	3	0	0	1	gene-LOC120036685	2	noncoding	0	1
gene-LOC120036686	LOC120036686	U1 spliceosomal RNA	snRNA	NW_024058159.1	22250	22413	0	B	3	cnv,dmr,ref_divergence	0	0	1	1	1		liftoff_only	siscowet	1	9	0	0	1	gene-LOC120036685	2	noncoding	0	4
gene-LOC120036801	LOC120036801	5S ribosomal RNA	rRNA	NW_024058207.1	20669	20787	0	B	3	cnv,dmr,ref_divergence	0	0	1	1	1		liftoff_only	lean	2	1	0	0	1	gene-LOC120036819	26	noncoding;tandem_cluster_n26	0	0
gene-LOC120037713	LOC120037713	U1 spliceosomal RNA	snRNA	NW_024058595.1	35853	36016	0	B	3	cnv,dmr,ref_divergence	0	0	1	1	1		liftoff_only	siscowet	1	3	0	0	1	gene-LOC120037713	1	noncoding	0	3
gene-LOC120040411	LOC120040411	gastrula zinc finger protein XlCGF57.1-like	protein_coding	NW_024060452.1	381695	402809	3	B	3	cnv,dmr,ref_divergence	0	0	1	1	1		liftoff_only	lean	2	1	0	1	1	gene-LOC120040411	4	repeat_or_tandem_family	1	4
gene-LOC120042042	LOC120042042	uncharacterized LOC120042042	lncRNA	NW_024061316.1	28589	31862	0	B	3	cnv,dmr,ref_divergence	0	0	1	1	1		liftoff_only	siscowet	1	4	0	0	1	gene-LOC120042042	1	noncoding;repeat_or_tandem_family	0	3
gene-LOC120017348	LOC120017348	A disintegrin and metalloproteinase with thrombospondin motifs 14-like	protein_coding	NC_052328.1	2265496	2372099	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	1	3	gene-LOC120017348	2		0	0
gene-LOC120017365	LOC120017365	high choriolytic enzyme 1-like	protein_coding	NC_052328.1	5933174	5935245	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120017364	2		0	
gene-LOC120017401	LOC120017401	transient receptor potential cation channel subfamily V member 5	protein_coding	NC_052328.1	13649097	13673736	4	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120017401	1		0	
gene-LOC120017433	LOC120017433	opioid growth factor receptor-like protein 1	protein_coding	NC_052328.1	20026880	20031760	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120017433	1		0	
gene-LOC120017437	LOC120017437	transcription initiation factor TFIID subunit 5-like	protein_coding	NC_052308.1	70583063	70589922	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120017437	1		0	
gene-LOC120017445	LOC120017445	ATP synthase membrane subunit DAPIT, mitochondrial-like	protein_coding	NC_052308.1	70589911	70591241	1	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120017445	1		0	
gene-LOC120017447	LOC120017447	F-box/LRR-repeat protein 15-like	protein_coding	NC_052328.1	1500325	1522935	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120017447	1		0	
gene-LOC120017459	LOC120017459	protein RRP5 homolog	protein_coding	NC_052308.1	70591415	70611210	6	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120017459	1		0	
gene-LOC120017465	LOC120017465	myosin heavy chain, fast skeletal muscle-like	protein_coding	NC_052328.1	2678765	2699363	4	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120017463	3		0	
gene-LOC120017478	LOC120017478	trichohyalin-like	protein_coding	NC_052328.1	5741007	5743570	0	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120017478	1		0	
gene-LOC120017480	LOC120017480	target of Myb protein 1-like	protein_coding	NC_052308.1	71049863	71057097	6	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	lean	2	1	0	0	1	gene-LOC120017480	1		0	
gene-LOC120017495	LOC120017495	mitogen-activated protein kinase 8-like	protein_coding	NC_052328.1	6788025	6799005	6	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	3	0	0	1	gene-LOC120017495	2		0	
gene-LOC120017647	LOC120017647	isoaspartyl peptidase/L-asparaginase-like	protein_coding	NC_052328.1	20050855	20066348	1	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	3	0	0	1	gene-LOC120017647	2		0	
gene-LOC120017648	LOC120017648	axin-1-like	protein_coding	NC_052308.1	71663964	71669181	1	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	lean	2	1	0	0	1	gene-LOC120017648	1		0	
gene-LOC120017721	LOC120017721	CREB3 regulatory factor-like	protein_coding	NC_052328.1	28485328	28499153	5	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120017721	1		0	
gene-LOC120017769	LOC120017769	galectin-related protein-like	protein_coding	NC_052328.1	34442578	34455322	1	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	0	2	gene-LOC120017769	1		0	
gene-LOC120017770	LOC120017770	aftiphilin-like	protein_coding	NC_052328.1	34477002	34484754	4	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	1	2	0	0	1	gene-LOC120017770	1		0	
gene-LOC120017775	LOC120017775	ABC transporter G family member 23-like	protein_coding	NC_052328.1	35177723	35221927	6	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	siscowet			1	1	3	gene-LOC120017775	1		0	0
gene-LOC120017815	LOC120017815	alpha-2-macroglobulin-like	protein_coding	NC_052308.1	72271728	72284431	3	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	siscowet	5	20	0	0	1	gene-LOC120023315	2		0	1
gene-LOC120017858	LOC120017858	ABC transporter G family member 23-like	protein_coding	NC_052328.1	34408063	34421328	2	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120017858	1		0	
gene-LOC120017867	LOC120017867	protein FAM135A-like	protein_coding	NC_052328.1	36461867	36503739	1	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120017867	1		0	
gene-LOC120017870	LOC120017870	NLR family CARD domain-containing protein 3-like	protein_coding	NC_052328.1	3426686	3428422	0	B	2	cnv,ref_divergence	0	0	1	0	1		liftoff_only	lean	13	12	0	0	1	gene-LOC120017870	3		0	
gene-LOC120017880	LOC120017880	F-box/LRR-repeat protein 15	protein_coding	NC_052328.1	1671213	1676958	3	B	2	ecotype_only_corroborated,ref_divergence	0	1	0	0	1		corroborated	lean			1	0	2	gene-LOC120017880	1		0	
