set	chrom	start	end	family	n_study_genes	n_cluster_genes	example_product	genes
cnv	NC_052308.1	42960918	43157673	loc	8	10	uncharacterized LOC120063518	LOC120063461,LOC120063466,LOC120063503,LOC120063518,LOC120063526,LOC120063541,LOC120063572,LOC120063595
cnv	NW_024061618.1	20152	68241	spliceosomal	7	9	U1 spliceosomal RNA	LOC120043196,LOC120043198,LOC120043200,LOC120043201,LOC120043202,LOC120043203,LOC120043205
cnv	NC_052308.1	65159504	65440296	keratin	7	15	keratin, type I cytoskeletal 18-A-like	LOC120022811,LOC120022820,LOC120022826,LOC120022831,LOC120027508,LOC120066191,LOC120066198
cnv	NW_024058286.1	142629	172621	spliceosomal	7	8	U1 spliceosomal RNA	LOC120037037,LOC120037038,LOC120037039,LOC120037041,LOC120037042,LOC120037043,LOC120037044
cnv	NC_052332.1	142268	144191	small	6	6	small nucleolar RNA SNORD36	LOC120021916,LOC120021917,LOC120021920,LOC120021921,LOC120021948,LOC120021949
cnv	NW_024057745.1	1055	63459	ribosomal	6	26	5S ribosomal RNA	LOC120035558,LOC120035561,LOC120035573,LOC120035574,LOC120035575,LOC120035576
cnv	NC_052308.1	43215320	43364997	loc	6	10	uncharacterized LOC120063534	LOC120063458,LOC120063478,LOC120063490,LOC120063549,LOC120063557,LOC120063564
cnv	NC_052309.1	63585120	63890752	interferon	5	22	interferon alpha-1-like	LOC120044476,LOC120044479,LOC120044489,LOC120044490,LOC120044491
cnv	NC_052326.1	37183416	37253971	green	5	5	green-sensitive opsin-like	LOC120065317,LOC120065318,LOC120065319,LOC120065320,LOC120065321
cnv	NC_052322.1	2765268	2772096	ribosomal	5	5	5S ribosomal RNA	LOC120061724,LOC120061733,LOC120061737,LOC120061748,LOC120061753
cnv	NW_024060776.1	345	20138	spliceosomal	5	9	U4 spliceosomal RNA	LOC120040753,LOC120040758,LOC120040765,LOC120040769,LOC120040770
cnv	NW_024061248.1	94514	110035	spliceosomal	5	6	U1 spliceosomal RNA	LOC120041806,LOC120041811,LOC120041812,LOC120041813,LOC120041814
cnv	NC_052348.1	20187668	20224456	zinc	5	5	zinc finger protein 629-like	LOC120034917,LOC120034918,LOC120034919,LOC120035037,LOC120035167
cnv	NC_052331.1	33568406	33571360	small	5	5	small nucleolar RNA SNORD2	LOC120020776,LOC120020777,LOC120020779,LOC120020780,LOC120020781
cnv	NW_024058273.1	4572	36436	spliceosomal	4	6	U1 spliceosomal RNA	LOC120036972,LOC120036974,LOC120036975,LOC120036978
cnv	NC_052341.1	4409929	4615516	cystatin	4	10	cystatin-like	LOC120029562,LOC120029563,LOC120029933,LOC120029934
cnv	NC_052317.1	8431813	8437062	small	4	5	small nucleolar RNA SNORA81	LOC120056336,LOC120056337,LOC120056338,LOC120056340
cnv	NC_052334.1	46670670	46703636	loc	4	4	uncharacterized LOC120023130	LOC120023130,LOC120023140,LOC120023594,LOC120023596
cnv	NC_052329.1	27101621	27192545	olfactory	4	6	olfactory receptor 5F1-like	LOC120018585,LOC120018586,LOC120018587,LOC120018589
cnv	NW_024058097.1	16660	247010	small	4	45	small nucleolar RNA SNORD29	LOC120036554,LOC120036564,LOC120036568,LOC120036574
cnv	NW_024061321.1	94232	126698	spliceosomal	4	6	U1 spliceosomal RNA	LOC120042086,LOC120042087,LOC120042088,LOC120042089
cnv	NW_024061616.1	1210	106695	ribosomal	4	27	5S ribosomal RNA	LOC120043164,LOC120043165,LOC120043169,LOC120043172
cnv	NW_024060452.1	381695	475923	gastrula	4	4	gastrula zinc finger protein XlCGF57.1-like	LOC120040407,LOC120040408,LOC120040410,LOC120040411
cnv	NC_052309.1	59960265	60132136	ferritin	4	11	ferritin, middle subunit-like	LOC120033753,LOC120033771,LOC120033798,LOC120033830
cnv	NC_052348.1	20036159	20054020	small	4	11	small nucleolar RNA U3	LOC120035196,LOC120035200,LOC120035205,LOC120035207
cnv	NW_024060534.1	1238	23342	ribosomal	4	10	5S ribosomal RNA	LOC120040483,LOC120040484,LOC120040485,LOC120040486
cnv	NW_024058897.1	207423	350485	gtpase	4	9	GTPase IMAP family member 7-like	LOC120038185,LOC120038186,LOC120038201,LOC120038204
cnv	NW_024059224.1	23422	30298	spliceosomal	4	4	U1 spliceosomal RNA	LOC120038793,LOC120038794,LOC120038795,LOC120038796
cnv	NC_052348.1	20178665	20278213	loc	4	4	uncharacterized LOC120035068	LOC120034905,LOC120035034,LOC120035035,LOC120035068
cnv	NC_052309.1	50313634	50343520	nedd	4	4	NEDD4 family-interacting protein 1-like	LOC120032191,LOC120032211,LOC120044396,LOC120044397
cnv	NC_052325.1	28692901	28902451	guanylate	3	11	guanylate-binding protein 1-like	LOC120064285,LOC120064291,LOC120064292
cnv	NC_052314.1	52767735	52862277	loc	3	6	uncharacterized LOC120052184	LOC120052801,LOC120052802,LOC120052804
cnv	NC_052311.1	62174369	62239137	carcinoembryonic	3	3	carcinoembryonic antigen-related cell adhesion molecule 5-li	LOC120047235,LOC120047238,LOC120047239
cnv	NC_052348.1	13023993	13113713	loc	3	5	uncharacterized LOC120034660	LOC120034744,LOC120034745,LOC120035081
cnv	NC_052313.1	18531061	18642478	myosin	3	3	myosin-7-like	LOC120051056,LOC120051059,LOC120051060
cnv	NC_052314.1	43259447	43316500	loc	3	3	uncharacterized LOC120052017	LOC120051924,LOC120051925,LOC120052017
cnv	NC_052314.1	11367305	11417908	troponin	3	5	troponin I, fast skeletal muscle-like	LOC120051804,LOC120052388,LOC120052389
cnv	NW_024058040.1	18846	59374	loc	3	4	uncharacterized LOC120036430	LOC120036429,LOC120036430,LOC120036433
cnv	NC_052348.1	20280555	20422830	zinc	3	6	zinc finger protein 394-like	LOC120034911,LOC120035003,LOC120035162
cnv	NC_052340.1	16014181	16337476	olfactory	3	15	olfactory receptor 8I2-like	LOC120029219,LOC120029226,LOC120029229
cnv	NC_052326.1	53368425	53574160	rhamnose	3	12	L-rhamnose-binding lectin CSL3-like	LOC120064667,LOC120064867,LOC120064916
cnv	NW_024060364.1	81680	222269	rhamnose	3	11	L-rhamnose-binding lectin CSL3	LOC120040328,LOC120040334,LOC120040337
cnv	NW_024058959.1	2607	7802	ribosomal	3	3	5S ribosomal RNA	LOC120038357,LOC120038363,LOC120038364
cnv	NC_052319.1	16587866	16634268	adp	3	3	protein ADP-ribosylarginine hydrolase-like	LOC120058290,LOC120058291,LOC120058293
cnv	NC_052322.1	2766054	2774625	spliceosomal	3	6	U1 spliceosomal RNA	LOC120061735,LOC120061739,LOC120061740
cnv	NC_052311.1	24163062	24236220	zinc	3	3	zinc finger protein 232-like	LOC120047439,LOC120048083,LOC120048084
cnv	NC_052338.1	16574118	16575798	small	3	3	small nucleolar RNA SNORA16B/SNORA16A family	LOC120027556,LOC120027560,LOC120027561
cnv	NW_024061727.1	19493	95584	loc	3	5	uncharacterized LOC120043622	LOC120043617,LOC120043620,LOC120043622
cnv	NW_024060903.1	1369	18552	ribosomal	3	7	5S ribosomal RNA	LOC120040902,LOC120040913,LOC120040915
cnv	NC_052343.1	27414187	27490994	gasdermin	3	3	gasdermin-E-like	LOC120031013,LOC120031014,LOC120031086
cnv	NC_052311.1	53692722	53697729	ribosomal	3	4	5S ribosomal RNA	LOC120048908,LOC120048919,LOC120048932
cnv	NC_052346.1	18807474	18822085	loc	3	3	uncharacterized LOC120033141	LOC120033141,LOC120033423,LOC120033694
cnv	NC_052312.1	20954301	21097607	leukotriene	3	9	leukotriene B4 receptor 1-like	LOC120049018,LOC120049274,LOC120049759
cnv	NW_024061248.1	20521	37352	spliceosomal	3	3	U1 spliceosomal RNA	LOC120041807,LOC120041809,LOC120041810
cnv	NC_052336.1	464160	537975	motif	3	5	C-C motif chemokine 7-like	LOC120024745,LOC120025019,LOC120025372
cnv	NC_052308.1	79157528	79252295	zinc	3	5	zinc finger protein 664-like	LOC120019452,LOC120019465,LOC120019477
cnv	NC_052307.1	79245357	79300967	guanylyl	3	3	guanylyl cyclase-activating protein 2-like	LOC120053171,LOC120053182,LOC120057055
cnv	NC_052309.1	98033163	98096562	loc	3	3	uncharacterized LOC120043845	LOC120043844,LOC120043845,LOC120044731
cnv	NW_024059453.1	126927	247149	loc	3	6	uncharacterized LOC120039232	LOC120039219,LOC120039232,LOC120039233
cnv	NC_052315.1	10536000	10585459	cytochrome	3	3	cytochrome b-c1 complex subunit 6, mitochondrial-like	LOC120053661,LOC120053662,LOC120053663
cnv	NC_052317.1	34366577	34474522	loc	3	6	uncharacterized LOC120055371	LOC120055371,LOC120055374,LOC120055377
lean_only_corroborated	NC_052347.1	9503662	9626922	hemoglobin	18	20	hemoglobin subunit beta-1-like	LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260
lean_only_corroborated	NW_024061164.1	401812	483040	trna	16	87	tRNA-Ser	trnas-gcu-24,trnas-gcu-26,trnas-gcu-33,trnas-gcu-37,trnas-gcu-39,trnas-gcu-40,trnas-gcu-41,trnas-gcu-44,trnas-gcu-46,trnas-gcu-48,trnas-gcu-51,trnas-gcu-54
lean_only_corroborated	NW_024058877.1	4874	43437	ribosomal	11	15	5S ribosomal RNA	LOC120038074,LOC120038076,LOC120038077,LOC120038079,LOC120038081,LOC120038083,LOC120038084,LOC120038085,LOC120038097,LOC120038107,LOC120038108
lean_only_corroborated	NW_024061552.1	44350	113877	ribosomal	10	29	5S ribosomal RNA	LOC120042936,LOC120042937,LOC120042938,LOC120042939,LOC120042945,LOC120042947,LOC120042950,LOC120042955,LOC120042957,LOC120042961
lean_only_corroborated	NW_024060736.1	4721	17772	spliceosomal	10	15	U5 spliceosomal RNA	LOC120040709,LOC120040710,LOC120040714,LOC120040715,LOC120040716,LOC120040717,LOC120040718,LOC120040721,LOC120040723,LOC120040725
lean_only_corroborated	NW_024058929.1	1536	43766	ribosomal	9	17	5S ribosomal RNA	LOC120038282,LOC120038283,LOC120038285,LOC120038286,LOC120038287,LOC120038289,LOC120038291,LOC120038300,LOC120038316
lean_only_corroborated	NW_024059225.1	770	37554	ribosomal	9	15	5S ribosomal RNA	LOC120038813,LOC120038814,LOC120038816,LOC120038817,LOC120038818,LOC120038819,LOC120038820,LOC120038821,LOC120038842
lean_only_corroborated	NW_024058892.1	760	43114	ribosomal	9	18	5S ribosomal RNA	LOC120038140,LOC120038141,LOC120038142,LOC120038143,LOC120038146,LOC120038151,LOC120038152,LOC120038153,LOC120038169
lean_only_corroborated	NC_052327.1	4015	131133	spliceosomal	8	36	U5 spliceosomal RNA	LOC120066818,LOC120066824,LOC120066834,LOC120066835,LOC120066846,LOC120066849,LOC120066885,LOC120066886
lean_only_corroborated	NW_024061620.1	6142	104301	ribosomal	8	18	5S ribosomal RNA	LOC120043236,LOC120043238,LOC120043239,LOC120043241,LOC120043242,LOC120043244,LOC120043249,LOC120043269
lean_only_corroborated	NW_024061616.1	1210	106695	ribosomal	8	27	5S ribosomal RNA	LOC120043149,LOC120043155,LOC120043156,LOC120043159,LOC120043161,LOC120043162,LOC120043167,LOC120043170
lean_only_corroborated	NW_024059011.1	1052	42214	ribosomal	6	15	5S ribosomal RNA	LOC120038435,LOC120038436,LOC120038438,LOC120038439,LOC120038442,LOC120038467
lean_only_corroborated	NW_024057758.1	3325	39240	spliceosomal	6	18	U6 spliceosomal RNA	LOC120035622,LOC120035623,LOC120035625,LOC120035630,LOC120035632,LOC120035637
lean_only_corroborated	NW_024057731.1	191892	227585	spliceosomal	6	23	U6 spliceosomal RNA	LOC120035397,LOC120035405,LOC120035411,LOC120035412,LOC120035414,LOC120035417
lean_only_corroborated	NC_052313.1	57488290	57541083	gamma	6	10	gamma-crystallin M2-like	LOC120050560,LOC120050565,LOC120050566,LOC120050862,LOC120050864,LOC120050865
lean_only_corroborated	NW_024059092.1	723	39912	ribosomal	6	16	5S ribosomal RNA	LOC120038597,LOC120038599,LOC120038603,LOC120038604,LOC120038605,LOC120038628
lean_only_corroborated	NW_024058038.1	500	59172	ribosomal	5	18	5S ribosomal RNA	LOC120036393,LOC120036394,LOC120036395,LOC120036396,LOC120036419
lean_only_corroborated	NC_052328.1	1567170	1663506	loc	5	10	uncharacterized LOC120017450	LOC120017450,LOC120017871,LOC120017877,LOC120017989,LOC120017990
lean_only_corroborated	NW_024059807.1	160	30273	trna	5	10	tRNA-Ile	trnai-aau-39,trnai-aau-40,trnai-aau-42,trnai-aau-43,trnai-aau-45
lean_only_corroborated	NC_052348.1	13183667	13276702	ubiquitin	5	5	probable E3 ubiquitin-protein ligase HERC6	LOC120034746,LOC120034785,LOC120034786,LOC120034787,LOC120034990
lean_only_corroborated	NW_024058913.1	414	42768	ribosomal	5	18	5S ribosomal RNA	LOC120038225,LOC120038230,LOC120038236,LOC120038238,LOC120038263
lean_only_corroborated	NW_024059447.1	1886	34554	ribosomal	5	11	5S ribosomal RNA	LOC120039173,LOC120039176,LOC120039177,LOC120039178,LOC120039193
lean_only_corroborated	NW_024059952.1	3312	28070	ribosomal	4	11	5S ribosomal RNA	LOC120039851,LOC120039854,LOC120039857,LOC120039874
lean_only_corroborated	NW_024057675.1	625342	975048	zinc	4	17	zinc finger protein 79-like	LOC120035243,LOC120035244,LOC120035245,LOC120035262
lean_only_corroborated	NW_024058611.1	1543	50627	ribosomal	4	9	5S ribosomal RNA	LOC120037733,LOC120037736,LOC120037751,LOC120037755
lean_only_corroborated	NW_024061317.1	101750	110419	small	4	5	small nucleolar RNA SNORD41	LOC120042050,LOC120042051,LOC120042053,LOC120042054
lean_only_corroborated	NW_024061098.1	353	9310	trna	4	24	tRNA-Ile	trnai-aau-47,trnai-aau-48,trnai-aau-53,trnai-aau-54
lean_only_corroborated	NW_024061696.1	2132	96231	ribosomal	4	16	5S ribosomal RNA	LOC120043507,LOC120043513,LOC120043524,LOC120043535
lean_only_corroborated	NC_052345.1	17653880	17744078	small	4	5	small nucleolar RNA SNORA26	LOC120033074,LOC120033075,LOC120033078,LOC120033082
lean_only_corroborated	NC_052346.1	15992451	16049211	zinc	4	5	zinc finger and SCAN domain-containing protein 12-like	LOC120033770,LOC120033772,LOC120033773,LOC120033776
lean_only_corroborated	NW_024060424.1	1503	13202	ribosomal	4	8	5S ribosomal RNA	LOC120040365,LOC120040374,LOC120040380,LOC120040381
lean_only_corroborated	NW_024061306.1	129978	137944	trna	4	5	tRNA-Gly	trnag-ucc-81,trnag-ucc-82,trnag-ucc-83,trnag-ucc-84
lean_only_corroborated	NC_052307.1	75975176	76032420	serum	4	5	serum amyloid A-5 protein-like	LOC120049015,LOC120049034,LOC120049045,LOC120049056
lean_only_corroborated	NW_024061470.1	96850	97412	small	3	3	small nucleolar RNA SNORD88	LOC120042702,LOC120042703,LOC120042704
lean_only_corroborated	NW_024058207.1	1536	62831	ribosomal	3	26	5S ribosomal RNA	LOC120036802,LOC120036804,LOC120036831
lean_only_corroborated	NC_052311.1	64510626	64524049	zinc	3	3	zinc finger protein 23-like	LOC120048715,LOC120048716,LOC120048717
lean_only_corroborated	NC_052311.1	49637507	49772932	transmembrane	3	8	transmembrane protein 176A-like	LOC120047612,LOC120047616,LOC120047619
lean_only_corroborated	NC_052314.1	1366086	1448005	acidic	3	3	acidic leucine-rich nuclear phosphoprotein 32 family member 	LOC120052268,LOC120052269,LOC120052272
lean_only_corroborated	NW_024058285.1	8155	53635	loc	3	4	uncharacterized LOC120037028	LOC120037025,LOC120037026,LOC120037028
lean_only_corroborated	NW_024061644.1	2120	26323	ribosomal	3	7	5S ribosomal RNA	LOC120043368,LOC120043374,LOC120043391
lean_only_corroborated	NW_024058207.1	672	63664	spliceosomal	3	23	U1 spliceosomal RNA	LOC120036820,LOC120036824,LOC120036829
lean_only_corroborated	NW_024059456.1	385	35105	ribosomal	3	13	5S ribosomal RNA	LOC120039242,LOC120039243,LOC120039247
lean_only_corroborated	NW_024060341.1	592907	631209	homeobox	3	5	homeobox protein Hox-A13b-like	LOC120040282,LOC120040300,LOC120040302
lean_only_corroborated	NW_024061608.1	75509	149302	polysialoglycoprotein	3	3	polysialoglycoprotein-like	LOC120043108,LOC120043109,LOC120043110
lean_only_corroborated	NW_024060782.1	3182	16476	spliceosomal	3	15	U5 spliceosomal RNA	LOC120040791,LOC120040797,LOC120040798
lean_only_corroborated	NC_052345.1	17225646	17315665	voltage	3	3	voltage-dependent calcium channel gamma-5 subunit-like	LOC120032361,LOC120032372,LOC120032395
lean_only_corroborated	NW_024057745.1	1055	63459	ribosomal	3	26	5S ribosomal RNA	LOC120035560,LOC120035564,LOC120035567
lean_only_corroborated	NC_052345.1	719556	913933	loc	3	21	uncharacterized LOC120032508	LOC120032442,LOC120033061,LOC120033064
lean_only_corroborated	NC_052333.1	32044371	32149184	loc	3	20	uncharacterized LOC120022354	LOC120022712,LOC120022740,LOC120022797
siscowet_only_corroborated	NC_052337.1	46178035	46315381	spliceosomal	56	83	U5 spliceosomal RNA	LOC120026514,LOC120026519,LOC120026526,LOC120026527,LOC120026528,LOC120026530,LOC120026531,LOC120026532,LOC120026533,LOC120026534,LOC120026535,LOC120026536
siscowet_only_corroborated	NW_024057796.1	4907	85928	spliceosomal	43	71	U5 spliceosomal RNA	LOC120035764,LOC120035766,LOC120035767,LOC120035768,LOC120035769,LOC120035771,LOC120035772,LOC120035776,LOC120035778,LOC120035780,LOC120035781,LOC120035782
siscowet_only_corroborated	NW_024059057.1	1373	41334	spliceosomal	20	37	U5 spliceosomal RNA	LOC120038526,LOC120038535,LOC120038537,LOC120038539,LOC120038540,LOC120038542,LOC120038543,LOC120038544,LOC120038545,LOC120038546,LOC120038547,LOC120038548
siscowet_only_corroborated	NC_052348.1	7248779	8103329	zinc	20	25	zinc finger protein 19-like	LOC120034727,LOC120034728,LOC120034808,LOC120034822,LOC120034828,LOC120034830,LOC120034831,LOC120034836,LOC120034840,LOC120034842,LOC120034845,LOC120034848
siscowet_only_corroborated	NW_024058097.1	16660	247010	small	15	45	small nucleolar RNA SNORD29	LOC120036534,LOC120036537,LOC120036538,LOC120036544,LOC120036545,LOC120036548,LOC120036550,LOC120036552,LOC120036557,LOC120036562,LOC120036563,LOC120036565
siscowet_only_corroborated	NC_052309.1	65323799	65486444	homeobox	12	12	homeobox protein Hox-B1-like	LOC120034940,LOC120034946,LOC120034955,LOC120043984,LOC120044503,LOC120044504,LOC120044505,LOC120044507,LOC120044508,LOC120044509,LOC120044510,LOC120044511
siscowet_only_corroborated	NC_036392.1	1	15661	trna	11	22	tRNA-Phe	CXG42_mgt01,CXG42_mgt03,CXG42_mgt14,CXG42_mgt15,CXG42_mgt16,CXG42_mgt17,CXG42_mgt18,CXG42_mgt19,CXG42_mgt20,CXG42_mgt21,CXG42_mgt22
siscowet_only_corroborated	NW_024058661.1	82	10982	trna	8	10	tRNA-Thr	trnat-ugu-70,trnat-ugu-71,trnat-ugu-72,trnat-ugu-73,trnat-ugu-74,trnat-ugu-75,trnat-ugu-76,trnat-ugu-78
siscowet_only_corroborated	NC_052311.1	60013279	60192235	zinc	8	8	zinc finger protein 616-like	LOC120047696,LOC120048550,LOC120048551,LOC120048557,LOC120048569,LOC120048584,LOC120048585,LOC120048586
siscowet_only_corroborated	NC_052345.1	14405638	14654621	keratin	8	11	keratin, type I cytoskeletal 13-like	LOC120032397,LOC120032398,LOC120032614,LOC120032622,LOC120032719,LOC120032919,LOC120032920,krt98
siscowet_only_corroborated	NC_052327.1	4015	131133	spliceosomal	8	36	U5 spliceosomal RNA	LOC120066825,LOC120066830,LOC120066841,LOC120066842,LOC120066843,LOC120066912,LOC120066922,LOC120066923
siscowet_only_corroborated	NC_052313.1	57324016	57392977	gamma	6	11	gamma-crystallin S-1-like	LOC120050552,LOC120050554,LOC120050558,LOC120050857,LOC120050858,LOC120050859
siscowet_only_corroborated	NC_052348.1	8225840	8504136	zinc	5	12	zinc finger protein 470-like	LOC120034804,LOC120034837,LOC120034841,LOC120034864,LOC120034868
siscowet_only_corroborated	NW_024058641.1	147262	258001	ubiquitin	5	5	probable E3 ubiquitin-protein ligase HERC3	LOC120037778,LOC120037780,LOC120037783,LOC120037784,LOC120037785
siscowet_only_corroborated	NC_052308.1	61942469	61993221	small	5	5	small nucleolar RNA SNORA17	LOC120028403,LOC120028426,LOC120028433,LOC120028465,LOC120028473
siscowet_only_corroborated	NC_052338.1	19960407	20156603	loc	5	9	uncharacterized LOC120027201	LOC120026910,LOC120026978,LOC120027050,LOC120027150,LOC120027407
siscowet_only_corroborated	NC_052327.1	8706846	8725140	spliceosomal	5	22	U5 spliceosomal RNA	LOC120066848,LOC120066851,LOC120066858,LOC120066889,LOC120066898
siscowet_only_corroborated	NC_052312.1	20954301	21097607	leukotriene	4	9	leukotriene B4 receptor 1-like	LOC120049761,LOC120049762,LOC120049763,LOC120049765
siscowet_only_corroborated	NC_052311.1	60780425	60796795	zinc	4	4	zinc finger protein with KRAB and SCAN domains 8-like	LOC120048595,LOC120048599,LOC120048600,LOC120048602
siscowet_only_corroborated	NC_052311.1	65991514	66052241	apolipoprotein	4	5	apolipoprotein C-II	LOC120048760,LOC120048761,LOC120048762,apoc2
siscowet_only_corroborated	NC_052343.1	24746526	24753674	small	4	4	small nucleolar RNA U85	LOC120031710,LOC120031711,LOC120031713,LOC120031714
siscowet_only_corroborated	NC_052309.1	71559357	71662229	hemoglobin	4	17	hemoglobin subunit beta-1-like	LOC120036973,LOC120036990,LOC120037013,LOC120044016
siscowet_only_corroborated	NC_052309.1	85692133	86010322	metalloproteinase	4	10	metalloproteinase inhibitor 2-like	LOC120041601,LOC120041610,LOC120041621,LOC120041632
siscowet_only_corroborated	NW_024061111.1	150087	158962	small	4	5	small nucleolar RNA SNORD41	LOC120041239,LOC120041241,LOC120041242,LOC120041243
siscowet_only_corroborated	NC_052321.1	1041622	1048771	small	4	4	small nucleolar RNA SNORD50	LOC120060546,LOC120060547,LOC120060548,LOC120060549
siscowet_only_corroborated	NC_052329.1	27045601	27048663	small	4	4	small nucleolar RNA SNORD15	LOC120018979,LOC120018980,LOC120018994,LOC120018995
siscowet_only_corroborated	NW_024057675.1	625342	975048	zinc	4	17	zinc finger protein 79-like	LOC120035247,LOC120035248,LOC120035258,LOC120035261
siscowet_only_corroborated	NC_052311.1	66559012	66613629	gastrula	4	4	gastrula zinc finger protein XlCGF57.1-like	LOC120047288,LOC120047750,LOC120048776,LOC120048779
siscowet_only_corroborated	NC_052308.1	62099683	62102268	small	3	3	small nucleolar RNA SNORA84	LOC120028335,LOC120028533,LOC120028541
siscowet_only_corroborated	NC_052336.1	17059641	17061088	small	3	3	small nucleolar RNA MBII-202	LOC120025402,LOC120025403,LOC120025404
siscowet_only_corroborated	NC_052312.1	36469115	36491657	fibroblast	3	3	fibroblast growth factor 23-like	LOC120049094,LOC120049095,LOC120049360
siscowet_only_corroborated	NW_024058097.1	60645	230813	piggybac	3	3	piggyBac transposable element-derived protein 4-like	LOC120036514,LOC120036516,LOC120036517
siscowet_only_corroborated	NW_024058778.1	14	30833	ribosomal	3	7	5S ribosomal RNA	LOC120037939,LOC120037940,LOC120037941
siscowet_only_corroborated	NC_052347.1	21793648	21843468	loc	3	3	uncharacterized LOC120034293	LOC120034293,LOC120034294,LOC120034310
siscowet_only_corroborated	NC_052308.1	62353991	62454781	voltage	3	3	voltage-dependent calcium channel gamma-1 subunit-like	LOC120022592,LOC120027277,LOC120027286
siscowet_only_corroborated	NC_052314.1	44024581	44139754	vitellogenin	3	8	vitellogenin	LOC120052139,LOC120052140,LOC120052141
siscowet_only_corroborated	NC_052347.1	4710274	4711855	small	3	3	small nucleolar RNA SNORA79	LOC120034625,LOC120034626,LOC120034627
siscowet_only_corroborated	NC_052311.1	66175776	66231231	trypsin	3	4	trypsin-like	LOC120047283,LOC120047285,LOC120048768
siscowet_only_corroborated	NC_052348.1	15424617	15502749	acidic	3	3	acidic leucine-rich nuclear phosphoprotein 32 family member 	LOC120034653,LOC120034654,LOC120034657
siscowet_only_corroborated	NC_052311.1	66707554	66748187	chemokine	3	3	C-X-C chemokine receptor type 3-like	LOC120047289,LOC120047751,cxcr3.2
siscowet_only_corroborated	NW_024058195.1	25630	55655	ribosomal	3	4	18S ribosomal RNA	LOC120036750,LOC120036751,LOC120036752
siscowet_only_corroborated	NW_024058282.1	16332	60737	ribosomal	3	5	5.8S ribosomal RNA	LOC120037014,LOC120037019,LOC120037021
siscowet_only_corroborated	NC_052344.1	20401756	20552511	fish	3	8	fish-egg lectin-like	LOC120032089,LOC120032261,LOC120032286
siscowet_only_corroborated	NC_052309.1	80310362	80312250	small	3	3	small nucleolar RNA SNORA54	LOC120045247,LOC120045250,LOC120045251
siscowet_only_corroborated	NW_024057725.1	8491	68094	ribosomal	3	6	5.8S ribosomal RNA	LOC120035368,LOC120035372,LOC120035373
siscowet_only_corroborated	NC_052330.1	29018860	29022327	small	3	6	small nucleolar RNA SNORA73 family	LOC120019770,LOC120019774,LOC120019776
siscowet_only_corroborated	NW_024061419.1	938819	1124661	zinc	3	6	zinc finger protein 135-like	LOC120042491,LOC120042499,LOC120042500
siscowet_only_corroborated	NC_052307.1	71107485	71146359	small	3	3	small nucleolar RNA SNORD15	LOC120057268,LOC120057322,LOC120057340
siscowet_only_corroborated	NC_052314.1	54624461	54731505	ubiquitin	3	4	probable E3 ubiquitin-protein ligase HERC3	LOC120052194,LOC120052195,LOC120052838
