id,feature,fc,pval,qval,chr,start,end,score,strand
gene-becn1,gene,0.841024164676917,0.0204302638418827,0.368112762578773,NC_052310.1,20237221,20247060,0,+
gene-bicd2,gene,0.785909506756011,0.00682857782494395,0.308338378842631,NC_052308.1,43674336,43730038,0,+
gene-bin1b,gene,1.03283210793026,0.0356957138415536,0.41847609351822,NC_052313.1,57982502,58036418,0,+
gene-bmp16,gene,0.963721338304043,0.0499184468437388,0.441018254828864,NC_052329.1,38757567,38768392,0,+
gene-borcs7,gene,1.56490630842387,0.00256184995975151,0.294456832090784,NC_052328.1,15684630,15686616,0,+
gene-brd9,gene,0.764649631124138,0.0332393505593156,0.409629036900265,NC_052343.1,30573349,30607257,0,-
gene-brf2,gene,1.14738340538207,0.0445608221918544,0.437569138516569,NC_052337.1,36698104,36700805,0,+
gene-bud23,gene,1.51645989695995,0.0140148172767642,0.340449731591911,NW_024061244.1,68544,74599,0,-
gene-c13h2orf76,gene,1.34328551517337,0.0486105013779969,0.441018254828864,NC_052319.1,29459388,29464588,0,-
gene-c1galt1b,gene,1.37531898463058,0.0402733312994779,0.431417062851279,NC_052308.1,29876414,29888561,0,-
gene-c1h9orf64,gene,1.445879167266,0.0243629594729935,0.381761703516445,NC_052307.1,16095876,16107204,0,-
gene-c1qa,gene,2.01877602433136,0.00178563659004394,0.294456832090784,NW_024061356.1,68859,86256,0,-
gene-c20h1orf74,gene,1.14498946146042,0.00570156478019213,0.307632767845853,NC_052326.1,36749132,36750832,0,+
gene-c29h1orf131,gene,0.788844526451664,0.0121037624208269,0.328122792310618,NC_052335.1,19961234,19964025,0,+
gene-c31h9orf78,gene,0.806819505657556,0.0287699769318609,0.396601195681957,NC_052337.1,8433753,8440516,0,-
gene-c8g,gene,1.19731413621909,0.0178455801619859,0.360506171638955,NC_052339.1,20955642,20961573,0,+
gene-cacna1c,gene,0.952973819493102,0.0141226039425597,0.340449731591911,NC_052344.1,25855030,25953355,0,-
gene-cacul1,gene,0.902781693911118,0.0269582283836484,0.392303840679748,NC_052328.1,8465437,8476370,0,+
gene-calcoco2,gene,0.644126692267871,0.00901941829172137,0.315184030640451,NC_052310.1,15352629,15361691,0,+
gene-calm3a,gene,0.915011398063652,0.0446809506342055,0.43801676278681,NC_052329.1,38577331,38589522,0,-
gene-camsap2b,gene,0.975066983159076,0.00164285715409018,0.294456832090784,NC_052331.1,3199524,3263976,0,+
gene-capn10,gene,1.15651481456064,0.0373974105660657,0.424833553443925,NC_052331.1,3115759,3134414,0,-
gene-capzb,gene,1.32989635669001,0.0207889699368177,0.369983081800525,NC_052326.1,26688640,26715695,0,+
gene-cblb,gene,0.789219466245898,0.0266838499267117,0.390754885827308,NC_052318.1,51823789,52025291,0,-
gene-cbx4,gene,0.941286704759657,0.0451988702748486,0.438264838028898,NC_052309.1,83508602,83519708,0,+
gene-cc2d2a,gene,0.993216911086237,0.0478923835534023,0.441018254828864,NC_052316.1,27041071,27070538,0,+
gene-ccdc12,gene,1.19865225873802,0.0215365546245927,0.371711380260336,NC_052343.1,30455845,30474150,0,+
gene-ccdc135,gene,0.883045884854509,0.00130129308000893,0.294456832090784,NC_052327.1,21729653,21735967,0,-
gene-ccdc142,gene,0.78380453817468,0.0428967842303976,0.434267117034944,NC_052323.1,23790386,23797053,0,+
gene-ccdc186,gene,0.83282993513875,0.0473028280422546,0.441018254828864,NC_052322.1,4834776,4938689,0,+
gene-ccdc191,gene,0.730842715394918,0.0015239154023694,0.294456832090784,NC_052339.1,22028818,22058667,0,+
gene-ccdc66,gene,0.966380528035691,0.028891479564189,0.396945165949225,NC_052308.1,7196271,7207817,0,+
gene-ccndbp1,gene,0.800210530891183,0.0313833446880122,0.405462783444342,NC_052308.1,53078510,53093569,0,-
gene-ccpg1,gene,0.759611090365275,0.037201158452202,0.424171531213775,NC_052336.1,14804827,14817601,0,+
gene-ccr9a,gene,1.7773211328232,0.0108602703732246,0.32515937929485,NC_052317.1,1329758,1332766,0,-
gene-ccser1,gene,0.96080425966116,0.035243302785477,0.415306789890392,NC_052324.1,4501758,4608228,0,+
gene-cd74a,gene,1.67965266782985,0.00496339003904533,0.299785122175159,NC_052311.1,31231729,31236310,0,-
gene-cd74b,gene,1.78034620758721,0.00636546254981685,0.307632767845853,NC_052332.1,35177931,35181036,0,-
gene-cd81b,gene,1.63529821622772,0.00500368435527154,0.300629191642847,NC_052327.1,56026579,56059988,0,-
gene-cdc42se1,gene,0.722304265234519,0.0402219442102729,0.431417062851279,NC_052343.1,28573600,28582617,0,+
gene-cdkn2a/b,gene,1.6103149119155,0.0283503059004598,0.395824042330806,NC_052348.1,16536020,16538752,0,+
gene-cfap410,gene,0.905400153436132,0.00980753959578595,0.320981469225897,NC_052331.1,35432114,35438623,0,-
gene-cfbl,gene,0.710279811747336,0.0191373857335286,0.366799336022592,NC_052332.1,32269507,32278996,0,-
gene-chmp2ba,gene,0.864905925994647,0.00806381979472359,0.310524264571723,NC_052319.1,27520600,27532003,0,-
gene-chrna5,gene,0.9744078967841,0.0198437244460914,0.366799336022592,NC_052307.1,60931132,60995856,0,+
gene-ciapin1,gene,0.625234248859861,0.0394384601490951,0.430547567967213,NC_052315.1,22873182,22891349,0,-
gene-cipca,gene,0.889818458398134,0.0428230939848843,0.434128494753616,NC_052334.1,25173937,25184539,0,+
gene-cir1,gene,0.742207574179164,0.00169986365227071,0.294456832090784,NC_052325.1,37240728,37250234,0,+
gene-ciz1b,gene,0.898201965285068,0.0189327172283601,0.366799336022592,NC_052324.1,2913614,2929574,0,+
gene-clcn3,gene,1.19448578134624,0.042666295841956,0.433459519332214,NC_052312.1,20060908,20125837,0,-
gene-clip1a,gene,0.704280514486888,0.046067461483817,0.439156621090021,NC_052324.1,1122469,1175590,0,-
gene-clk2a,gene,0.812241117806187,0.0205120035719719,0.368112762578773,NC_052338.1,2843681,2860582,0,+
gene-clockb,gene,0.790813753062035,0.0124062850124813,0.330404491852661,NW_024057886.1,144758,201575,0,+
gene-clrn1,gene,1.15652170844584,0.025713102246985,0.386552059414018,NC_052329.1,42762508,42778971,0,+
gene-clstn1,gene,0.706304251339026,0.00506507515592292,0.301412557521834,NC_052320.1,24276236,24347593,0,+
gene-cmtr1,gene,0.872411826803339,0.0497092030892109,0.441018254828864,NC_052330.1,18953461,18969497,0,-
gene-colec11,gene,1.48123899460164,0.0112066822893231,0.32515937929485,NC_052334.1,37531309,37536123,0,-
gene-commd8,gene,1.5523359943992,0.0066999751453517,0.30820545002551,NC_052334.1,20792805,20801611,0,-
gene-cop1,gene,0.905087147214003,0.0221765921788645,0.374661709464443,NC_052331.1,23071624,23081778,0,-
gene-cops9,gene,1.49752720800038,0.0401938277168832,0.431417062851279,NC_052339.1,21662561,21668532,0,+
gene-cpne3,gene,0.77890015874603,0.0406781419273514,0.431769210783924,NC_052339.1,14712612,14735246,0,+
gene-cpped1,gene,1.37154294339764,0.0102322881982204,0.323218774138806,NC_052310.1,69335231,69383216,0,-
gene-crip1,gene,1.4384551733313,0.0187734964577584,0.36651721727948,NC_052321.1,36790441,36798355,0,+
gene-crtc3,gene,0.84324569540533,0.00273325868727969,0.294456832090784,NC_052307.1,73797979,73867923,0,+
gene-ctnnb1,gene,1.28668090186789,0.0205945796275649,0.368112762578773,NC_052343.1,29187744,29197783,0,-
gene-ctnnbip1,gene,1.46884508916099,0.00734561632856201,0.309567883574485,NC_052320.1,24213050,24242127,0,+
gene-ctsh,gene,1.7566568366458,0.0234213738516769,0.378209889289977,NC_052327.1,29898478,29902838,0,-
gene-ctsk,gene,1.60886085235402,0.00332427088121778,0.294456832090784,NC_052311.1,50258278,50265136,0,+
gene-cul4b,gene,0.829237409347773,0.0302304388138448,0.401667772442777,NC_052323.1,2566437,2582106,0,-
gene-cutc,gene,1.24553617761079,0.0310650604747607,0.404312093576119,NC_052310.1,33664436,33670775,0,+
gene-CXG42_mgt10,gene,1.95679795022094,0.0336058403408349,0.410411005294172,NC_036392.1,5333,5400,0,-
gene-dap3,gene,1.25788156628268,0.0427204636711997,0.433465230151023,NC_052311.1,63101487,63115155,0,-
gene-dapk1,gene,0.783328577368554,0.000357307048736155,0.294456832090784,NW_024059330.1,31074,156589,0,+
gene-dcaf11,gene,0.830932261651666,0.0254337008648069,0.384084746409414,NC_052313.1,18386479,18403848,0,-
gene-dcakd,gene,1.32734672013255,0.0108026475954938,0.32515937929485,NC_052310.1,23577092,23589678,0,+
gene-dclre1b,gene,0.9329916385513,0.0336425296321152,0.410411005294172,NC_052320.1,3344900,3368987,0,-
gene-dctn6,gene,0.746311154094398,0.0110368769603537,0.32515937929485,NC_052312.1,1944485,1952148,0,+
gene-ddhd1a,gene,0.928302778656999,0.0424925274823194,0.432944310907149,NC_052321.1,27263943,27304925,0,+
gene-deptor,gene,0.744838191422232,0.0248104597633436,0.382924839410677,NC_052311.1,74083413,74155108,0,-
gene-desi2,gene,1.23910631531009,0.0185940958355977,0.36586879025438,NC_052341.1,17523945,17580710,0,-
gene-dhrs12,gene,0.913855610050067,0.0201730353767928,0.366799336022592,NC_052319.1,26808711,26812240,0,+
gene-dhrs7b,gene,1.53660391542519,0.00162915711378919,0.294456832090784,NC_052309.1,58471763,58483741,0,+
gene-dicer1,gene,0.883555178858701,0.0112617528499788,0.325210232475131,NC_052321.1,35392855,35439038,0,-
gene-dipk1c,gene,1.34931916197065,0.0462200919994156,0.439390658390524,NC_052313.1,29828207,29849598,0,-
gene-dipk2b,gene,1.10429145900973,0.0119005186750232,0.327567466238276,NC_052325.1,32115076,32121907,0,-
gene-dmac2l,gene,1.41692271349192,0.0150837364513181,0.346108492740252,NC_052321.1,3631477,3635199,0,+
gene-dpp7,gene,1.63896344694556,0.00335239040431157,0.294456832090784,NC_052307.1,19377075,19382310,0,+
gene-dpysl3,gene,1.24822466869843,0.0196169206789916,0.366799336022592,NC_052309.1,48834237,48866001,0,+
gene-dynll1,gene,1.47424143836768,0.00262618528432046,0.294456832090784,NW_024059319.1,88969,95655,0,-
gene-eaf1,gene,0.852814067864661,0.0134881875036468,0.337235365803839,NC_052311.1,51489745,51492548,0,+
gene-echdc1,gene,1.47448752298116,0.0115824063943593,0.326060140968464,NW_024060896.1,52748,59653,0,+
gene-ecscr,gene,0.834076401613145,0.0262364723348714,0.38899270270901,NC_052332.1,34165362,34169447,0,-
gene-eef1akmt1,gene,1.66731541920739,0.0241909545891359,0.381196521581383,NC_052319.1,29693685,29695330,0,-
gene-eef1e1,gene,1.53991121680872,0.00117849044475959,0.294456832090784,NC_052313.1,18114052,18122171,0,+
gene-eif3m,gene,0.648527525557627,0.0397765569420172,0.431241603733196,NC_052307.1,78796041,78807903,0,+
gene-eipr1,gene,1.41852644031082,0.0232197592277463,0.377398334062404,NC_052334.1,32669069,32748440,0,+
gene-elob,gene,1.40632264633592,0.0448022942663016,0.438075811596274,NC_052309.1,81069701,81073396,0,-
gene-emp1,gene,1.46723367894306,0.0425081864632668,0.432944310907149,NC_052345.1,7260427,7264285,0,-
gene-epg5,gene,0.761530850435709,0.0346598025772462,0.413801407843692,NC_052307.1,29633264,29661224,0,-
gene-ephb3a,gene,1.14601705797717,0.0205744899720217,0.368112762578773,NC_052331.1,33747681,33797167,0,-
gene-ercc6,gene,0.839514297738954,0.00446325791563829,0.294456832090784,NC_052328.1,6503958,6555974,0,+
gene-erg28,gene,1.56788876772236,0.00196491237878982,0.294456832090784,NC_052321.1,22288748,22290734,0,+
gene-ergic2,gene,1.24071563646661,0.0330410711710971,0.40871939091074,NC_052307.1,30660921,30673275,0,-
gene-etnk1,gene,0.856337579981565,0.020554523316012,0.368112762578773,NC_052344.1,11706172,11724891,0,+
gene-exoc7,gene,0.576832144061376,0.0215546139165033,0.371711380260336,NC_052310.1,66304093,66317948,0,+
gene-exosc6,gene,1.56843776597852,0.0163269560200049,0.352331256915375,NC_052327.1,25209040,25210574,0,+
gene-exosc7,gene,1.70143438307241,0.0106466378711605,0.32515937929485,NC_052333.1,37114244,37121731,0,-
gene-f7l,gene,1.35937698102432,0.00350180886346907,0.294456832090784,NC_052346.1,18803320,18806839,0,-
gene-fabp4a,gene,1.80479195405664,0.0405090563008765,0.431417062851279,NC_052338.1,30990825,30992257,0,+
gene-fabp7b,gene,3.21048728614724,0.000928394390722564,0.294456832090784,NC_052330.1,11406130,11407765,0,-
gene-fam120c,gene,0.858522845615715,0.0440652349858575,0.436397772232184,NW_024059120.1,209786,281616,0,+
gene-fam160b2,gene,0.76171042843275,0.0418774759922589,0.432944310907149,NC_052307.1,46606985,46620453,0,+
gene-fam161b,gene,0.977998255013236,0.00398721936775548,0.294456832090784,NC_052334.1,25271487,25274562,0,-
gene-fam184aa,gene,0.946964528599368,0.0418022086408115,0.432944310907149,NC_052336.1,32013329,32062693,0,-
gene-fam185a,gene,0.779285599124869,0.0130917889639488,0.336327249031584,NC_052315.1,35415851,35428369,0,-
gene-fam89b,gene,1.34319711858436,0.0444002375656474,0.437208077566777,NC_052318.1,45620842,45624640,0,-
gene-fance,gene,0.95182765461909,0.0193746789568074,0.366799336022592,NC_052320.1,9584084,9589757,0,+
gene-fancg,gene,1.02513116589716,0.0448718397947806,0.438194709136001,NC_052307.1,29577779,29592448,0,+
gene-fancm,gene,0.786130940358117,0.0489917052670429,0.441018254828864,NC_052334.1,40309269,40381470,0,+
gene-fbxo32,gene,0.678811609623067,0.0129991767801342,0.335961482645192,NW_024060896.1,101522,121016,0,+
gene-fhl1b,gene,1.22125146266063,0.00568346219934757,0.307632767845853,NC_052318.1,45763542,45788618,0,-
gene-fignl1,gene,1.38536024605722,0.0115048630952115,0.326060140968464,NC_052310.1,35137019,35147182,0,-
gene-fip1l1a,gene,0.77404737640041,0.0131065398252813,0.336327249031584,NC_052314.1,27691868,27740243,0,+
gene-fn1b,gene,0.736969416964275,0.0400873598532185,0.431417062851279,NC_052346.1,18329909,18357937,0,-
gene-fuom,gene,1.49790515103611,0.0451378356343313,0.438264838028898,NC_052328.1,6092860,6097598,0,-
gene-fut11,gene,1.22748631567914,0.00151716224906706,0.294456832090784,NC_052323.1,19629598,19634627,0,-
gene-fybb,gene,0.769156088098325,0.00656624264152983,0.307632767845853,NC_052337.1,34103530,34113897,0,+
gene-galm,gene,1.46177329549696,0.0133776107653969,0.337235365803839,NC_052310.1,53124037,53151375,0,-
gene-galns,gene,1.24172931733499,0.0183140517651077,0.364374517148429,NC_052307.1,58844901,58865944,0,-
gene-galnt6,gene,1.04113649210921,0.0398881232257793,0.431241603733196,NC_052322.1,12731715,12752220,0,+
gene-gart,gene,1.44589461335766,0.00302852116740104,0.294456832090784,NC_052346.1,2539800,2562394,0,+
gene-gatd1,gene,0.796632824176732,0.0077423399368558,0.309567883574485,NC_052327.1,49006701,49010989,0,+
gene-gca,gene,1.47737099015037,0.0380254653629988,0.426967584862436,NC_052313.1,47240686,47247432,0,+
gene-git2a,gene,0.674930437281393,0.0252640407653815,0.384084746409414,NC_052307.1,15886115,15910808,0,-
gene-gk5,gene,0.710016959337829,0.0424435147312694,0.432944310907149,NC_052331.1,40109284,40131601,0,+
gene-glceb,gene,1.21371234316052,0.0492246350124775,0.441018254828864,NC_052307.1,81044831,81146915,0,-
gene-glipr2,gene,1.282662408937,0.0129328222881825,0.335518543273595,NC_052337.1,17909815,17932471,0,+
gene-glod5,gene,1.59450311097143,0.0348577934074163,0.413801407843692,NC_052323.1,38461366,38470338,0,-
gene-gnptg,gene,0.793050426120144,0.0150876487197631,0.346108492740252,NC_052310.1,17504961,17511112,0,+
gene-golga4,gene,0.779613590739465,0.0410208976021557,0.432476713914287,NC_052341.1,13281623,13341513,0,+
gene-gpcpd1,gene,0.735288340450293,0.0294684646710303,0.398749136898002,NC_052330.1,24669666,24686361,0,+
gene-gpr157,gene,1.10407500472986,0.0198198747294647,0.366799336022592,NC_052320.1,2180037,2191491,0,+
gene-gpr18,gene,1.08908969791352,0.049417341859174,0.441018254828864,NC_052325.1,46789670,46794147,0,-
gene-gramd4a,gene,0.898304263264849,0.0254627901390567,0.384131698630289,NC_052344.1,2390830,2452550,0,-
gene-grinab,gene,1.39776790557696,0.0183728306299047,0.364769235777677,NC_052343.1,27260833,27270811,0,+
gene-grip2b,gene,0.813439894347092,0.0100139617742909,0.32187176548983,NC_052326.1,51597662,51787947,0,-
gene-gtf2e2,gene,0.86436419443085,0.0235219989973238,0.378209889289977,NC_052314.1,3967372,3993719,0,+
gene-gtf2h1,gene,0.917621758606787,0.0464676205209239,0.440564499815363,NC_052314.1,4338756,4356419,0,-
gene-gtpbp2b,gene,1.1348562219205,0.0494050055291424,0.441018254828864,NC_052308.1,58251309,58260825,0,+
gene-hacd3,gene,1.48615487057044,0.0129027217971511,0.3352729773147,NW_024059075.1,45948,60609,0,+
gene-hbs1l,gene,0.689849991161271,0.0419175711002249,0.432944310907149,NW_024060009.1,208543,237312,0,-
gene-hdac10,gene,1.47398039819629,0.0396686254606473,0.431241603733196,NC_052327.1,19162580,19172132,0,+
gene-hdhd5,gene,1.2158714363021,0.0335062287654571,0.410411005294172,NC_052314.1,8265312,8270919,0,-
gene-hdlbpb,gene,0.954200529257706,0.0316236778925434,0.406583099235983,NC_052312.1,14976673,15013054,0,-
gene-heatr5a,gene,0.749242085617633,0.0249914116577159,0.383370291749121,NC_052321.1,31993502,32018466,0,-
gene-heatr5b,gene,0.786635389550257,0.043250816290287,0.434580988774948,NC_052310.1,552565,637212,0,-
gene-herpud2,gene,1.21810808617657,0.0183302059690931,0.364374517148429,NC_052311.1,51366868,51378858,0,-
gene-hibadhb,gene,1.30883511956566,0.0107480912313674,0.32515937929485,NC_052343.1,27974899,28001702,0,-
gene-hps1,gene,0.964055098307632,0.0174530225218426,0.358831531624267,NC_052310.1,63987509,64009220,0,+
gene-hsd17b10,gene,1.67857176732181,0.00155867462915471,0.294456832090784,NW_024058586.1,208217,234954,0,-
gene-hsd17b12b,gene,1.18193036100082,0.0140553355815666,0.340449731591911,NC_052307.1,81783049,81799181,0,+
gene-hsd20b2,gene,0.69766594165039,0.0241840317273117,0.381196521581383,NC_052318.1,32660110,32671591,0,+
gene-hsdl2,gene,0.840080456830493,0.0252055260729026,0.384084746409414,NW_024061453.1,353808,374006,0,+
gene-hyal3,gene,1.77740280619965,0.00462384121580484,0.294942041808147,NC_052322.1,28691676,28701831,0,+
gene-ift57,gene,0.822244136453537,0.00883616363907902,0.313332262891987,NC_052317.1,2623024,2635653,0,+
gene-igf2bp3,gene,1.04532208127552,0.0324650025505259,0.406674412378053,NC_052333.1,13706155,13746701,0,+
gene-il12rb2,gene,1.10910011609391,0.0242279067631324,0.381196521581383,NC_052316.1,25228621,25242705,0,-
gene-il6,gene,1.54497990868257,0.0427879276313399,0.433905374362339,NW_024061008.1,145527,148000,0,-
gene-immp2l,gene,1.45728079518931,0.0455567667800767,0.438392487561532,NC_052315.1,46786937,46955919,0,+
gene-immt,gene,1.35339908920255,0.0274051119501453,0.392303840679748,NC_052323.1,23703894,23723930,0,+
gene-impa1,gene,1.29317571418123,0.0482855701462763,0.441018254828864,NC_052331.1,37565528,37574144,0,+
gene-inpp5f,gene,0.922077848481142,0.0115727103984754,0.326060140968464,NC_052328.1,8592786,8609190,0,+
gene-insrb,gene,0.710559736831176,0.0116763129360127,0.326060140968464,NC_052316.1,44898526,45090204,0,-
gene-ints4,gene,0.701014979796018,0.0198694829258498,0.366799336022592,NC_052340.1,15972014,15985454,0,-
gene-ip6k2b,gene,1.44095088983926,0.0424022920209233,0.432944310907149,NC_052308.1,30945370,30951661,0,-
gene-ippk,gene,0.968439015475387,0.0246952625129491,0.382924839410677,NW_024058786.1,559656,584325,0,-
gene-irak1,gene,0.733029569785711,0.0412612485764716,0.432695905082428,NC_052322.1,42761850,42805045,0,-
gene-ireb2,gene,0.805128447180242,0.00880553169598053,0.312997385291562,NC_052327.1,9331249,9366365,0,+
gene-irf2bpl,gene,1.09198872384446,0.042272052830812,0.432944310907149,NC_052321.1,33019571,33022549,0,+
gene-isoc1,gene,1.39436961545779,0.00488070907575644,0.297156907820341,NC_052337.1,2133709,2150702,0,+
gene-ivd,gene,0.780286744187368,0.0361019700804747,0.419944561817499,NC_052321.1,6429234,6439720,0,+
gene-jam2a,gene,1.26089514199032,0.0209301004487374,0.370657148006446,NC_052346.1,3318604,3335089,0,-
gene-kansl3,gene,0.782022485805722,0.0197572034419573,0.366799336022592,NC_052324.1,21171266,21185973,0,-
