gene_id	eco_chrom	eco_start	eco_end	eco_strand	symbol	geneid	biotype	chrom	start	end	strand	is_named	product	n_go	go_bp	go_mf	go_cc	go_terms
gene-ubr7	ptg000003l	285466	302070	+	ubr7	120023880	protein_coding	NC_052335.1	12794257	12810857	+	1	ubiquitin protein ligase E3 component n-recognin 7	3	0	2	1	GO:0005737|GO:0008270|GO:0061630
gene-btbd7	ptg000003l	302677	423543	-	btbd7	120023888	protein_coding	NC_052335.1	12811465	12932406	-	1	BTB (POZ) domain containing 7	2	1	1	0	GO:0005515|GO:0061138
gene-si:dkey-85n7.8	ptg000003l	442754	445993	+	si:dkey-85n7.8	120024030	protein_coding	NC_052335.1	12951619	12954857	+	1	COX8 domain-containing protein	3	1	0	2	GO:0005739|GO:0005751|GO:0006123
gene-prima1	ptg000003l	526174	591943	+	prima1	120023959	protein_coding	NC_052335.1	13035005	13100808	+	1	proline rich membrane anchor 1	0	0	0	0	NA
gene-LOC120023960	ptg000003l	614537	627593	-	LOC120023960	120023960	protein_coding	NC_052335.1	13123418	13136219	-	0	ankyrin repeat and SOCS box protein 2-like	5	3	1	1	GO:0000151|GO:0005515|GO:0006511|GO:0016567|GO:0035556
gene-scp2a	ptg000004l	1361	3414	-	scp2a	120056155	protein_coding	NC_052317.1	38937875	38957697	-	1	sterol carrier protein 2a	1	0	1	0	GO:0016747
gene-czib	ptg000004l	3628	5995	-	czib	120056157	protein_coding	NC_052317.1	38957912	38960278	-	1	CXXC motif containing zinc binding protein	1	0	1	0	GO:0008270
gene-uck2b	ptg000004l	7020	21211	-	uck2b	120056156	protein_coding	NC_052317.1	38961304	38975484	-	1	uridine-cytidine kinase 2b	4	0	2	2	GO:0005524|GO:0005737|GO:0005829|GO:0016301
gene-LOC120056158	ptg000004l	28492	32546	+	LOC120056158	120056158	protein_coding	NC_052317.1	38982738	38986791	+	0	zinc finger protein 236-like	0	0	0	0	NA
gene-LOC120056159	ptg000004l	39677	43252	+	LOC120056159	120056159	protein_coding	NC_052317.1	38993833	38997407	+	0	zinc finger protein 260-like	3	1	2	0	GO:0000978|GO:0000981|GO:0006357
gene-LOC120056160	ptg000004l	45678	51866	-	LOC120056160	120056160	protein_coding	NC_052317.1	38999808	39006213	-	0	purine nucleoside phosphorylase-like	3	1	1	1	GO:0004731|GO:0005737|GO:0009116
gene-LOC120057191_4	ptg000004l	70741	71205	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120063564_3	ptg000005l	1343	1950	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120063557_8	ptg000005l	7584	8960	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120063461_6	ptg000005l	41904	42455	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120063549_4	ptg000005l	42871	43773	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120063466_3	ptg000005l	70893	71922	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120063541_14	ptg000005l	72368	73511	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120063541_16	ptg000005l	120286	121430	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120063557_9	ptg000005l	125313	126695	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120041267	ptg000005l	134244	138485	-	LOC120041267	120041267	protein_coding	NW_024061119.1	34977	39220	+	0	uncharacterized LOC120041267	0	0	0	0	NA
gene-LOC120063557_5	ptg000005l	169730	171103	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120037885	ptg000005l	183016	184172	-	LOC120037885	120037885	lncRNA	NW_024058746.1	42694	43849	-	0	uncharacterized LOC120037885	0	0	0	0	NA
gene-LOC120037886	ptg000005l	184278	185528	-	LOC120037886	120037886	protein_coding	NW_024058746.1	43956	46867	-	0	uncharacterized LOC120037886	0	0	0	0	NA
gene-LOC120028812	ptg000006l	851	4781	+	LOC120028812	120028812	protein_coding	NC_052340.1	9959226	9975266	+	0	sodium-dependent serotonin transporter-like	6	2	2	2	GO:0005335|GO:0016020|GO:0035725|GO:0043005|GO:0051378|GO:0051610
gene-LOC120029007	ptg000006l	30790	69872	+	LOC120029007	120029007	protein_coding	NC_052340.1	10001276	10040343	+	0	protein phosphatase Slingshot homolog 2-like	6	3	2	1	GO:0003779|GO:0005737|GO:0006470|GO:0008138|GO:0030036|GO:0030837
gene-LOC120029101	ptg000006l	80983	122871	-	LOC120029101	120029101	protein_coding	NC_052340.1	10051552	10093440	-	0	ankyrin repeat domain-containing protein 13B-like	2	0	1	1	GO:0005515|GO:0005737
gene-LOC120028632	ptg000006l	123952	148160	+	LOC120028632	120028632	protein_coding	NC_052340.1	10094522	10118733	+	0	ARF GTPase-activating protein GIT1-like	4	2	2	0	GO:0005096|GO:0005515|GO:0007420|GO:0032012
gene-LOC120029100	ptg000006l	149749	157039	-	LOC120029100	120029100	protein_coding	NC_052340.1	10120322	10127653	-	0	uncharacterized LOC120029100	1	0	0	1	GO:0005737
gene-LOC120029083	ptg000006l	166049	173138	+	LOC120029083	120029083	protein_coding	NC_052340.1	10136612	10143700	+	0	protein FAM133-like	0	0	0	0	NA
gene-LOC120029164	ptg000006l	172047	176847	+	LOC120029164	120029164	protein_coding	NC_052340.1	10142610	10147410	+	0	nucleolar protein 58-like	0	0	0	0	NA
gene-LOC120028780	ptg000006l	187448	189919	+	LOC120028780	120028780	protein_coding	NC_052340.1	10158012	10160482	+	0	putative uncharacterized protein DDB_G0292636	0	0	0	0	NA
gene-LOC120028229	ptg000006l	193891	297898	+	LOC120028229	120028229	protein_coding	NC_052340.1	10164455	10270411	+	0	immunoglobulin superfamily member 11-like	3	1	1	1	GO:0005911|GO:0007156|GO:0035255
gene-LOC120018643	ptg000007l	58957	98641	+	LOC120018643	120018643	protein_coding	NC_052329.1	32333908	32373646	+	0	zinc finger protein neuro-d4-like	2	1	0	1	GO:0007399|GO:0071565
gene-LOC120018795	ptg000007l	109648	114745	-	LOC120018795	120018795	protein_coding	NC_052329.1	32384659	32389755	-	0	TRPM8 channel-associated factor homolog	0	0	0	0	NA
gene-si:ch1073-280e3.1	ptg000007l	145813	159412	-	si:ch1073-280e3.1	120018329	protein_coding	NC_052329.1	32410643	32434791	-	1	complement C2	4	2	1	1	GO:0004252|GO:0005576|GO:0006508|GO:0006956
gene-LOC120018330	ptg000007l	159986	167654	+	LOC120018330	120018330	protein_coding	NC_052329.1	32435366	32443014	+	0	membrane frizzled-related protein-like	1	0	1	0	GO:0005515
gene-LOC120018331	ptg000007l	167579	170760	-	LOC120018331	120018331	protein_coding	NC_052329.1	32442940	32446122	-	0	uncharacterized LOC120018331	1	0	1	0	GO:0010945
gene-LOC120018334	ptg000007l	196533	202227	+	LOC120018334	120018334	protein_coding	NC_052329.1	32471944	32477645	+	0	transgelin-like	1	0	1	0	GO:0005515
gene-LOC120018646	ptg000007l	205114	223213	-	LOC120018646	120018646	protein_coding	NC_052329.1	32480533	32498633	-	0	proprotein convertase subtilisin/kexin type 7-like	4	1	1	2	GO:0000139|GO:0004252|GO:0005802|GO:0016485
gene-LOC120018647	ptg000007l	229569	247864	-	LOC120018647	120018647	protein_coding	NC_052329.1	32504994	32523290	-	0	beta-secretase 1-like	6	2	1	3	GO:0004190|GO:0005768|GO:0005802|GO:0006509|GO:0016020|GO:0050435
gene-LOC120018797	ptg000007l	248690	254441	-	LOC120018797	120018797	protein_coding	NC_052329.1	32524117	32529867	-	0	T-box transcription factor TBX1	6	3	2	1	GO:0000978|GO:0000981|GO:0001708|GO:0005634|GO:0006357|GO:0045893
gene-LOC120018335	ptg000007l	256081	258767	-	LOC120018335	120018335	protein_coding	NC_052329.1	32531516	32534211	-	0	apolipoprotein A-I-1	4	2	1	1	GO:0005576|GO:0006869|GO:0008289|GO:0042157
gene-LOC120018648	ptg000007l	276472	298019	+	LOC120018648	120018648	protein_coding	NC_052329.1	32551921	32573467	+	0	centrosomal protein of 164 kDa-like	1	0	1	0	GO:0005515
gene-LOC120018336	ptg000007l	298084	319970	-	LOC120018336	120018336	protein_coding	NC_052329.1	32573533	32595419	-	0	SID1 transmembrane family member 2-like	1	0	0	1	GO:0016020
gene-LOC120018337	ptg000007l	335698	388903	+	LOC120018337	120018337	protein_coding	NC_052329.1	32611148	32664335	+	0	serine/threonine-protein kinase SIK3 homolog	7	3	3	1	GO:0000226|GO:0004674|GO:0005524|GO:0005737|GO:0006468|GO:0035556|GO:0050321
gene-LOC120056766_40	ptg000007l	403166	405230	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120018799	ptg000007l	415586	419755	-	LOC120018799	120018799	protein_coding	NC_052329.1	32691000	32695169	-	0	T-cell surface glycoprotein CD3 epsilon chain-like	5	2	1	2	GO:0004888|GO:0007166|GO:0009897|GO:0042105|GO:0045059
gene-LOC120018339	ptg000007l	422266	443496	+	LOC120018339	120018339	protein_coding	NC_052329.1	32697681	32718954	+	0	myelin protein zero-like protein 2	2	1	0	1	GO:0016020|GO:0098609
gene-LOC120018340	ptg000007l	451252	463469	+	LOC120018340	120018340	protein_coding	NC_052329.1	32726715	32738931	+	0	myelin protein zero-like protein 3	1	0	0	1	GO:0016020
gene-LOC120018651	ptg000007l	467141	475091	+	LOC120018651	120018651	protein_coding	NC_052329.1	32742604	32750585	+	0	neuromodulin-like	2	1	1	0	GO:0005515|GO:0040008
gene-LOC120018341	ptg000007l	476471	522154	-	LOC120018341	120018341	protein_coding	NC_052329.1	32751966	33228546	-	0	limbic system-associated membrane protein-like	1	0	0	1	GO:0043005
gene-LOC120024517	ptg000008l	23162	42703	-	LOC120024517	120024517	protein_coding	NC_052335.1	15707605	15727170	+	0	vascular endothelial growth factor A-A-like	15	9	4	2	GO:0001666|GO:0001934|GO:0001938|GO:0002040|GO:0005615|GO:0008083|GO:0008201|GO:0016020|GO:0038084|GO:0042056|GO:0043183|GO:0045766|GO:0048010|GO:0050930|GO:0060754
gene-LOC120024151	ptg000008l	163938	166676	+	LOC120024151	120024151	protein_coding	NC_052335.1	15583184	15585921	-	0	39S ribosomal protein S18a, mitochondrial-like	5	1	2	2	GO:0003735|GO:0005763|GO:0005840|GO:0032543|GO:0070181
gene-LOC120043296	ptg000009l	46421	65950	-	LOC120043296	120043296	protein_coding	NW_024061630.1	120557	139410	-	0	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial-like	4	1	1	2	GO:0003954|GO:0005747|GO:0006120|GO:0045272
gene-acss2l	ptg000009l	74358	107509	+	acss2l	120043290	protein_coding	NW_024061630.1	147692	179956	+	1	acyl-CoA synthetase short chain family member 2 like	3	1	2	0	GO:0003987|GO:0016208|GO:0019427
gene-LOC120018344	ptg000010l	25346	64839	+	LOC120018344	120018344	protein_coding	NC_052329.1	34300911	34341015	-	0	protein phosphatase Slingshot homolog 2-like	6	3	2	1	GO:0003779|GO:0005737|GO:0006470|GO:0008138|GO:0030036|GO:0030837
gene-LOC120018891	ptg000010l	70237	101595	-	LOC120018891	120018891	protein_coding	NC_052329.1	34264221	34295521	+	0	ankyrin repeat domain-containing protein 13B-like	2	0	1	1	GO:0005515|GO:0005737
gene-LOC120018343	ptg000010l	102592	125513	+	LOC120018343	120018343	protein_coding	NC_052329.1	34240199	34263223	-	0	ARF GTPase-activating protein GIT1-like	4	2	2	0	GO:0005096|GO:0005515|GO:0007420|GO:0032012
gene-LOC120018342	ptg000010l	129379	141052	-	LOC120018342	120018342	protein_coding	NC_052329.1	34224615	34236327	+	0	tumor protein p53-inducible protein 13-like	1	0	0	1	GO:0005737
gene-LOC120018652	ptg000010l	154738	165892	+	LOC120018652	120018652	protein_coding	NC_052329.1	34199726	34210885	-	0	cylicin-2-like	0	0	0	0	NA
gene-LOC120018006	ptg000010l	178888	272130	+	LOC120018006	120018006	protein_coding	NC_052329.1	34092935	34186748	-	0	immunoglobulin superfamily member 11-like	3	1	1	1	GO:0005911|GO:0007156|GO:0035255
gene-LOC120039496	ptg000011l	49000	55181	-	LOC120039496	120039496	protein_coding	NW_024059625.1	3275	9519	-	0	uncharacterized protein C11orf98 homolog	0	0	0	0	NA
gene-LOC120020106_37	ptg000011l	152343	153447	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120026529	ptg000012l	85984	86448	+	LOC120026529	120026529	lncRNA	NC_052308.1	51336550	51337013	-	0	uncharacterized LOC120026529	0	0	0	0	NA
gene-LOC120026509	ptg000012l	348131	362620	-	LOC120026509	120026509	protein_coding	NC_052308.1	51058644	51073065	+	0	transcription factor AP-2 gamma-like	6	3	2	1	GO:0000977|GO:0000981|GO:0005634|GO:0006357|GO:0042127|GO:0048856
gene-LOC120064397	ptg000012l	364402	404206	-	LOC120064397	120064397	protein_coding	NC_052308.1	51022153	51056857	+	0	replication termination factor 2-like	3	2	0	1	GO:0005634|GO:0071171|GO:1902979
gene-LOC120064380	ptg000012l	386806	396824	+	LOC120064380	120064380	protein_coding	NC_052308.1	51029537	51039554	-	0	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7-like	2	0	1	1	GO:0008375|GO:0016020
gene-LOC120064418	ptg000012l	403406	407277	+	LOC120064418	120064418	lncRNA	NC_052308.1	51019082	51022952	-	0	uncharacterized LOC120064418	0	0	0	0	NA
gene-LOC120026505	ptg000012l	536857	557241	+	LOC120026505	120026505	protein_coding	NC_052308.1	50869164	50889504	-	0	eyes absent homolog 2-like	6	4	1	1	GO:0004725|GO:0005634|GO:0007275|GO:0030154|GO:0045739|GO:2001240
gene-tgm5l_1	ptg000012l	578040	590943	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120035181	ptg000013l	27893	40097	+	LOC120035181	120035181	protein_coding	NC_052348.1	11367994	11380183	+	0	transmembrane protein 154-like	0	0	0	0	NA
gene-LOC120034920	ptg000013l	44524	256710	+	LOC120034920	120034920	protein_coding	NC_052348.1	11384611	11589744	+	0	F-box/WD repeat-containing protein 7-like	5	2	1	2	GO:0005634|GO:0005737|GO:0010992|GO:0043130|GO:0043161
gene-LOC120035039	ptg000013l	422325	423438	-	LOC120035039	120035039	protein_coding	NC_052348.1	11755651	11756763	-	0	dCTP pyrophosphatase 1-like	2	1	1	0	GO:0009143|GO:0047429
gene-gatb	ptg000013l	423615	442091	+	gatb	120034916	protein_coding	NC_052348.1	11756941	11775348	+	1	glutamyl-tRNA(Gln) amidotransferase, subunit B	3	2	1	0	GO:0032543|GO:0050567|GO:0070681
gene-LOC120034915	ptg000013l	443286	485815	-	LOC120034915	120034915	protein_coding	NC_052348.1	11776544	11818835	-	0	protein FAM160A1-like	0	0	0	0	NA
gene-LOC120034673	ptg000013l	491121	515726	+	LOC120034673	120034673	protein_coding	NC_052348.1	11824141	11849085	+	0	SH3 domain-containing protein 19-like	3	1	1	1	GO:0005515|GO:0033565|GO:0043328
gene-LOC120034675	ptg000013l	516861	520739	-	LOC120034675	120034675	protein_coding	NC_052348.1	11850221	11854103	-	0	40S ribosomal protein S3a	4	1	1	2	GO:0003735|GO:0005829|GO:0005840|GO:0006412
gene-LOC120035203	ptg000013l	517435	517567	-	LOC120035203	120035203	snoRNA	NC_052348.1	11850800	11850931	-	0	small nucleolar RNA SNORA17	0	0	0	0	NA
gene-LOC120035202	ptg000013l	518941	519008	-	LOC120035202	120035202	snoRNA	NC_052348.1	11852306	11852372	-	0	small nucleolar RNA SNORD73	0	0	0	0	NA
gene-LOC120028629	ptg000013l	545011	582106	-	LOC120028629	120028629	protein_coding	NC_052340.1	15266824	15303926	-	0	calpain-5-like	3	1	1	1	GO:0004198|GO:0005737|GO:0006508
gene-ompa	ptg000013l	554110	555499	+	ompa	120028631	protein_coding	NC_052340.1	15275929	15277317	+	1	olfactory marker protein a	2	2	0	0	GO:0007165|GO:0007608
gene-LOC120028775	ptg000013l	582717	584517	+	LOC120028775	120028775	protein_coding	NC_052340.1	15304538	15306337	+	0	uncharacterized LOC120028775	0	0	0	0	NA
gene-dcun1d5	ptg000013l	587391	595756	-	dcun1d5	120028728	protein_coding	NC_052340.1	15309212	15317576	-	1	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)	6	2	3	1	GO:0000151|GO:0031624|GO:0032182|GO:0045116|GO:0051443|GO:0097602
gene-LOC120028859	ptg000013l	598444	606060	-	LOC120028859	120028859	protein_coding	NC_052340.1	15320265	15327874	-	0	cullin-5-like	5	2	1	2	GO:0016567|GO:0019005|GO:0031146|GO:0031466|GO:0031625
gene-LOC120029210	ptg000013l	606833	611224	+	LOC120029210	120029210	protein_coding	NC_052340.1	15328648	15333038	+	0	solute carrier family 35 member F2-like	3	1	1	1	GO:0016020|GO:0022857|GO:0055085
gene-kbtbd3	ptg000013l	613017	615952	+	kbtbd3	120029211	protein_coding	NC_052340.1	15334832	15337765	+	1	kelch repeat and BTB (POZ) domain containing 3	1	0	1	0	GO:0005515
gene-LOC120029047	ptg000013l	618790	631110	+	LOC120029047	120029047	protein_coding	NC_052340.1	15340604	15352923	+	0	PHD finger protein 13-like	2	1	1	0	GO:0003682|GO:0007076
gene-LOC120028387	ptg000013l	635640	647996	-	LOC120028387	120028387	protein_coding	NC_052340.1	15357454	15369797	-	0	uncharacterized LOC120028387	0	0	0	0	NA
gene-LOC120028661	ptg000013l	648043	648931	+	LOC120028661	120028661	protein_coding	NC_052340.1	15369845	15370732	+	0	dual specificity protein phosphatase 14	3	1	1	1	GO:0005737|GO:0006470|GO:0017017
gene-LOC120028662	ptg000013l	648942	650349	-	LOC120028662	120028662	protein_coding	NC_052340.1	15370744	15372150	-	0	DNA-directed RNA polymerase II subunit RPB4	9	5	2	2	GO:0000166|GO:0000288|GO:0000932|GO:0005665|GO:0006367|GO:0031369|GO:0031990|GO:0034402|GO:0045948
gene-trnag-ucc-29	ptg000013l	662430	662502	-	trnag-ucc	120029297	tRNA	NC_052340.1	15384232	15384303	-	1	tRNA-Gly	0	0	0	0	NA
gene-LOC120028319	ptg000013l	719345	847246	+	LOC120028319	120028319	protein_coding	NC_052340.1	15436700	15564381	+	0	stAR-related lipid transfer protein 13-like	6	3	3	0	GO:0005096|GO:0005515|GO:0007165|GO:0008289|GO:0030036|GO:0035023
gene-trnat-ugu-62	ptg000014l	23885	23958	+	trnat-ugu	120031722	tRNA	NC_052343.1	30760123	30760195	+	1	tRNA-Thr	0	0	0	0	NA
gene-LOC120031472	ptg000014l	29727	32937	+	LOC120031472	120031472	protein_coding	NC_052343.1	30765965	30769154	+	0	SPRY domain-containing SOCS box protein 2	3	1	1	1	GO:0005515|GO:0019005|GO:0043161
gene-LOC120031474	ptg000014l	42444	53406	-	LOC120031474	120031474	protein_coding	NC_052343.1	30778898	30789937	-	0	transmembrane protein 200A-like	0	0	0	0	NA
gene-LOC120031459	ptg000014l	60408	74542	-	LOC120031459	120031459	protein_coding	NC_052343.1	30796146	30810339	-	0	lethal(3)malignant brain tumor-like protein 4	4	1	2	1	GO:0005515|GO:0005634|GO:0006355|GO:0008270
gene-LOC120031477	ptg000014l	75881	77302	+	LOC120031477	120031477	protein_coding	NC_052343.1	30811679	30813099	+	0	transmembrane protein 244-like	0	0	0	0	NA
gene-LOC120030978	ptg000014l	77920	81997	-	LOC120030978	120030978	protein_coding	NC_052343.1	30813714	30817794	-	0	serine/threonine-protein kinase Sgk1-like	3	1	2	0	GO:0004674|GO:0005524|GO:0006468
gene-LOC120031456	ptg000014l	88489	100203	+	LOC120031456	120031456	protein_coding	NC_052343.1	30824284	30836111	+	0	tyrosine-protein phosphatase non-receptor type 3-like	6	1	2	3	GO:0004725|GO:0005515|GO:0005737|GO:0005856|GO:0006470|GO:0009898
gene-LOC120031462	ptg000014l	100856	115826	+	LOC120031462	120031462	protein_coding	NC_052343.1	30836765	30851750	+	0	band 4.1-like protein 4B	2	0	1	1	GO:0005856|GO:0008092
gene-LOC120030979	ptg000014l	123446	141634	-	LOC120030979	120030979	protein_coding	NC_052343.1	30859177	30877038	-	0	epithelial splicing regulatory protein 1-like	4	1	1	2	GO:0003729|GO:0005654|GO:0043484|GO:1990904
gene-LOC120031452	ptg000014l	142588	168174	+	LOC120031452	120031452	protein_coding	NC_052343.1	30877993	30903748	+	0	protein virilizer homolog	3	1	1	1	GO:0003723|GO:0036396|GO:0080009
gene-LOC120047332_1	ptg000014l	168377	171017	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120030980	ptg000014l	173339	190869	+	LOC120030980	120030980	protein_coding	NC_052343.1	30908894	30926504	+	0	DNA repair and recombination protein RAD54B-like	0	0	0	0	NA
gene-LOC120031469	ptg000014l	179671	186191	+	LOC120031469	120031469	protein_coding	NC_052343.1	30915226	30921826	+	0	fibrinogen silencer-binding protein-like	0	0	0	0	NA
gene-rad54b	ptg000014l	191057	197946	+	rad54b	120030981	protein_coding	NC_052343.1	30926693	30933614	+	1	RAD54 homolog B	6	2	3	1	GO:0000724|GO:0005524|GO:0005634|GO:0007131|GO:0015616|GO:0140658
gene-LOC120038951	ptg000014l	330584	334607	+	LOC120038951	120038951	protein_coding	NW_024059278.1	23893	27904	-	0	GTP-binding protein GEM-like	5	1	3	1	GO:0003924|GO:0005246|GO:0005525|GO:0005886|GO:1901842
gene-LOC120038952	ptg000014l	336669	354286	+	LOC120038952	120038952	protein_coding	NW_024059278.1	4246	21844	-	0	cadherin-17-like	11	6	2	3	GO:0000902|GO:0005509|GO:0005886|GO:0005912|GO:0007043|GO:0007156|GO:0007275|GO:0016339|GO:0016342|GO:0034332|GO:0045296
gene-LOC120036438	ptg000014l	398524	406161	-	LOC120036438	120036438	protein_coding	NW_024058041.1	42549	50234	+	0	pyruvate dehydrogenase [acetyl-transferring]-phosphatase 1, mitochondrial-like	3	1	2	0	GO:0004722|GO:0006470|GO:0043169
gene-LOC120036436	ptg000014l	406622	417730	-	LOC120036436	120036436	protein_coding	NW_024058041.1	31204	42087	+	0	meckelin-like	3	1	0	2	GO:0035869|GO:0036038|GO:0060271
gene-LOC120036434	ptg000014l	422913	428891	-	LOC120036434	120036434	protein_coding	NW_024058041.1	20338	26315	+	0	uncharacterized LOC120036434	3	0	2	1	GO:0003725|GO:0003727|GO:0071011
gene-LOC120036435	ptg000014l	429144	445013	+	LOC120036435	120036435	protein_coding	NW_024058041.1	2023	20084	-	0	testis-expressed protein 10 homolog	2	0	0	2	GO:0005634|GO:0071339
