gene_id	eco_chrom	eco_start	eco_end	eco_strand	symbol	geneid	biotype	chrom	start	end	strand	is_named	product	n_go	go_bp	go_mf	go_cc	go_terms
gene-LOC120049384	ptg000003l	167273	193974	+	LOC120049384	120049384	protein_coding	NC_052312.1	38927790	38949317	-	0	semaphorin-3C-like	9	6	2	1	GO:0001755|GO:0005615|GO:0007411|GO:0030215|GO:0030335|GO:0045499|GO:0048843|GO:0050919|GO:0071526
gene-LOC120049383	ptg000003l	195720	205840	-	LOC120049383	120049383	protein_coding	NC_052312.1	38915906	38926043	+	0	platelet glycoprotein 4-like	12	6	3	3	GO:0005041|GO:0005044|GO:0005737|GO:0005901|GO:0006898|GO:0009986|GO:0019915|GO:0030169|GO:0034383|GO:0042953|GO:0044539|GO:0150094
gene-LOC120049972	ptg000003l	213237	246815	+	LOC120049972	120049972	protein_coding	NC_052312.1	38874939	38908508	-	0	guanine nucleotide-binding protein G(i) subunit alpha-1	6	1	4	1	GO:0003924|GO:0005525|GO:0005834|GO:0007188|GO:0031683|GO:0031821
gene-LOC120049382	ptg000003l	293555	367969	+	LOC120049382	120049382	protein_coding	NC_052312.1	38752879	38828197	-	0	membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2-like	8	2	4	2	GO:0005737|GO:0007165|GO:0030159|GO:0030425|GO:0031697|GO:0043113|GO:0046332|GO:0070699
gene-LOC120042041	ptg000004l	12787	14309	-	LOC120042041	120042041	protein_coding	NW_024061315.1	106566	141497	+	0	AT-rich interactive domain-containing protein 1B-like	0	0	0	0	NA
gene-LOC120060293	ptg000004l	334466	373498	+	LOC120060293	120060293	protein_coding	NC_052321.1	20806830	20847662	-	0	dimethyladenosine transferase 1, mitochondrial-like	5	2	2	1	GO:0000179|GO:0005759|GO:0006391|GO:0031167|GO:0034246
gene-LOC120060292	ptg000004l	361092	361818	-	LOC120060292	120060292	protein_coding	NC_052321.1	20818509	20819234	+	0	claudin-20-like	5	2	1	2	GO:0005198|GO:0005886|GO:0005923|GO:0007155|GO:0070830
gene-LOC120060291	ptg000004l	373770	438367	-	LOC120060291	120060291	protein_coding	NC_052321.1	20741932	20806557	+	0	T-lymphoma invasion and metastasis-inducing protein 2-like	7	3	2	2	GO:0005085|GO:0005515|GO:0007264|GO:0016020|GO:0045202|GO:0050772|GO:0090630
gene-LOC120059983	ptg000004l	438355	439648	-	LOC120059983	120059983	protein_coding	NC_052321.1	20740651	20741943	+	0	T-lymphoma invasion and metastasis-inducing protein 2-like	0	0	0	0	NA
gene-LOC120060290	ptg000004l	502906	581160	-	LOC120060290	120060290	protein_coding	NC_052321.1	20603988	20677349	+	0	SR-related and CTD-associated factor 8-like	2	0	1	1	GO:0003723|GO:0005634
gene-LOC120060289	ptg000004l	581346	593080	-	LOC120060289	120060289	protein_coding	NC_052321.1	20592083	20603801	+	0	interactor protein for cytohesin exchange factors 1-like	0	0	0	0	NA
gene-LOC120060288	ptg000004l	601489	652785	-	LOC120060288	120060288	protein_coding	NC_052321.1	20532488	20583679	+	0	connector enhancer of kinase suppressor of ras 3-like	4	1	1	2	GO:0005515|GO:0005737|GO:0009966|GO:0016020
gene-LOC120060287	ptg000004l	676753	682608	+	LOC120060287	120060287	protein_coding	NC_052321.1	20502637	20508483	-	0	adenylyltransferase and sulfurtransferase MOCS3-like	7	2	3	2	GO:0002143|GO:0004792|GO:0005737|GO:0005829|GO:0032447|GO:0042292|GO:0070566
gene-LOC120060285	ptg000004l	683199	752136	+	LOC120060285	120060285	protein_coding	NC_052321.1	20433023	20502045	-	0	serine/threonine-protein kinase D3-like	4	2	2	0	GO:0004674|GO:0005524|GO:0006468|GO:0089700
gene-LOC120059873	ptg000004l	787649	790384	+	LOC120059873	120059873	protein_coding	NC_052321.1	20394763	20397497	-	0	hepatocyte nuclear factor 3-beta-like	7	3	4	0	GO:0000978|GO:0000981|GO:0006357|GO:0008134|GO:0009653|GO:0019904|GO:0030154
gene-LOC120060284	ptg000004l	792439	810001	+	LOC120060284	120060284	lncRNA	NC_052321.1	20375183	20392745	-	0	uncharacterized LOC120060284	0	0	0	0	NA
gene-LOC120059980	ptg000004l	969922	974097	-	LOC120059980	120059980	protein_coding	NC_052321.1	20210456	20214640	+	0	paired box protein Pax-1-like	4	2	2	0	GO:0000978|GO:0000981|GO:0006357|GO:0048856
gene-LOC120059872	ptg000004l	1062394	1063895	+	LOC120059872	120059872	protein_coding	NC_052321.1	20120955	20122455	-	0	homeobox protein Nkx-2.2a-like	5	2	2	1	GO:0000978|GO:0000981|GO:0005634|GO:0006357|GO:0030154
gene-LOC120059871	ptg000004l	1112138	1113641	+	LOC120059871	120059871	protein_coding	NC_052321.1	20071202	20072704	-	0	homeobox protein Nkx-2.4-like	5	2	2	1	GO:0000978|GO:0000981|GO:0005634|GO:0006357|GO:0030154
gene-LOC120060283	ptg000004l	1374436	1562529	+	LOC120060283	120060283	protein_coding	NC_052321.1	19650723	19836766	-	0	ral GTPase-activating protein subunit alpha-2-like	5	2	1	2	GO:0005096|GO:0005634|GO:0005737|GO:0043547|GO:0051056
gene-LOC120059870	ptg000004l	1567986	1569402	-	LOC120059870	120059870	protein_coding	NC_052321.1	19643850	19645265	+	0	insulinoma-associated protein 1b-like	7	3	2	2	GO:0000122|GO:0000978|GO:0001227|GO:0005634|GO:0010564|GO:0017053|GO:0030182
gene-LOC120059869	ptg000004l	1630626	1636273	+	LOC120059869	120059869	protein_coding	NC_052321.1	19576946	19582592	-	0	UDP-glucose 4-epimerase-like	3	1	1	1	GO:0003978|GO:0005829|GO:0033499
gene-zbtb8a	ptg000004l	1636725	1640853	+	zbtb8a	120060282	protein_coding	NC_052321.1	19572359	19576493	-	1	zinc finger and BTB domain containing 8A	4	1	3	0	GO:0000978|GO:0000981|GO:0005515|GO:0006357
gene-LOC120059868	ptg000004l	1641682	1645425	+	LOC120059868	120059868	protein_coding	NC_052321.1	19567769	19571529	-	0	hydroxymethylglutaryl-CoA lyase, mitochondrial-like	3	2	1	0	GO:0004419|GO:0006552|GO:0046951
gene-LOC120059979	ptg000004l	1649619	1650456	-	LOC120059979	120059979	protein_coding	NC_052321.1	19562738	19563574	+	0	gap junction beta-3 protein-like	2	1	0	1	GO:0005922|GO:0007154
gene-LOC120059867	ptg000004l	1661776	1667419	-	LOC120059867	120059867	protein_coding	NC_052321.1	19545774	19551416	+	0	gap junction beta-4 protein-like	2	1	0	1	GO:0005922|GO:0007154
gene-LOC120059866	ptg000004l	1669696	1674785	-	LOC120059866	120059866	protein_coding	NC_052321.1	19538408	19543496	+	0	peptidyl-prolyl cis-trans isomerase E-like	3	1	1	1	GO:0000413|GO:0003755|GO:0043231
gene-LOC120060281	ptg000004l	1678129	1696859	-	LOC120060281	120060281	protein_coding	NC_052321.1	19516334	19535063	+	0	polyadenylate-binding protein 4-like	2	0	1	1	GO:0003723|GO:1990904
gene-tmem54a	ptg000004l	1703344	1713318	+	tmem54a	120060280	protein_coding	NC_052321.1	19499871	19509848	-	1	transmembrane protein 54a	0	0	0	0	NA
gene-LOC120060279	ptg000004l	1713738	1723962	-	LOC120060279	120060279	protein_coding	NC_052321.1	19489225	19499450	+	0	probable histone deacetylase 1-B	2	1	1	0	GO:0004407|GO:0016575
gene-LOC120059865	ptg000004l	1724228	1750257	-	LOC120059865	120059865	protein_coding	NC_052321.1	19464337	19488958	+	0	proto-oncogene tyrosine-protein kinase LCK-like	9	5	3	1	GO:0004715|GO:0005102|GO:0005524|GO:0006468|GO:0007169|GO:0030217|GO:0031234|GO:0045087|GO:0050853
gene-fam167b	ptg000004l	1760799	1764780	-	fam167b	120059864	protein_coding	NC_052321.1	19449846	19453826	+	1	family with sequence similarity 167 member B	0	0	0	0	NA
gene-zgc:154055	ptg000004l	1767194	1773367	+	zgc:154055	120059863	protein_coding	NC_052321.1	19441284	19447428	-	1	uncharacterized protein LOC556036 homolog	1	1	0	0	GO:0010507
gene-LOC120059978	ptg000004l	1775758	1778688	+	LOC120059978	120059978	protein_coding	NC_052321.1	19435967	19438898	-	0	L-threonine 3-dehydrogenase, mitochondrial-like	2	1	1	0	GO:0006567|GO:0008743
gene-LOC120060277	ptg000004l	1779648	1795738	+	LOC120060277	120060277	protein_coding	NC_052321.1	19418920	19435006	-	0	serine/arginine repetitive matrix protein 1-like	4	2	1	1	GO:0003723|GO:0005681|GO:0006397|GO:0048024
gene-LOC120060276	ptg000004l	1803482	1838476	+	LOC120060276	120060276	protein_coding	NC_052321.1	19376186	19411175	-	0	chloride intracellular channel protein 4	0	0	0	0	NA
gene-LOC120060275	ptg000004l	1892454	1895891	-	LOC120060275	120060275	protein_coding	NC_052321.1	19269098	19322193	+	0	runt-related transcription factor 3-like	8	4	3	1	GO:0000978|GO:0000981|GO:0005524|GO:0005634|GO:0006357|GO:0030097|GO:0030182|GO:0045595
gene-LOC120041726_10	ptg000005l	51882	52643	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-avpr1aa_1	ptg000006l	127434	129370	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120065797_1	ptg000006l	150647	151499	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120065798_1	ptg000006l	169829	221592	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-mon2_1	ptg000006l	234612	284782	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120065799_1	ptg000006l	291895	306565	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120066149_1	ptg000006l	324659	328257	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120023935	ptg000007l	718	16478	+	LOC120023935	120023935	protein_coding	NC_052335.1	5911967	5959428	+	0	ena/VASP-like protein	7	3	3	1	GO:0003779|GO:0005522|GO:0005856|GO:0008154|GO:0017124|GO:0030838|GO:0051289
gene-LOC120024299	ptg000007l	18646	22921	+	LOC120024299	120024299	protein_coding	NC_052335.1	5961604	5965878	+	0	transcriptional repressor protein YY1-like	5	1	2	2	GO:0000978|GO:0000981|GO:0005667|GO:0006357|GO:0031519
gene-LOC120024377	ptg000007l	49375	60955	-	LOC120024377	120024377	protein_coding	NC_052335.1	5992332	6003911	-	0	leucine-rich repeat and fibronectin type-III domain-containing protein 5-like	1	0	1	0	GO:0005515
gene-LOC120024431	ptg000007l	68720	70530	-	LOC120024431	120024431	lncRNA	NC_052335.1	6011730	6013540	-	0	uncharacterized LOC120024431	0	0	0	0	NA
gene-LOC120024063	ptg000007l	93872	104312	+	LOC120024063	120024063	protein_coding	NC_052335.1	6036878	6047319	+	0	ectonucleoside triphosphate diphosphohydrolase 5-like	4	1	2	1	GO:0004382|GO:0009134|GO:0016020|GO:0045134
gene-LOC120024062	ptg000007l	103320	124370	-	LOC120024062	120024062	protein_coding	NC_052335.1	6046328	6067379	-	0	zinc finger protein 410-like	5	1	2	2	GO:0000978|GO:0000981|GO:0005667|GO:0006357|GO:0031519
gene-cipcb	ptg000007l	135686	138548	-	cipcb	120024538	protein_coding	NC_052335.1	6078696	6081557	-	1	CLOCK-interacting pacemaker b	3	2	0	1	GO:0005634|GO:0042754|GO:0045892
gene-LOC120023936	ptg000007l	140925	142694	-	LOC120023936	120023936	protein_coding	NC_052335.1	6083935	6085691	-	0	vascular endothelial growth factor A-like	14	9	3	2	GO:0001666|GO:0001934|GO:0001938|GO:0002040|GO:0005172|GO:0005615|GO:0008083|GO:0016020|GO:0038084|GO:0042056|GO:0045766|GO:0048010|GO:0050930|GO:0060754
gene-LOC120024356	ptg000007l	155468	166423	-	LOC120024356	120024356	protein_coding	NC_052335.1	6098603	6116449	-	0	actin-related protein 10-like	1	1	0	0	GO:0098958
gene-LOC120023937	ptg000007l	172661	179314	+	LOC120023937	120023937	protein_coding	NC_052335.1	6122695	6129337	+	0	armadillo-like helical domain-containing protein 4	0	0	0	0	NA
gene-LOC120024143	ptg000007l	181127	190031	-	LOC120024143	120024143	protein_coding	NC_052335.1	6131151	6140054	-	0	N-alpha-acetyltransferase 30-like	3	1	1	1	GO:0004596|GO:0017196|GO:0031417
gene-LOC120024505	ptg000007l	216858	218476	+	LOC120024505	120024505	protein_coding	NC_052335.1	6166877	6168494	+	0	homeobox protein OTX2-like	5	2	2	1	GO:0000978|GO:0000981|GO:0005634|GO:0006357|GO:0007275
gene-LOC120024500	ptg000007l	260862	273402	-	LOC120024500	120024500	protein_coding	NC_052335.1	6210936	6223481	-	0	E3 ubiquitin-protein ligase pellino homolog 2-like	4	2	2	0	GO:0000209|GO:0005515|GO:0008592|GO:0061630
gene-LOC120024109	ptg000007l	305010	308109	-	LOC120024109	120024109	protein_coding	NC_052335.1	6255216	6258314	-	0	ADP-ribosylation factor 6	5	2	2	1	GO:0003924|GO:0005525|GO:0005737|GO:0006886|GO:0016192
gene-LOC120024074	ptg000007l	325127	341981	+	LOC120024074	120024074	protein_coding	NC_052335.1	6275333	6292191	+	0	pre-mRNA-processing factor 39-like	6	2	1	3	GO:0000243|GO:0000395|GO:0005515|GO:0005685|GO:0006396|GO:0071004
gene-LOC120024318	ptg000007l	344451	346642	+	LOC120024318	120024318	protein_coding	NC_052335.1	6294662	6296852	+	0	ubiquitin-like protein FUBI	5	1	2	2	GO:0003735|GO:0005515|GO:0005840|GO:0006412|GO:0022627
gene-LOC120024319	ptg000007l	348308	354404	-	LOC120024319	120024319	protein_coding	NC_052335.1	6298519	6304614	-	0	peptidyl-prolyl cis-trans isomerase FKBP3-like	1	0	1	0	GO:0003755
gene-LOC120060757	ptg000009l	44208	45851	+	LOC120060757	120060757	protein_coding	NC_052322.1	30407327	30408969	+	0	lens fiber major intrinsic protein-like	3	1	1	1	GO:0005886|GO:0015250|GO:0055085
gene-LOC120061307	ptg000009l	51685	70371	-	LOC120061307	120061307	protein_coding	NC_052322.1	30414751	30433563	-	0	RNA-binding protein 38-like	2	0	1	1	GO:0003723|GO:0005829
gene-LOC120061306	ptg000009l	76657	179088	-	LOC120061306	120061306	protein_coding	NC_052322.1	30439850	30542256	-	0	nuclear receptor coactivator 3-like	6	2	3	1	GO:0005634|GO:0016922|GO:0030374|GO:0032870|GO:0045944|GO:0046983
gene-LOC120061308	ptg000009l	208617	221073	-	LOC120061308	120061308	protein_coding	NC_052322.1	30572136	30584589	-	0	translocating chain-associated membrane protein 1-like 1	3	2	0	1	GO:0005789|GO:0006616|GO:0045048
gene-LOC120061309	ptg000009l	221564	252357	+	LOC120061309	120061309	protein_coding	NC_052322.1	30585081	30615850	+	0	protein kinase C-binding protein 1-like	2	1	1	0	GO:0005515|GO:0006355
gene-LOC120061626	ptg000009l	275773	319760	+	LOC120061626	120061626	protein_coding	NC_052322.1	30639264	30683256	+	0	death-inducer obliterator 1-like	2	1	0	1	GO:0005634|GO:0006351
gene-LOC120061627_1	ptg000009l	331099	353753	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120061628_1	ptg000009l	355012	403454	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120061629_1	ptg000009l	421053	422665	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120061630_1	ptg000009l	428737	431842	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120061310	ptg000009l	787916	1308593	+	LOC120061310	120061310	protein_coding	NC_052322.1	31151484	31691907	+	0	cadherin-4-like	11	6	2	3	GO:0000902|GO:0005509|GO:0005886|GO:0005912|GO:0007043|GO:0007156|GO:0007275|GO:0016339|GO:0016342|GO:0034332|GO:0045296
gene-LOC120064033_1	ptg000010l	7617	38610	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-esyt3_1	ptg000010l	60289	92761	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120037222_10	ptg000010l	126317	127764	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-wu:fc50b12_1	ptg000010l	200120	203128	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120063898_1	ptg000010l	216081	217281	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120064038	ptg000010l	265227	374033	+	LOC120064038	120064038	protein_coding	NC_052325.1	45200462	45307638	+	0	E3 ubiquitin-protein ligase MYCBP2-like	1	0	0	1	GO:0005634
gene-LOC120064471	ptg000010l	383615	484615	+	LOC120064471	120064471	protein_coding	NC_052325.1	45317211	45427339	+	0	E3 ubiquitin-protein ligase MYCBP2-like	1	0	0	1	GO:0005634
gene-fbxl3a	ptg000010l	485879	503726	+	fbxl3a	120064473	protein_coding	NC_052325.1	45428604	45446442	+	1	F-box and leucine-rich repeat protein 3a	8	4	1	3	GO:0000086|GO:0005515|GO:0005634|GO:0005829|GO:0019005|GO:0031146|GO:0043153|GO:0051726
gene-cln5	ptg000010l	520841	525391	-	cln5	120064475	protein_coding	NC_052325.1	45461719	45466268	-	1	CLN5 intracellular trafficking protein	4	1	1	2	GO:0005764|GO:0005765|GO:0007040|GO:0016798
gene-acod1	ptg000010l	528337	538008	-	acod1	120064474	protein_coding	NC_052325.1	45469215	45478885	-	1	aconitate decarboxylase 1	1	0	1	0	GO:0016829
gene-kctd12.1	ptg000010l	551056	551932	+	kctd12.1	120063877	protein_coding	NC_052325.1	45491934	45492809	+	1	potassium channel tetramerisation domain containing 12.1	5	2	1	2	GO:0005515|GO:0008277|GO:0042734|GO:0045211|GO:0051260
gene-LOC120064476	ptg000010l	678497	760123	-	LOC120064476	120064476	protein_coding	NC_052325.1	45615818	45697558	-	0	LIM domain only protein 7-like	3	2	1	0	GO:0005515|GO:0023051|GO:0030155
gene-uchl3	ptg000010l	798258	809373	-	uchl3	120063866	protein_coding	NC_052325.1	45735777	45746902	-	1	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	4	2	1	1	GO:0004843|GO:0005737|GO:0006511|GO:0016579
gene-commd6	ptg000010l	815171	825246	+	commd6	120064477	protein_coding	NC_052325.1	45752959	45763748	+	1	COMM domain containing 6	2	1	1	0	GO:0032088|GO:0051059
gene-tbc1d4	ptg000010l	839437	969901	+	tbc1d4	120064478	protein_coding	NC_052325.1	45777941	45910585	+	1	TBC1 domain family, member 4	0	0	0	0	NA
gene-LOC120064479	ptg000010l	1130810	1294290	+	LOC120064479	120064479	protein_coding	NC_052325.1	46077768	46239294	+	0	Krueppel-like factor 12	3	1	2	0	GO:0000978|GO:0000981|GO:0006357
gene-klf5b	ptg000010l	1314266	1318080	-	klf5b	120064039	protein_coding	NC_052325.1	46259244	46263057	-	1	Kruppel-like factor 5b	3	1	2	0	GO:0000978|GO:0000981|GO:0006357
gene-LOC120062650	ptg000011l	129459	131817	+	LOC120062650	120062650	protein_coding	NC_052324.1	816720	819077	+	0	L-serine dehydratase/L-threonine deaminase-like	4	2	2	0	GO:0003941|GO:0004794|GO:0006565|GO:0006567
gene-LOC120063491	ptg000011l	160256	234696	-	LOC120063491	120063491	protein_coding	NC_052324.1	847379	921831	-	0	probable E3 ubiquitin-protein ligase HECTD4	1	0	1	0	GO:0004842
gene-LOC120062978	ptg000011l	224543	229632	-	LOC120062978	120062978	lncRNA	NC_052324.1	911676	916764	-	0	uncharacterized LOC120062978	0	0	0	0	NA
gene-LOC120063492	ptg000011l	255169	264172	-	LOC120063492	120063492	protein_coding	NC_052324.1	942305	951307	-	0	rabphilin-3A-like	3	1	1	1	GO:0006886|GO:0016020|GO:0031267
gene-LOC120062979	ptg000011l	279193	296289	+	LOC120062979	120062979	protein_coding	NC_052324.1	966291	983384	+	0	vacuolar protein sorting-associated protein 33A	4	2	0	2	GO:0005764|GO:0006886|GO:0016192|GO:0033263
gene-LOC120062981	ptg000011l	303638	307310	+	LOC120062981	120062981	protein_coding	NC_052324.1	990734	994404	+	0	transmembrane emp24 domain-containing protein 2	7	3	0	4	GO:0005783|GO:0005793|GO:0005794|GO:0006886|GO:0006888|GO:0007030|GO:0030134
gene-LOC120062980	ptg000011l	306977	312857	-	LOC120062980	120062980	protein_coding	NC_052324.1	994072	999951	-	0	translation initiation factor eIF-2B subunit alpha-like	4	1	2	1	GO:0003743|GO:0005085|GO:0005851|GO:0006413
gene-LOC120062982	ptg000011l	328157	332966	+	LOC120062982	120062982	protein_coding	NC_052324.1	1015252	1020060	+	0	rab5 GDP/GTP exchange factor-like	7	1	4	2	GO:0003677|GO:0005085|GO:0005829|GO:0008270|GO:0016192|GO:0030139|GO:0031267
gene-LOC120062987	ptg000011l	333196	336249	+	LOC120062987	120062987	protein_coding	NC_052324.1	1020291	1023343	+	0	26S proteasome non-ATPase regulatory subunit 9-like	4	1	1	2	GO:0005515|GO:0005634|GO:0005737|GO:0070682
gene-cfap251	ptg000011l	336329	347151	+	cfap251	120062983	protein_coding	NC_052324.1	1023424	1034245	+	1	cilia and flagella associated protein 251	2	0	1	1	GO:0005515|GO:0036126
gene-LOC120062986	ptg000011l	347201	354623	+	LOC120062986	120062986	protein_coding	NC_052324.1	1034296	1041717	+	0	B-cell CLL/lymphoma 7 protein family member A-like	0	0	0	0	NA
gene-LOC120062985	ptg000011l	355463	395865	+	LOC120062985	120062985	protein_coding	NC_052324.1	1042558	1082959	+	0	MLX interacting protein	5	1	3	1	GO:0000978|GO:0000981|GO:0005634|GO:0006357|GO:0046983
gene-LOC120063493	ptg000011l	424098	425142	+	LOC120063493	120063493	protein_coding	NC_052324.1	1111193	1112236	+	0	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4-like	3	1	1	1	GO:0006486|GO:0016020|GO:0016758
gene-clip1a	ptg000011l	435371	488489	-	clip1a	120062988	protein_coding	NC_052324.1	1122470	1175590	-	1	CAP-GLY domain containing linker protein 1a	6	2	1	3	GO:0005634|GO:0005737|GO:0031116|GO:0031122|GO:0035371|GO:0051010
gene-LOC120062989	ptg000011l	496997	503153	-	LOC120062989	120062989	protein_coding	NC_052324.1	1184099	1190255	-	0	zinc finger CCHC domain-containing protein 8-like	4	1	2	1	GO:0003723|GO:0008270|GO:0034470|GO:0071013
gene-si:ch211-110p13.9	ptg000011l	503227	505508	+	si:ch211-110p13.9	120062651	protein_coding	NC_052324.1	1190330	1192610	+	1	uncharacterized protein LOC562347 homolog	0	0	0	0	NA
gene-LOC120062990	ptg000011l	515917	533856	-	LOC120062990	120062990	protein_coding	NC_052324.1	1203020	1220958	-	0	arginine/serine-rich coiled-coil protein 2-like	0	0	0	0	NA
gene-kntc1	ptg000011l	538994	562219	+	kntc1	120063494	protein_coding	NC_052324.1	1226097	1249316	+	1	kinetochore associated 1	7	3	1	3	GO:0000070|GO:0005737|GO:0005828|GO:0007094|GO:0031267|GO:1903394|GO:1990423
gene-hip1rb	ptg000011l	584348	616400	+	hip1rb	120062991	protein_coding	NC_052324.1	1271446	1303450	+	1	huntingtin interacting protein 1 related b	11	4	5	2	GO:0006897|GO:0006919|GO:0007015|GO:0030136|GO:0030479|GO:0032051|GO:0035615|GO:0043325|GO:0048268|GO:0051015|GO:0080025
gene-LOC120062992	ptg000011l	618108	645815	+	LOC120062992	120062992	protein_coding	NC_052324.1	1305159	1332890	+	0	RILP-like protein 1	4	1	1	2	GO:0005737|GO:0036064|GO:0046983|GO:0060271
gene-rilpl2	ptg000011l	646762	649028	+	rilpl2	120062653	protein_coding	NC_052324.1	1333838	1336103	+	1	Rab interacting lysosomal protein-like 2	4	1	1	2	GO:0005737|GO:0036064|GO:0046983|GO:0060271
gene-LOC120062654	ptg000011l	650888	654277	-	LOC120062654	120062654	lncRNA	NC_052324.1	1337964	1341352	-	0	uncharacterized LOC120062654	0	0	0	0	NA
