gene_id	symbol	product	copies_lean	copies_siscowet	n_go
gene-LOC120017517	LOC120017517	minichromosome maintenance complex binding protein	1	1	2
gene-LOC120017518	LOC120017518	SEC23 interacting protein	1	1	3
gene-LOC120017521	LOC120017521	meiosis regulator and mRNA stability factor 1	1	1	6
gene-LOC120017523	LOC120017523	phosphoinositide 3-kinase adapter protein 1-like	1	1	3
gene-LOC120017525	LOC120017525	uncharacterized LOC120017525	1	1	0
gene-LOC120017526	LOC120017526	rab11 family-interacting protein 2-like	1	1	4
gene-LOC120017527	LOC120017527	eukaryotic translation initiation factor 3 subunit A-like	1	1	7
gene-LOC120017528	LOC120017528	transmembrane 9 superfamily member 3	1	1	2
gene-LOC120017529	LOC120017529	thioredoxin-dependent peroxide reductase, mitochondrial-like	1	1	7
gene-LOC120017530	LOC120017530	lysophosphatidylserine lipase ABHD12-like	1	1	5
gene-LOC120017531	LOC120017531	molybdenum cofactor sulfurase-like	1	1	4
gene-LOC120017532	LOC120017532	brorin-like	1	1	4
gene-LOC120017533	LOC120017533	tubulin--tyrosine ligase-like	1	1	1
gene-LOC120017535	LOC120017535	regulator of microtubule dynamics protein 2-like	1	1	4
gene-LOC120017536	LOC120017536	kynurenine 3-monooxygenase-like	1	1	8
gene-LOC120017537	LOC120017537	insulin-degrading enzyme	1	1	7
gene-LOC120017538	LOC120017538	nuclear distribution protein nudE homolog 1-like	1	1	12
gene-LOC120017539	LOC120017539	cytoplasmic polyadenylation element-binding protein 3-like	1	1	10
gene-LOC120017540	LOC120017540	E3 ubiquitin-protein ligase MARCHF5-like	1	1	1
gene-LOC120017541	LOC120017541	TATA-binding protein-associated factor 172-like	1	1	5
gene-LOC120017543	LOC120017543	zinc finger protein 518A-like	1	1	4
gene-LOC120017544	LOC120017544	multidrug resistance-associated protein 1-like	1	1	5
gene-LOC120017546	LOC120017546	DNA nucleotidylexotransferase-like	1	1	5
gene-LOC120017547	LOC120017547	inositol polyphosphate-5-phosphatase A-like	1	1	2
gene-LOC120017548	LOC120017548	PWWP domain-containing protein 2B-like	1	1	2
gene-LOC120017549	LOC120017549	uncharacterized LOC120017549	1	1	0
gene-LOC120017550	LOC120017550	rho-related GTP-binding protein RhoQ-like	1	1	4
gene-LOC120017551	LOC120017551	suppressor of cytokine signaling 5-like	1	1	4
gene-LOC120017559	LOC120017559	mRNA decay activator protein ZFP36L2-A-like	1	1	2
gene-LOC120017560	LOC120017560	transmembrane protein 229B-like	1	1	0
gene-LOC120017561	LOC120017561	uncharacterized LOC120017561	1	1	0
gene-LOC120017562	LOC120017562	potassium voltage-gated channel subfamily G member 3-like	1	1	5
gene-LOC120017563	LOC120017563	cytochrome c oxidase subunit 7A-related protein, mitochondrial-like	1	1	5
gene-LOC120017564	LOC120017564	tripartite motif-containing protein 35-like	1	1	2
gene-LOC120017565	LOC120017565	nuclear factor 7, brain-like	1	1	2
gene-LOC120017566	LOC120017566	uncharacterized LOC120017566	1	1	0
gene-LOC120017568	LOC120017568	adenylate cyclase type 9-like	1	1	4
gene-LOC120017569	LOC120017569	echinoderm microtubule-associated protein-like 4	1	1	3
gene-LOC120017572	LOC120017572	protein quaking	1	1	3
gene-LOC120017573	LOC120017573	zinc finger protein 454	1	1	0
gene-LOC120017579	LOC120017579	male-enhanced antigen 1-like	1	1	1
gene-LOC120017580	LOC120017580	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	1	1	6
gene-LOC120017581	LOC120017581	zinc finger protein 318-like	1	1	5
gene-LOC120017582	LOC120017582	uncharacterized LOC120017582	1	1	1
gene-LOC120017583	LOC120017583	cold shock domain-containing protein E1-like	1	1	0
gene-LOC120017584	LOC120017584	uncharacterized LOC120017584	1	1	0
gene-LOC120017585	LOC120017585	uncharacterized LOC120017585	1	1	0
gene-LOC120017586	LOC120017586	synapse differentiation-inducing gene protein 1-like	1	1	6
gene-LOC120017587	LOC120017587	adipocyte plasma membrane associated protein	1	1	2
gene-LOC120017588	LOC120017588	cystatin-F-like	1	1	10
gene-LOC120017590	LOC120017590	ectonucleoside triphosphate diphosphohydrolase 6-like	1	1	5
gene-LOC120017591	LOC120017591	barrier-to-autointegration factor-like protein	1	1	1
gene-LOC120017598	LOC120017598	glutamate dehydrogenase, mitochondrial-like	1	1	3
gene-LOC120017600	LOC120017600	multimerin-2-like	1	1	1
gene-LOC120017601	LOC120017601	bone morphogenetic protein receptor type-1A-like	1	1	9
gene-LOC120017602	LOC120017602	centrosomal protein of 68 kDa-like	1	1	0
gene-LOC120017603	LOC120017603	ras-related protein ORAB-1-like	1	1	2
gene-LOC120017604	LOC120017604	SAFB-like transcription modulator	1	1	1
gene-LOC120017608	LOC120017608	uncharacterized LOC120017608	1	1	0
gene-LOC120017611	LOC120017611	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1-like	1	1	2
gene-LOC120017612	LOC120017612	core histone macro-H2A.2-like	1	1	5
gene-LOC120017615	LOC120017615	PDZ domain-containing protein 8-like	1	1	5
gene-LOC120017617	LOC120017617	GTPase IMAP family member 7-like	1	1	1
gene-LOC120017621	LOC120017621	ras guanyl-releasing protein 3-like	1	1	5
gene-LOC120017623	LOC120017623	nuclear valosin-containing protein-like	1	1	7
gene-LOC120017624	LOC120017624	sphingolipid delta(4)-desaturase DES1-like	1	1	3
gene-LOC120017625	LOC120017625	uncharacterized LOC120017625	1	1	0
gene-LOC120017626	LOC120017626	F-box only protein 28-like	1	1	2
gene-LOC120017627	LOC120017627	DNA-directed RNA polymerases I and III subunit RPAC1-like	1	1	7
gene-LOC120017628	LOC120017628	coiled-coil-helix-coiled-coil-helix domain-containing protein 1-like	1	1	5
gene-LOC120017629	LOC120017629	neurotrypsin-like	1	1	3
gene-LOC120017630	LOC120017630	zinc finger SWIM domain-containing protein 8-like	1	1	2
gene-LOC120017631	LOC120017631	GTPase IMAP family member 7-like	1	1	1
gene-LOC120017632	LOC120017632	bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2-like	1	1	4
gene-LOC120017633	LOC120017633	calcium/calmodulin-dependent protein kinase type II subunit gamma	1	1	6
gene-LOC120017640	LOC120017640	uncharacterized LOC120017640	2	1	0
gene-LOC120017641	LOC120017641	filensin	1	1	4
gene-LOC120017642	LOC120017642	GTP-binding protein 2-like	1	1	4
gene-LOC120017644	LOC120017644	apoptosis-stimulating of p53 protein 2-like	1	1	4
gene-LOC120017645	LOC120017645	stromal membrane-associated protein 1-like	1	1	3
gene-LOC120017646	LOC120017646	uncharacterized LOC120017646	1	1	0
gene-LOC120017647	LOC120017647	isoaspartyl peptidase/L-asparaginase-like	1	3	1
gene-LOC120017648	LOC120017648	axin-1-like	2	1	1
gene-LOC120017649	LOC120017649	isoaspartyl peptidase/L-asparaginase-like	1	1	1
gene-LOC120017650	LOC120017650	B-cell lymphoma/leukemia 11A-like	1	1	5
gene-LOC120017651	LOC120017651	cGMP-dependent protein kinase 1-like	1	1	3
gene-LOC120017652	LOC120017652	phosphatidylcholine:ceramide cholinephosphotransferase 1-like	1	1	7
gene-LOC120017653	LOC120017653	multiple inositol polyphosphate phosphatase 1-like	1	1	2
gene-LOC120017654	LOC120017654	bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2-like	1	1	5
gene-LOC120017655	LOC120017655	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN-like	1	1	14
gene-LOC120017656	LOC120017656	NACHT, LRR and PYD domains-containing protein 3-like	1	1	1
gene-LOC120017657	LOC120017657	tumor necrosis factor receptor superfamily member 6-like	1	1	13
gene-LOC120017660	LOC120017660	SH3 and PX domain-containing protein 2A-like	1	1	4
gene-LOC120017661	LOC120017661	gamma-adducin-like	1	1	5
gene-LOC120017662	LOC120017662	max-interacting protein 1-like	1	1	4
gene-LOC120017664	LOC120017664	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	1	1	5
gene-LOC120017665	LOC120017665	serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform-like	1	1	5
gene-LOC120017667	LOC120017667	uncharacterized LOC120017667	1	1	0
gene-LOC120017668	LOC120017668	indoleamine 2,3-dioxygenase 2-like	1	1	7
gene-LOC120017669	LOC120017669	erythroid differentiation-related factor 1-like	1	1	1
gene-LOC120017670	LOC120017670	ubiquitin thioesterase Zranb1-like	1	1	10
gene-LOC120017671	LOC120017671	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5-like	1	1	3
gene-LOC120017672	LOC120017672	BRISC complex subunit Abraxas 2-like	1	1	6
gene-LOC120017673	LOC120017673	carbohydrate sulfotransferase 15-like	1	1	2
gene-LOC120017674	LOC120017674	zinc finger protein Pegasus-like	1	1	3
gene-LOC120017675	LOC120017675	transmembrane protease serine 9-like	1	1	2
gene-LOC120017676	LOC120017676	rho-related BTB domain-containing protein 2-like	1	1	4
gene-LOC120017677	LOC120017677	pleckstrin homology domain-containing family A member 1-like	1	1	3
gene-LOC120017678	LOC120017678	wings apart-like protein homolog	1	1	2
gene-LOC120017679	LOC120017679	protein FAM149B1-like	1	1	2
gene-LOC120017680	LOC120017680	uncharacterized LOC120017680	1	1	0
gene-LOC120017681	LOC120017681	prolyl 4-hydroxylase subunit alpha-1-like	1	1	6
gene-LOC120017682	LOC120017682	muscarinic acetylcholine receptor M3-like	1	1	11
gene-LOC120017683	LOC120017683	ubiquitin-conjugating enzyme E2 D4-like	1	1	4
gene-LOC120017684	LOC120017684	histone-arginine methyltransferase CARM1-like	1	2	2
gene-LOC120017685	LOC120017685	protein bicaudal C homolog 1-A-like	1	1	3
gene-LOC120017686	LOC120017686	protein FAM13C-like	1	1	0
gene-LOC120017687	LOC120017687	phytanoyl-CoA hydroxylase-interacting protein-like	1	1	2
gene-LOC120017688	LOC120017688	protein FAM13A-like	1	1	1
gene-LOC120017689	LOC120017689	coiled-coil domain-containing protein 6-like	1	1	0
gene-LOC120017691	LOC120017691	uncharacterized LOC120017691	1	1	0
gene-LOC120017692	LOC120017692	cyclin-dependent kinase 1	1	1	7
gene-LOC120017693	LOC120017693	AT-rich interactive domain-containing protein 5B-like	1	1	3
gene-LOC120017695	LOC120017695	kinesin-like protein KIF11-B	1	1	7
gene-LOC120017696	LOC120017696	uncharacterized LOC120017696	1	1	0
gene-LOC120017699	LOC120017699	protein phosphatase 1 regulatory subunit 3C-B-like	1	1	4
gene-LOC120017700	LOC120017700	tetraspanin-14-like	1	1	4
gene-LOC120017701	LOC120017701	GDNF family receptor alpha-1-like	1	1	4
gene-LOC120017702	LOC120017702	attractin-like protein 1	1	1	2
gene-LOC120017703	LOC120017703	serine/threonine-protein phosphatase 4 regulatory subunit 3-like	1	1	5
gene-LOC120017704	LOC120017704	cilia- and flagella-associated protein 36-like	1	1	2
gene-LOC120017706	LOC120017706	reticulon-4-like	1	1	5
gene-LOC120017708	LOC120017708	echinoderm microtubule-associated protein-like 6	1	1	1
gene-LOC120017709	LOC120017709	spectrin beta chain, non-erythrocytic 1-like	1	1	10
gene-LOC120017710	LOC120017710	zinc transporter 6-like	1	1	4
gene-LOC120017713	LOC120017713	uncharacterized LOC120017713	1	1	0
gene-LOC120017714	LOC120017714	uncharacterized LOC120017714	1	1	0
gene-LOC120017716	LOC120017716	atlastin-2-like	1	1	4
gene-LOC120017717	LOC120017717	putative ATP-dependent RNA helicase DHX57	1	1	5
gene-LOC120017718	LOC120017718	uncharacterized LOC120017718	1	1	0
gene-LOC120017719	LOC120017719	mitogen-activated protein kinase kinase kinase kinase 3-like	1	1	3
gene-LOC120017720	LOC120017720	stress-induced-phosphoprotein 1-like	1	1	3
gene-LOC120017723	LOC120017723	leucine zipper putative tumor suppressor 2 homolog	1	1	2
gene-LOC120017724	LOC120017724	PDZ domain-containing protein 7-like	1	1	1
gene-LOC120017725	LOC120017725	PDZ domain-containing protein 7-like	1	1	7
gene-LOC120017726	LOC120017726	PDZ domain-containing protein 7-like	1	1	7
gene-LOC120017727	LOC120017727	PDZ domain-containing protein 7-like	1	1	7
gene-LOC120017728	LOC120017728	sideroflexin-1-like	1	1	5
gene-LOC120017729	LOC120017729	peroxiredoxin-like 2A	1	1	0
gene-LOC120017730	LOC120017730	S-adenosylmethionine synthase	1	1	4
gene-LOC120017731	LOC120017731	transmembrane protein 150A-like	1	1	0
gene-LOC120017732	LOC120017732	zinc finger protein 883-like	1	1	0
gene-LOC120017734	LOC120017734	cell division cycle and apoptosis regulator protein 1-like	1	1	3
gene-LOC120017735	LOC120017735	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial-like	1	1	4
gene-LOC120017736	LOC120017736	transmembrane protein 150A-like	1	1	1
gene-LOC120017737	LOC120017737	eukaryotic translation initiation factor 4E-like	1	1	5
gene-LOC120017739	LOC120017739	inorganic pyrophosphatase-like	1	1	4
gene-LOC120017740	LOC120017740	eukaryotic translation initiation factor 4E-binding protein 2-like	1	1	3
gene-LOC120017741	LOC120017741	GTP-binding protein SAR1b-like	1	1	10
gene-LOC120017742	LOC120017742	KH-type splicing regulatory protein	1	1	4
gene-LOC120017744	LOC120017744	DNA damage-inducible transcript 4 protein-like	1	1	5
gene-LOC120017745	LOC120017745	acyl-CoA desaturase-like	1	1	6
gene-LOC120017746	LOC120017746	hypoxia-inducible factor 1-alpha inhibitor	1	1	9
gene-LOC120017747	LOC120017747	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1-like	1	1	5
gene-LOC120017748	LOC120017748	cysteine-rich protein 2-like	1	1	0
gene-LOC120017750	LOC120017750	voltage-dependent anion-selective channel protein 2-like	1	1	3
gene-LOC120017752	LOC120017752	neurofilament light polypeptide-like	1	1	6
gene-LOC120017753	LOC120017753	neurofilament medium polypeptide-like	1	1	6
gene-LOC120017754	LOC120017754	catechol O-methyltransferase domain-containing protein 1-like	1	1	2
gene-LOC120017756	LOC120017756	catechol O-methyltransferase domain-containing protein 1-like	1	1	2
gene-LOC120017760	LOC120017760	zinc finger protein 503-like	1	1	2
gene-LOC120017761	LOC120017761	E3 ubiquitin-protein ligase MARCHF8-like	1	1	10
gene-LOC120017762	LOC120017762	polyunsaturated fatty acid 5-lipoxygenase-like	1	1	6
gene-LOC120017763	LOC120017763	WASH complex subunit 2-like	1	1	6
gene-LOC120017764	LOC120017764	annexin A11-like	1	1	5
gene-LOC120017765	LOC120017765	disks large homolog 5-like	1	1	2
gene-LOC120017766	LOC120017766	extracellular serine/threonine protein kinase FAM20C-like	1	1	3
gene-LOC120017767	LOC120017767	zinc finger CCHC domain-containing protein 24-like	1	1	2
gene-LOC120017770	LOC120017770	aftiphilin-like	1	2	4
gene-LOC120017774	LOC120017774	butyrophilin subfamily 2 member A1-like	1	1	0
gene-LOC120017776	LOC120017776	neutral amino acid transporter A-like	1	1	8
gene-LOC120017777	LOC120017777	homeobox protein Meis1-like	1	1	0
gene-LOC120017780	LOC120017780	lathosterol oxidase-like	1	1	3
gene-LOC120017781	LOC120017781	uncharacterized LOC120017781	1	1	0
gene-LOC120017782	LOC120017782	uncharacterized LOC120017782	1	1	0
gene-LOC120017783	LOC120017783	uncharacterized LOC120017783	1	1	0
gene-LOC120017784	LOC120017784	polymeric immunoglobulin receptor-like	1	1	2
gene-LOC120017785	LOC120017785	heparan sulfate glucosamine 3-O-sulfotransferase 1-like	1	1	1
gene-LOC120017786	LOC120017786	MHC class II regulatory factor RFX1-like	1	1	4
gene-LOC120017787	LOC120017787	uncharacterized LOC120017787	6	1	0
gene-LOC120017788	LOC120017788	VPS10 domain-containing receptor SorCS1-like	1	1	4
gene-LOC120017789	LOC120017789	inhibitory synaptic factor 2A-like	1	1	2
gene-LOC120017790	LOC120017790	disintegrin and metalloproteinase domain-containing protein 12-like	1	1	2
gene-LOC120017792	LOC120017792	putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32	1	1	3
gene-LOC120017793	LOC120017793	protein FAM53B-like	1	1	3
gene-LOC120017794	LOC120017794	NK1 transcription factor-related protein 2-like	1	1	5
gene-LOC120017797	LOC120017797	glutamate receptor ionotropic, delta-1-like	1	1	7
gene-LOC120017799	LOC120017799	protein NDNF-like	1	1	3
gene-LOC120017800	LOC120017800	serine/threonine/tyrosine-interacting-like protein 1	1	1	3
gene-LOC120017802	LOC120017802	formin-2-like	1	1	7
gene-LOC120017803	LOC120017803	gremlin-2-like	1	1	5
gene-LOC120017804	LOC120017804	cytochrome P450 26A1-like	1	1	5
gene-LOC120017805	LOC120017805	cytochrome P450 26B1-like	1	1	5
gene-LOC120017806	LOC120017806	fibroblast growth factor-binding protein 2-like	1	1	2
gene-LOC120017807	LOC120017807	uncharacterized LOC120017807	1	7	0
gene-LOC120017808	LOC120017808	SH2 domain-containing protein 4B-like	1	1	1
gene-LOC120017809	LOC120017809	inactive phospholipase D5-like	1	1	1
gene-LOC120017810	LOC120017810	girdin-like	1	1	6
gene-LOC120017811	LOC120017811	clathrin heavy chain linker domain-containing protein 1-like	1	1	0
gene-LOC120017813	LOC120017813	vasoactive intestinal peptide	1	1	18
gene-LOC120017814	LOC120017814	MORN repeat-containing protein 2-like	1	1	0
gene-LOC120017815	LOC120017815	alpha-2-macroglobulin-like	5	20	3
gene-LOC120017815_1			1	1	0
gene-LOC120017815_2			1	1	0
gene-LOC120017815_3			1	1	0
gene-LOC120017815_4			1	1	0
gene-LOC120017817	LOC120017817	transmembrane protein 178A-like	1	1	3
gene-LOC120017818	LOC120017818	secreted frizzled-related protein 5-like	1	1	7
gene-LOC120017819	LOC120017819	bone morphogenetic protein 1-like	1	1	6
gene-LOC120017820	LOC120017820	lysyl oxidase homolog 4-like	1	1	5
gene-LOC120017822	LOC120017822	polymeric immunoglobulin receptor-like	1	1	0
gene-LOC120017823	LOC120017823	CMRF35-like molecule 5	1	1	0
gene-LOC120017824	LOC120017824	polymeric immunoglobulin receptor-like	1	1	2
gene-LOC120017826	LOC120017826	polymeric immunoglobulin receptor-like	1	2	0
gene-LOC120017827	LOC120017827	semaphorin-4G-like	1	1	9
gene-LOC120017828	LOC120017828	leucine zipper putative tumor suppressor 2 homolog	4	4	1
gene-LOC120017828_1			1	1	0
gene-LOC120017828_2			1	1	0
gene-LOC120017828_3			1	1	0
gene-LOC120017834	LOC120017834	methylcytosine dioxygenase TET3-like	1	1	6
gene-LOC120017836	LOC120017836	testican-2-like	1	1	2
gene-LOC120017837	LOC120017837	potassium voltage-gated channel subfamily H member 1-like	1	1	4
gene-LOC120017838	LOC120017838	solute carrier family 22 member 7-like	1	1	3
gene-LOC120017840	LOC120017840	endonuclease III-like protein 1	1	1	8
gene-LOC120017844	LOC120017844	leucine-rich melanocyte differentiation-associated protein-like	1	1	2
gene-LOC120017845	LOC120017845	dentin sialophosphoprotein-like	1	1	0
gene-LOC120017848	LOC120017848	methylcytosine dioxygenase tet3-B-like	1	1	8
gene-LOC120017851	LOC120017851	histone H1-like	1	3	4
gene-LOC120017852	LOC120017852	tau-tubulin kinase 1-like	1	1	7
gene-LOC120017853	LOC120017853	monocarboxylate transporter 12-B-like	1	1	3
gene-LOC120017855	LOC120017855	28S ribosomal protein S5, mitochondrial-like	1	1	4
gene-LOC120017856	LOC120017856	sodium/calcium exchanger 1-like	1	1	7
gene-LOC120017857	LOC120017857	exocyst complex component 6-like	1	1	6
gene-LOC120017859	LOC120017859	uncharacterized LOC120017859	1	1	0
gene-LOC120017860	LOC120017860	butyrophilin subfamily 2 member A1-like	1	1	1
gene-LOC120017861	LOC120017861	aftiphilin-like	1	1	4
gene-LOC120017863	LOC120017863	butyrophilin subfamily 2 member A1-like	1	1	1
gene-LOC120017864	LOC120017864	lysosomal cobalamin transport escort protein LMBD1-like	1	1	2
gene-LOC120017865	LOC120017865	exocyst complex component 6-like	1	1	6
gene-LOC120017869	LOC120017869	uncharacterized LOC120017869	1	1	0
gene-LOC120017870	LOC120017870	NLR family CARD domain-containing protein 3-like	13	12	0
gene-LOC120017870_1			1	1	0
gene-LOC120017870_10			1	1	0
gene-LOC120017870_11			1	1	0
gene-LOC120017870_2			1	1	0
gene-LOC120017870_3			1	1	0
gene-LOC120017870_4			1	1	0
gene-LOC120017870_5			1	1	0
gene-LOC120017870_6			1	1	0
gene-LOC120017870_7			1	1	0
gene-LOC120017870_8			1	1	0
gene-LOC120017870_9			1	1	0
gene-LOC120017872	LOC120017872	uncharacterized LOC120017872	1	1	0
gene-LOC120017875	LOC120017875	paired box protein Pax-2a	1	1	4
gene-LOC120017876	LOC120017876	uncharacterized LOC120017876	2	1	0
