gene_id	symbol	product	copies_siscowet	in_lean_unmapped	n_go
gene-LOC120018007_1			1		0
gene-LOC120018007_2			1		0
gene-LOC120018007_3			1		0
gene-LOC120018007_4			1		0
gene-LOC120018007_5			1		0
gene-LOC120018007_6			1		0
gene-LOC120018007_7			1		0
gene-LOC120018041_2			1		0
gene-LOC120018041_3			1		0
gene-LOC120018041_4			1		0
gene-LOC120018041_5			1		0
gene-LOC120018041_6			1		0
gene-LOC120018041_7			1		0
gene-LOC120018041_8			1		0
gene-LOC120018041_9			1		0
gene-LOC120018058_10			1		0
gene-LOC120018058_6			1		0
gene-LOC120018058_7			1		0
gene-LOC120018058_8			1		0
gene-LOC120018058_9			1		0
gene-LOC120018062	LOC120018062	frizzled-4-like	1	Y	6
gene-LOC120018066_1			1		0
gene-LOC120018068_3			1		0
gene-LOC120018068_4			1		0
gene-LOC120018068_5			1		0
gene-LOC120018068_6			1		0
gene-LOC120018068_7			1		0
gene-LOC120018068_8			1		0
gene-LOC120018068_9			1		0
gene-LOC120018085	LOC120018085	syntaxin-10-like	1	Y	2
gene-LOC120018089	LOC120018089	lysosomal alpha-mannosidase-like	1	Y	4
gene-LOC120018208	LOC120018208	uncharacterized LOC120018208	1	Y	0
gene-LOC120018219_1			1		0
gene-LOC120018242_1			1		0
gene-LOC120018242_2			1		0
gene-LOC120018242_3			1		0
gene-LOC120018242_4			1		0
gene-LOC120018242_5			1		0
gene-LOC120018242_6			1		0
gene-LOC120018242_7			1		0
gene-LOC120018242_8			1		0
gene-LOC120018249	LOC120018249	spartin-like	1	Y	3
gene-LOC120018251	LOC120018251	40S ribosomal protein S3-like	1	Y	6
gene-LOC120018266_1			1		0
gene-LOC120018283	LOC120018283	rho GTPase-activating protein 19-like	1	Y	4
gene-LOC120018285	LOC120018285	multiple epidermal growth factor-like domains protein 6	1	Y	3
gene-LOC120018286	LOC120018286	39S ribosomal protein L44, mitochondrial-like	1	Y	6
gene-LOC120018287	LOC120018287	mitochondrial fission factor homolog B-like	1	Y	4
gene-LOC120018288	LOC120018288	arf-GAP domain and FG repeat-containing protein 1-like	1	Y	1
gene-LOC120018289	LOC120018289	ladderlectin-like	1	Y	1
gene-LOC120018300_1			1		0
gene-LOC120018306_1			1		0
gene-LOC120018324	LOC120018324	F-box only protein 46-like	1	Y	2
gene-LOC120018326	LOC120018326	atypical kinase COQ8B, mitochondrial-like	1	Y	3
gene-LOC120018346	LOC120018346	bleomycin hydrolase-like	1	Y	5
gene-LOC120018349	LOC120018349	uncharacterized LOC120018349	1	Y	0
gene-LOC120018382	LOC120018382	interferon regulatory factor 2-binding protein 1-like	1	Y	3
gene-LOC120018384	LOC120018384	hepatocyte nuclear factor 3-beta-like	1	Y	7
gene-LOC120018460_1			1		0
gene-LOC120018473_1			1		0
gene-LOC120018494	LOC120018494	sodium-independent sulfate anion transporter-like	1	Y	4
gene-LOC120018496	LOC120018496	cis-aconitate decarboxylase-like	3	Y	1
gene-LOC120018496_1			1		0
gene-LOC120018496_2			1		0
gene-LOC120018521_1			1		0
gene-LOC120018584	LOC120018584	serine/threonine-protein kinase DCLK1-like	1	Y	4
gene-LOC120018585_1			1		0
gene-LOC120018585_2			1		0
gene-LOC120018586_1			1		0
gene-LOC120018587_1			1		0
gene-LOC120018589_1			1		0
gene-LOC120018593	LOC120018593	olfactory receptor 6N1-like	1	Y	4
gene-LOC120018595	LOC120018595	olfactory receptor 6N1-like	1	Y	4
gene-LOC120018605	LOC120018605	olfactory receptor 6N1-like	1	Y	4
gene-LOC120018609_1			1		0
gene-LOC120018615	LOC120018615	olfactory receptor 11A1-like	1	Y	4
gene-LOC120018616	LOC120018616	otolin-1-A-like	1	Y	1
gene-LOC120018632	LOC120018632	thiamine transporter 2-like	1	Y	4
gene-LOC120018634	LOC120018634	A-kinase anchor protein SPHKAP-like	1	Y	2
gene-LOC120018653	LOC120018653	F-box only protein 39-like	1	Y	1
gene-LOC120018776	LOC120018776	putative nucleotidyltransferase MAB21L1	1	Y	0
gene-LOC120018777	LOC120018777	pannexin-1-like	1	Y	3
gene-LOC120018783	LOC120018783	histone-lysine N-methyltransferase MECOM-like	1	Y	5
gene-LOC120018793	LOC120018793	proteasome subunit alpha type-6-like	1	Y	5
gene-LOC120018796	LOC120018796	N-sulphoglucosamine sulphohydrolase-like	1	Y	3
gene-LOC120018802	LOC120018802	XIAP-associated factor 1-like	1	Y	1
gene-LOC120018845_1			1		0
gene-LOC120018869	LOC120018869	extracellular calcium-sensing receptor-like	1	Y	3
gene-LOC120018900	LOC120018900	zinc finger protein 180-like	1	Y	0
gene-LOC120018979	LOC120018979	small nucleolar RNA SNORD15	1	Y	0
gene-LOC120018980	LOC120018980	small nucleolar RNA SNORD15	1	Y	0
gene-LOC120018993	LOC120018993	protein GPR108-like	1	Y	3
gene-LOC120018994	LOC120018994	small nucleolar RNA SNORD15	1	Y	0
gene-LOC120018995	LOC120018995	small nucleolar RNA SNORD15	1	Y	0
gene-LOC120019104	LOC120019104	uncharacterized LOC120019104	1	Y	7
gene-LOC120019132	LOC120019132	uncharacterized LOC120019132	1	Y	0
gene-LOC120019149	LOC120019149	histone chaperone asf1b-B-like	1	Y	3
gene-LOC120019154	LOC120019154	transcription factor MafG-like	1	Y	5
gene-LOC120019183_1			1		0
gene-LOC120019186_1			1		0
gene-LOC120019186_2			1		0
gene-LOC120019186_3			1		0
gene-LOC120019213	LOC120019213	neuropeptide B-like	1	Y	3
gene-LOC120019250_1			1		0
gene-LOC120019263	LOC120019263	uncharacterized LOC120019263	1	Y	0
gene-LOC120019291	LOC120019291	protein unc-93 homolog A-like	1	Y	0
gene-LOC120019306_1			1		0
gene-LOC120019306_2			1		0
gene-LOC120019306_3			1		0
gene-LOC120019306_4			1		0
gene-LOC120019306_5			1		0
gene-LOC120019320	LOC120019320	uncharacterized LOC120019320	1	Y	0
gene-LOC120019384_1			1		0
gene-LOC120019410	LOC120019410	myosin heavy chain, fast skeletal muscle-like	2	Y	4
gene-LOC120019410_1			1		0
gene-LOC120019463_1			1		0
gene-LOC120019469_1			1		0
gene-LOC120019488	LOC120019488	sodium-dependent multivitamin transporter-like	1	Y	5
gene-LOC120019509	LOC120019509	zinc finger protein 239-like	1	Y	3
gene-LOC120019531	LOC120019531	myosin heavy chain, fast skeletal muscle-like	1	Y	4
gene-LOC120019547_1			1		0
gene-LOC120019548_1			1		0
gene-LOC120019674	LOC120019674	lysophosphatidic acid receptor 2-like	1	Y	3
gene-LOC120019677_1			1		0
gene-LOC120019678_1			1		0
gene-LOC120019681_1			1		0
gene-LOC120019682_1			1		0
gene-LOC120019683_1			1		0
gene-LOC120019684_1			1		0
gene-LOC120019717_1			1		0
gene-LOC120019717_2			1		0
gene-LOC120019718	LOC120019718	probable tubulin polyglutamylase TTLL2	1	Y	5
gene-LOC120019719_1			1		0
gene-LOC120019721	LOC120019721	uncharacterized LOC120019721	1	Y	0
gene-LOC120019722_1			1		0
gene-LOC120019722_2			1		0
gene-LOC120019722_3			1		0
gene-LOC120019724_1			1		0
gene-LOC120019770	LOC120019770	small nucleolar RNA SNORA73 family	1	Y	0
gene-LOC120019774	LOC120019774	small nucleolar RNA SNORA73 family	1	Y	0
gene-LOC120019776	LOC120019776	small nucleolar RNA SNORA73 family	1	Y	0
gene-LOC120019783_1			1		0
gene-LOC120019784_1			1		0
gene-LOC120019900	LOC120019900	ubiquitin-like protein 5	1	Y	6
gene-LOC120019901_1			1		0
gene-LOC120019936_1			1		0
gene-LOC120019939	LOC120019939	peptidyl-prolyl cis-trans isomerase NIMA-interacting 1-like	1	Y	4
gene-LOC120020046_1			1		0
gene-LOC120020050_1			1		0
gene-LOC120020067_1			1		0
gene-LOC120020088_1			1		0
gene-LOC120020106_47			1		0
gene-LOC120020163	LOC120020163	spindlin-1-like	1	Y	1
gene-LOC120020323_1			1		0
gene-LOC120020340	LOC120020340	proline-rich protein 36-like	1	Y	0
gene-LOC120020358_33			1		0
gene-LOC120020358_34			1		0
gene-LOC120020358_35			1		0
gene-LOC120020358_36			1		0
gene-LOC120020358_37			1		0
gene-LOC120020358_38			1		0
gene-LOC120020451	LOC120020451	nucleoprotein TPR-like	1	Y	4
gene-LOC120020452	LOC120020452	proteoglycan 4-like	1	Y	2
gene-LOC120020497_1			1		0
gene-LOC120020510_1			1		0
gene-LOC120020538_1			1		0
gene-LOC120020560_1			1		0
gene-LOC120020561_1			1		0
gene-LOC120020562_1			1		0
gene-LOC120020563_1			1		0
gene-LOC120020564_1			1		0
gene-LOC120020565_1			1		0
gene-LOC120020566_1			1		0
gene-LOC120020567_1			1		0
gene-LOC120020583_1			1		0
gene-LOC120020625_1			1		0
gene-LOC120020649_1			1		0
gene-LOC120020663_1			1		0
gene-LOC120020690_1			1		0
gene-LOC120020693_1			1		0
gene-LOC120020707_1			1		0
gene-LOC120020708_1			1		0
gene-LOC120020710_1			1		0
gene-LOC120020711_1			1		0
gene-LOC120020725_1			1		0
gene-LOC120020726_1			1		0
gene-LOC120020727_1			1		0
gene-LOC120020733_1			1		0
gene-LOC120020776_1			1		0
gene-LOC120020777_1			1		0
gene-LOC120020779_1			1		0
gene-LOC120020780_1			1		0
gene-LOC120020781_1			1		0
gene-LOC120020950_1			1		0
gene-LOC120020951_1			1		0
gene-LOC120021069_1			1		0
gene-LOC120021099_1			1		0
gene-LOC120021170	LOC120021170	C-type mannose receptor 2-like	1	Y	0
gene-LOC120021197_1			1		0
gene-LOC120021204_1			1		0
gene-LOC120021205_1			1		0
gene-LOC120021208_1			1		0
gene-LOC120021224_1			1		0
gene-LOC120021226_1			1		0
gene-LOC120021227_1			1		0
gene-LOC120021270_1			1		0
gene-LOC120021292_1			1		0
gene-LOC120021300	LOC120021300	uncharacterized LOC120021300	1	Y	0
gene-LOC120021321_1			1		0
gene-LOC120021322_1			1		0
gene-LOC120021367_1			1		0
gene-LOC120021369_1			1		0
gene-LOC120021373_1			1		0
gene-LOC120021394_1			1		0
gene-LOC120021411_13			1		0
gene-LOC120021411_14			1		0
gene-LOC120021411_15			1		0
gene-LOC120021459_1			1		0
gene-LOC120021513	LOC120021513	claudin-3-like	1	Y	5
gene-LOC120021519_1			1		0
gene-LOC120021611_1			1		0
gene-LOC120021614_1			1		0
gene-LOC120021626_1			1		0
gene-LOC120021647_1			1		0
gene-LOC120021648_1			1		0
gene-LOC120021676_1			1		0
gene-LOC120021690	LOC120021690	short transient receptor potential channel 5	1	Y	8
gene-LOC120021697_1			1		0
gene-LOC120021716_13			1		0
gene-LOC120021716_14			1		0
gene-LOC120021716_15			1		0
gene-LOC120021716_16			1		0
gene-LOC120021716_17			1		0
gene-LOC120021716_18			1		0
gene-LOC120021739_1			1		0
gene-LOC120021774_1			1		0
gene-LOC120021779_1			1		0
gene-LOC120021788_1			1		0
gene-LOC120021795_1			1		0
gene-LOC120021806_1			1		0
gene-LOC120021809	LOC120021809	NEDD4-binding protein 2-like 1	1	Y	0
gene-LOC120021832_1			1		0
gene-LOC120021841_1			1		0
gene-LOC120021859	LOC120021859	voltage-dependent calcium channel subunit alpha-2/delta-2-like	1	Y	2
gene-LOC120021870_1			1		0
gene-LOC120021872_1			1		0
gene-LOC120021902	LOC120021902	CLOCK-interacting pacemaker-like	1	Y	3
gene-LOC120021916_1			1		0
gene-LOC120021917_1			1		0
gene-LOC120021918_1			1		0
gene-LOC120021920_1			1		0
gene-LOC120021921_1			1		0
gene-LOC120021940	LOC120021940	small nucleolar RNA SNORD65	1	Y	0
gene-LOC120021942	LOC120021942	small nucleolar RNA SNORD65	1	Y	0
gene-LOC120021948_1			1		0
gene-LOC120021949_1			1		0
gene-LOC120021970_1			1		0
gene-LOC120021973_1			1		0
gene-LOC120022006	LOC120022006	cell surface glycoprotein 1-like	1	Y	0
gene-LOC120022007_1			1		0
gene-LOC120022079	LOC120022079	translocon-associated protein subunit beta-like	1	Y	2
gene-LOC120022117	LOC120022117	fatty acid-binding protein, heart	1	Y	4
gene-LOC120022143_1			1		0
gene-LOC120022160_1			1		0
gene-LOC120022168_1			1		0
gene-LOC120022192_1			1		0
gene-LOC120022196_1			1		0
gene-LOC120022197_1			1		0
gene-LOC120022201_1			1		0
gene-LOC120022238_10			1		0
gene-LOC120022255_1			1		0
gene-LOC120022272_1			1		0
gene-LOC120022294_27			1		0
gene-LOC120022294_28			1		0
gene-LOC120022294_29			1		0
gene-LOC120022294_30			1		0
gene-LOC120022294_31			1		0
gene-LOC120022305_26			1		0
gene-LOC120022305_27			1		0
gene-LOC120022305_28			1		0
gene-LOC120022305_29			1		0
gene-LOC120022305_30			1		0
gene-LOC120022305_31			1		0
gene-LOC120022308	LOC120022308	immunoglobulin superfamily DCC subclass member 3-like	1	Y	5
gene-LOC120022320_1			1		0
gene-LOC120022334_16			1		0
gene-LOC120022334_17			1		0
gene-LOC120022334_18			1		0
gene-LOC120022334_19			1		0
gene-LOC120022334_20			1		0
gene-LOC120022349_1			1		0
gene-LOC120022350_1			1		0
gene-LOC120022351_1			1		0
gene-LOC120022356_1			1		0
gene-LOC120022356_2			1		0
gene-LOC120022415_1			1		0
gene-LOC120022422	LOC120022422	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3-like	1	Y	2
gene-LOC120022426_1			1		0
gene-LOC120022429_1			1		0
gene-LOC120022431_1			1		0
gene-LOC120022441_1			1		0
gene-LOC120022442_1			1		0
gene-LOC120022528_1			1		0
gene-LOC120022572_1			1		0
gene-LOC120022581_1			1		0
gene-LOC120022585	LOC120022585	protein FAM161A-like	1	Y	2
gene-LOC120022592	LOC120022592	voltage-dependent calcium channel gamma-1 subunit-like	1	Y	6
gene-LOC120022634_1			1		0
gene-LOC120022653_1			1		0
gene-LOC120022672_1			1		0
gene-LOC120022685	LOC120022685	uncharacterized LOC120022685	1	Y	0
gene-LOC120022690_1			1		0
gene-LOC120022727_1			1		0
gene-LOC120022743_1			1		0
gene-LOC120022801_1			1		0
gene-LOC120022803_1			1		0
gene-LOC120022811_1			1		0
gene-LOC120022820_1			1		0
gene-LOC120022820_2			1		0
gene-LOC120022826_2			1		0
gene-LOC120022826_3			1		0
gene-LOC120022831_1			1		0
gene-LOC120022855_1			1		0
gene-LOC120022857_1			1		0
gene-LOC120022965	LOC120022965	eukaryotic translation initiation factor 2-alpha kinase 3-like	1	Y	3
gene-LOC120022969	LOC120022969	vam6/Vps39-like protein	1	Y	6
gene-LOC120022971	LOC120022971	zinc finger FYVE domain-containing protein 26-like	1	Y	7
gene-LOC120022977_3			1		0
gene-LOC120022977_4			1		0
gene-LOC120022977_5			1		0
gene-LOC120022978	LOC120022978		2	Y	0
gene-LOC120022978_1			1		0
gene-LOC120022979_1			1		0
gene-LOC120022979_2			1		0
gene-LOC120022979_3			1		0
gene-LOC120022979_4			1		0
gene-LOC120022980_1			1		0
gene-LOC120022981_1			1		0
gene-LOC120022981_2			1		0
gene-LOC120022981_3			1		0
gene-LOC120022981_4			1		0
gene-LOC120023029	LOC120023029	rhomboid-related protein 3-like	1	Y	3
gene-LOC120023046_1			1		0
gene-LOC120023062	LOC120023062	solute carrier family 22 member 6-like	1	Y	3
gene-LOC120023066_1			1		0
gene-LOC120023118_1			1		0
gene-LOC120023140_2			1		0
gene-LOC120023146_1			1		0
gene-LOC120023147_1			1		0
gene-LOC120023181_1			1		0
gene-LOC120023188_1			1		0
gene-LOC120023192_1			1		0
gene-LOC120023197	LOC120023197	calcium homeostasis modulator protein 1-like	1	Y	1
gene-LOC120023224_1			1		0
gene-LOC120023231_1			1		0
gene-LOC120023241_1			1		0
gene-LOC120023269	LOC120023269	CDAN1-interacting nuclease 1-like	1	Y	3
gene-LOC120023271_1			1		0
gene-LOC120023271_2			1		0
gene-LOC120023320_1			1		0
gene-LOC120023331	LOC120023331	gap junction alpha-10 protein-like	1	Y	2
gene-LOC120023350_8			1		0
gene-LOC120023372_1			1		0
gene-LOC120023395	LOC120023395	voltage-dependent P/Q-type calcium channel subunit alpha-1A-like	1	Y	9
gene-LOC120023408_1			1		0
gene-LOC120023423	LOC120023423	zinc finger protein 239-like	1	Y	3
gene-LOC120023452	LOC120023452	uncharacterized LOC120023452	1	Y	0
gene-LOC120023455_1			1		0
gene-LOC120023474_16			1		0
gene-LOC120023504_1			1		0
gene-LOC120023518	LOC120023518	calmodulin-regulated spectrin-associated protein 3-like	1	Y	7
gene-LOC120023534_1			1		0
gene-LOC120023576_1			1		0
gene-LOC120023585_1			1		0
gene-LOC120023596_3			1		0
gene-LOC120023601_1			1		0
gene-LOC120023616_1			1		0
gene-LOC120023642	LOC120023642	uromodulin-like	3	Y	0
gene-LOC120023642_1			1		0
gene-LOC120023642_2			1		0
gene-LOC120023649_1			1		0
gene-LOC120023649_2			1		0
gene-LOC120023677_31			1		0
gene-LOC120023682	LOC120023682	XK-related protein 6-like	1	Y	4
gene-LOC120023716	LOC120023716	protein transport protein Sec16A-like	1	Y	0
gene-LOC120023737_1			1		0
gene-LOC120023746	LOC120023746	myosin heavy chain, fast skeletal muscle-like	1	Y	4
gene-LOC120023751_1			1		0
gene-LOC120023754_1			1		0
gene-LOC120023827_3			1		0
gene-LOC120023871_1			1		0
gene-LOC120023889_1			1		0
gene-LOC120023896_3			1		0
gene-LOC120024004_1			1		0
gene-LOC120024020	LOC120024020	E3 ubiquitin-protein ligase rnf168-like	1	Y	2
gene-LOC120024026_1			1		0
gene-LOC120024033_1			1		0
gene-LOC120024042_1			1		0
gene-LOC120024072_1			1		0
gene-LOC120024073_1			1		0
gene-LOC120024080_1			1		0
gene-LOC120024099_1			1		0
gene-LOC120024102	LOC120024102	uncharacterized LOC120024102	1	Y	0
gene-LOC120024131_1			1		0
gene-LOC120024150	LOC120024150	RING finger protein 224-like	1	Y	2
gene-LOC120024164_1			1		0
gene-LOC120024165_1			1		0
gene-LOC120024180	LOC120024180	toll-like receptor 5	1	Y	6
gene-LOC120024181	LOC120024181	uncharacterized LOC120024181	1	Y	0
gene-LOC120024201_1			1		0
gene-LOC120024202_1			1		0
gene-LOC120024210_1			1		0
gene-LOC120024212_1			1		0
gene-LOC120024214_1			1		0
gene-LOC120024223_1			1		0
gene-LOC120024224_1			1		0
gene-LOC120024225_1			1		0
gene-LOC120024226_1			1		0
gene-LOC120024257_1			1		0
gene-LOC120024332_1			1		0
gene-LOC120024349_1			1		0
gene-LOC120024359_1			1		0
gene-LOC120024382_1			1		0
gene-LOC120024450_1			1		0
gene-LOC120024463_1			1		0
gene-LOC120024479_1			1		0
gene-LOC120024495_1			1		0
gene-LOC120024536_1			1		0
gene-LOC120024561_1			1		0
gene-LOC120024592_1			1		0
gene-LOC120024597	LOC120024597	uncharacterized LOC120024597	1	Y	0
gene-LOC120024630_15			1		0
gene-LOC120024630_16			1		0
gene-LOC120024630_17			1		0
gene-LOC120024630_18			1		0
gene-LOC120024630_19			1		0
gene-LOC120024630_20			1		0
gene-LOC120024630_21			1		0
gene-LOC120024630_22			1		0
gene-LOC120024630_23			1		0
gene-LOC120024630_24			1		0
gene-LOC120024630_25			1		0
gene-LOC120024630_26			1		0
gene-LOC120024630_27			1		0
gene-LOC120024630_28			1		0
gene-LOC120024630_29			1		0
gene-LOC120024630_30			1		0
gene-LOC120024630_31			1		0
gene-LOC120024630_32			1		0
gene-LOC120024630_33			1		0
gene-LOC120024630_34			1		0
gene-LOC120024630_35			1		0
gene-LOC120024630_36			1		0
gene-LOC120024630_37			1		0
gene-LOC120024630_38			1		0
gene-LOC120024630_39			1		0
gene-LOC120024630_40			1		0
gene-LOC120024630_41			1		0
gene-LOC120024631_1			1		0
gene-LOC120024631_10			1		0
gene-LOC120024631_11			1		0
gene-LOC120024631_12			1		0
gene-LOC120024631_13			1		0
gene-LOC120024631_2			1		0
gene-LOC120024631_3			1		0
gene-LOC120024631_4			1		0
gene-LOC120024631_5			1		0
gene-LOC120024631_6			1		0
gene-LOC120024631_7			1		0
gene-LOC120024631_8			1		0
gene-LOC120024631_9			1		0
gene-LOC120024632_1			1		0
gene-LOC120024632_2			1		0
gene-LOC120024632_3			1		0
gene-LOC120024632_4			1		0
gene-LOC120024632_5			1		0
gene-LOC120024633_1			1		0
gene-LOC120024633_2			1		0
gene-LOC120024634_1			1		0
gene-LOC120024634_2			1		0
gene-LOC120024651_10			1		0
gene-LOC120024651_11			1		0
gene-LOC120024651_12			1		0
gene-LOC120024651_13			1		0
gene-LOC120024651_14			1		0
gene-LOC120024651_15			1		0
gene-LOC120024651_16			1		0
gene-LOC120024651_17			1		0
gene-LOC120024651_18			1		0
gene-LOC120024651_19			1		0
gene-LOC120024651_20			1		0
gene-LOC120024651_21			1		0
gene-LOC120024651_22			1		0
gene-LOC120024651_23			1		0
gene-LOC120024651_24			1		0
gene-LOC120024651_25			1		0
gene-LOC120024651_26			1		0
gene-LOC120024651_27			1		0
gene-LOC120024651_28			1		0
gene-LOC120024651_29			1		0
gene-LOC120024651_30			1		0
gene-LOC120024651_31			1		0
gene-LOC120024651_32			1		0
gene-LOC120024651_33			1		0
gene-LOC120024651_34			1		0
gene-LOC120024651_35			1		0
gene-LOC120024651_36			1		0
gene-LOC120024651_37			1		0
gene-LOC120024651_38			1		0
gene-LOC120024651_39			1		0
gene-LOC120024651_40			1		0
gene-LOC120024652_1			1		0
gene-LOC120024652_10			1		0
gene-LOC120024652_11			1		0
gene-LOC120024652_12			1		0
gene-LOC120024652_13			1		0
gene-LOC120024652_14			1		0
gene-LOC120024652_15			1		0
gene-LOC120024652_16			1		0
gene-LOC120024652_17			1		0
gene-LOC120024652_18			1		0
gene-LOC120024652_2			1		0
gene-LOC120024652_3			1		0
