gene_id	symbol	product	copies_lean	in_siscowet_unmapped	n_go
gene-LOC120019248	LOC120019248	uncharacterized LOC120019248	1	Y	0
gene-LOC120019452_1			1		0
gene-LOC120019465_1			1		0
gene-LOC120019477_1			1		0
gene-LOC120019608	LOC120019608	lysophosphatidic acid receptor 2-like	1	Y	3
gene-LOC120019624	LOC120019624	protein GPR108-like	1	Y	3
gene-LOC120019680	LOC120019680	bromodomain-containing protein 3-like	1	Y	5
gene-LOC120019732	LOC120019732	multivesicular body subunit 12A-like	1	Y	7
gene-LOC120020075_8			1		0
gene-LOC120020075_9			1		0
gene-LOC120020322_1			1		0
gene-LOC120020450	LOC120020450	proteoglycan 4-like	1	Y	2
gene-LOC120020464	LOC120020464	choline-phosphate cytidylyltransferase A-like	1	Y	4
gene-LOC120020490	LOC120020490	40S ribosomal protein S28	1	Y	6
gene-LOC120020628_1			1		0
gene-LOC120020706_2			1		0
gene-LOC120021126_1			1		0
gene-LOC120021140_2			1		0
gene-LOC120021737_1			1		0
gene-LOC120021749_1			1		0
gene-LOC120021750_2			1		0
gene-LOC120021787_1			1		0
gene-LOC120021812	LOC120021812	NEDD4-binding protein 2-like 1	1	Y	0
gene-LOC120022070_1			1		0
gene-LOC120022111_1			1		0
gene-LOC120022234	LOC120022234	DNA-directed RNA polymerase III subunit RPC7-like	1	Y	2
gene-LOC120022235	LOC120022235	zinc finger protein 706-like	1	Y	0
gene-LOC120022261_1			1		0
gene-LOC120022283	LOC120022283	basic proline-rich protein-like	1	Y	0
gene-LOC120022365	LOC120022365	C3a anaphylatoxin chemotactic receptor-like	1	Y	7
gene-LOC120022366	LOC120022366	C3a anaphylatoxin chemotactic receptor-like	1	Y	7
gene-LOC120022511	LOC120022511	uncharacterized LOC120022511	2	Y	0
gene-LOC120022511_1			1		0
gene-LOC120022514	LOC120022514	40S ribosomal protein S19-like	1	Y	6
gene-LOC120022571_1			1		0
gene-LOC120022707	LOC120022707	uncharacterized LOC120022707	1	Y	0
gene-LOC120022712	LOC120022712	uncharacterized LOC120022712	1	Y	0
gene-LOC120022726_1			1		0
gene-LOC120022740	LOC120022740	uncharacterized LOC120022740	1	Y	0
gene-LOC120022769	LOC120022769	transcriptional repressor p66-beta-like	1	Y	3
gene-LOC120022770_1			1		0
gene-LOC120022797	LOC120022797	uncharacterized LOC120022797	1	Y	0
gene-LOC120022877	LOC120022877	small nucleolar RNA SNORD53/SNORD92	1	Y	0
gene-LOC120022984	LOC120022984		1	Y	0
gene-LOC120023084_1			1		0
gene-LOC120023130_3			1		0
gene-LOC120023130_4			1		0
gene-LOC120023130_5			1		0
gene-LOC120023137	LOC120023137	E3 ubiquitin-protein ligase NEURL1-like	1	Y	5
gene-LOC120023175	LOC120023175	calmodulin-1	1	Y	1
gene-LOC120023180	LOC120023180	fibroblast growth factor 8b-like	1	Y	15
gene-LOC120023189	LOC120023189	metal transporter CNNM2-like	1	Y	4
gene-LOC120023213_1			1		0
gene-LOC120023238	LOC120023238	uncharacterized LOC120023238	1	Y	0
gene-LOC120023380	LOC120023380	voltage-dependent P/Q-type calcium channel subunit alpha-1A-like	1	Y	6
gene-LOC120023431	LOC120023431	26S proteasome regulatory subunit 4-like	1	Y	5
gene-LOC120023487	LOC120023487	slit homolog 1 protein-like	1	Y	6
gene-LOC120023547	LOC120023547	protein transport protein Sec16A-like	1	Y	0
gene-LOC120023552_1			1		0
gene-LOC120023552_2			1		0
gene-LOC120023594_4			1		0
gene-LOC120023678_1			1		0
gene-LOC120023709	LOC120023709	protein transport protein Sec16A-like	1	Y	0
gene-LOC120024038_4			1		0
gene-LOC120024038_5			1		0
gene-LOC120024097_1			1		0
gene-LOC120024258_1			1		0
gene-LOC120024269_1			1		0
gene-LOC120024300_2			1		0
gene-LOC120024345	LOC120024345	beta-soluble NSF attachment protein	1	Y	9
gene-LOC120024447_1			1		0
gene-LOC120024697	LOC120024697	transient receptor potential cation channel subfamily M member 7-like	1	Y	9
gene-LOC120024699	LOC120024699	unconventional myosin-Va-like	1	Y	9
gene-LOC120024704	LOC120024704	guanine nucleotide-binding protein subunit beta-5b	1	Y	6
gene-LOC120024745_2			1		0
gene-LOC120024763	LOC120024763	stabilizer of axonemal microtubules 2-like	1	Y	7
gene-LOC120024764	LOC120024764	ADAMTS-like protein 1	1	Y	3
gene-LOC120024769	LOC120024769	pro-interleukin-16-like	1	Y	4
gene-LOC120024793	LOC120024793	carbohydrate sulfotransferase 8-like	1	Y	4
gene-LOC120024854	LOC120024854	ubiquitin-conjugating enzyme E2 Q2-like	1	Y	0
gene-LOC120024865	LOC120024865	BTB/POZ domain-containing protein kctd15	1	Y	2
gene-LOC120024883	LOC120024883	hepatocyte nuclear factor 6-like	1	Y	4
gene-LOC120024893	LOC120024893	carnitine O-palmitoyltransferase 1, liver isoform-like	1	Y	4
gene-LOC120024894	LOC120024894	cysteine--tRNA ligase, cytoplasmic-like	1	Y	4
gene-LOC120024918	LOC120024918	transmembrane channel-like protein 3	1	Y	2
gene-LOC120024927	LOC120024927	stAR-related lipid transfer protein 5-like	1	Y	1
gene-LOC120024952	LOC120024952	SH2 domain-containing adapter protein F-like	1	Y	1
gene-LOC120025019_2			1		0
gene-LOC120025020_4			1		0
gene-LOC120025121_1			1		0
gene-LOC120025161_1			1		0
gene-LOC120025200	LOC120025200	RNA-binding protein MEX3B-like	1	Y	1
gene-LOC120025214	LOC120025214	peroxisomal membrane protein PEX16-like	1	Y	2
gene-LOC120025220	LOC120025220	ubiquitin-like protein 7	1	Y	3
gene-LOC120025227_3			1		0
gene-LOC120025227_4			1		0
gene-LOC120025279	LOC120025279	uncharacterized LOC120025279	1	Y	0
gene-LOC120025283	LOC120025283	uncharacterized LOC120025283	1	Y	0
gene-LOC120025324	LOC120025324	uncharacterized protein KIAA0895-like	1	Y	0
gene-LOC120025342	LOC120025342	transcription factor SOX-6-like	1	Y	7
gene-LOC120025372_3			1		0
gene-LOC120025446	LOC120025446	smoothelin-like	1	Y	4
gene-LOC120025454_1			1		0
gene-LOC120025643_1			1		0
gene-LOC120026064	LOC120026064	centrin-3-like	1	Y	4
gene-LOC120026096	LOC120026096	lysozyme C II	1	Y	3
gene-LOC120026242	LOC120026242	high choriolytic enzyme 1-like	3	Y	3
gene-LOC120026242_1			1		0
gene-LOC120026242_2			1		0
gene-LOC120026446	LOC120026446	polyubiquitin-like	1	Y	6
gene-LOC120026544	LOC120026544	U2 spliceosomal RNA	1	Y	0
gene-LOC120026774	LOC120026774	glutamate receptor ionotropic, kainate 5-like	1	Y	9
gene-LOC120026822	LOC120026822		1	Y	0
gene-LOC120026887	LOC120026887	class I histocompatibility antigen, F10 alpha chain-like	1	Y	3
gene-LOC120026889	LOC120026889	major histocompatibility complex class I-related gene protein-like	1	Y	3
gene-LOC120026894	LOC120026894	proteasome subunit beta type-8-like	1	Y	3
gene-LOC120026906_1			1		0
gene-LOC120026925_1			1		0
gene-LOC120026925_2			1		0
gene-LOC120027039_1			1		0
gene-LOC120027040_1			1		0
gene-LOC120027220_1			1		0
gene-LOC120027316_3			1		0
gene-LOC120027376	LOC120027376	uncharacterized LOC120027376	1	Y	0
gene-LOC120027377_4			1		0
gene-LOC120027483_1			1		0
gene-LOC120027491_5			1		0
gene-LOC120027491_6			1		0
gene-LOC120027492_5			1		0
gene-LOC120027492_6			1		0
gene-LOC120027492_7			1		0
gene-LOC120027495_1			1		0
gene-LOC120027734	LOC120027734	SH3 and PX domain-containing protein 2A-like	1	Y	4
gene-LOC120027795	LOC120027795	alpha-internexin-like	1	Y	5
gene-LOC120027807_1			1		0
gene-LOC120027814_1			1		0
gene-LOC120027816	LOC120027816	uncharacterized LOC120027816	1	Y	0
gene-LOC120027900	LOC120027900	uncharacterized LOC120027900	1	Y	0
gene-LOC120027915	LOC120027915	uncharacterized protein DDB_G0284459-like	1	Y	2
gene-LOC120028046	LOC120028046	uncharacterized LOC120028046	1	Y	0
gene-LOC120028053_3			1		0
gene-LOC120028053_4			1		0
gene-LOC120028151_1			1		0
gene-LOC120028151_10			1		0
gene-LOC120028151_2			1		0
gene-LOC120028151_3			1		0
gene-LOC120028151_4			1		0
gene-LOC120028151_5			1		0
gene-LOC120028151_6			1		0
gene-LOC120028151_7			1		0
gene-LOC120028151_8			1		0
gene-LOC120028151_9			1		0
gene-LOC120028211	LOC120028211	basic proline-rich protein-like	1	Y	0
gene-LOC120028229	LOC120028229	immunoglobulin superfamily member 11-like	1	Y	3
gene-LOC120028275_10			1		0
gene-LOC120028291	LOC120028291	protein NLRC3-like	1	Y	0
gene-LOC120028326	LOC120028326	inositol polyphosphate 5-phosphatase K-like	1	Y	12
gene-LOC120028538_1			1		0
gene-LOC120028545	LOC120028545	transcription elongation factor SPT5-like	1	Y	7
gene-LOC120028546	LOC120028546	uncharacterized LOC120028546	1	Y	0
gene-LOC120028564	LOC120028564	atypical kinase COQ8B, mitochondrial-like	1	Y	3
gene-LOC120028571	LOC120028571	calpain small subunit 1-like	1	Y	1
gene-LOC120028632	LOC120028632	ARF GTPase-activating protein GIT1-like	1	Y	4
gene-LOC120028660	LOC120028660	proteasome subunit alpha type-6-like	1	Y	5
gene-LOC120028765_14			1		0
gene-LOC120028765_15			1		0
gene-LOC120028765_16			1		0
gene-LOC120028765_17			1		0
gene-LOC120028765_18			1		0
gene-LOC120028765_19			1		0
gene-LOC120028765_20			1		0
gene-LOC120028765_21			1		0
gene-LOC120028765_22			1		0
gene-LOC120028765_23			1		0
gene-LOC120028812	LOC120028812	sodium-dependent serotonin transporter-like	1	Y	6
gene-LOC120028813	LOC120028813	bleomycin hydrolase-like	1	Y	5
gene-LOC120028831	LOC120028831	XIAP-associated factor 1-like	1	Y	2
gene-LOC120028852	LOC120028852	ras-related protein Rab-1A-like	1	Y	2
gene-LOC120028853	LOC120028853	phosphatidylinositol transfer protein alpha isoform-like	1	Y	6
gene-LOC120028888	LOC120028888	high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A-like	1	Y	3
gene-LOC120028901	LOC120028901	rap1 GTPase-activating protein 2-like	1	Y	5
gene-LOC120028932	LOC120028932	myb-related transcription factor, partner of profilin-like	1	Y	1
gene-LOC120028937	LOC120028937	large neutral amino acids transporter small subunit 4-like	1	Y	4
gene-LOC120029007	LOC120029007	protein phosphatase Slingshot homolog 2-like	1	Y	6
gene-LOC120029026	LOC120029026	glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	1	Y	0
gene-LOC120029046	LOC120029046	kelch-like protein 12	1	Y	1
gene-LOC120029083	LOC120029083	protein FAM133-like	1	Y	0
gene-LOC120029100	LOC120029100	uncharacterized LOC120029100	1	Y	1
gene-LOC120029101	LOC120029101	ankyrin repeat domain-containing protein 13B-like	1	Y	2
gene-LOC120029158	LOC120029158	uncharacterized LOC120029158	1	Y	3
gene-LOC120029162	LOC120029162	F-box only protein 39-like	1	Y	1
gene-LOC120029164	LOC120029164	nucleolar protein 58-like	1	Y	0
gene-LOC120029189	LOC120029189	alpha-2-macroglobulin-like	1	Y	3
gene-LOC120029190	LOC120029190	alpha-2-macroglobulin-like	1	Y	1
gene-LOC120029219_2			1		0
gene-LOC120029247_1			1		0
gene-LOC120029306_1			1		0
gene-LOC120029350	LOC120029350	inward rectifier potassium channel 16-like	1	Y	4
gene-LOC120029363_1			1		0
gene-LOC120029562_1			1		0
gene-LOC120029563_1			1		0
gene-LOC120029563_2			1		0
gene-LOC120029595_1			1		0
gene-LOC120029915	LOC120029915	inward rectifier potassium channel 2-like	1	Y	4
gene-LOC120030186_7			1		0
gene-LOC120030186_8			1		0
gene-LOC120030186_9			1		0
gene-LOC120030201_1			1		0
gene-LOC120030466_1			1		0
gene-LOC120030534_1			1		0
gene-LOC120030595_2			1		0
gene-LOC120030685_2			1		0
gene-LOC120030685_3			1		0
gene-LOC120030692	LOC120030692	homeobox protein SIX6-like	1	Y	6
gene-LOC120030768	LOC120030768	inhibitor of Bruton tyrosine kinase-like	1	Y	5
gene-LOC120030794	LOC120030794	fasciculation and elongation protein zeta-2-like	1	Y	2
gene-LOC120030835	LOC120030835	uncharacterized LOC120030835	1	Y	0
gene-LOC120030836	LOC120030836	CREB-regulated transcription coactivator 2-like	1	Y	6
gene-LOC120030876	LOC120030876	V-type proton ATPase subunit C 1-A	1	Y	4
gene-LOC120030878	LOC120030878	uncharacterized protein DKFZp434B061-like	1	Y	0
gene-LOC120030879	LOC120030879	derlin-1-like	1	Y	6
gene-LOC120030901	LOC120030901	adhesion G protein-coupled receptor B1-like	1	Y	5
gene-LOC120030936	LOC120030936	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3-like	1	Y	4
gene-LOC120030965_3			1		0
gene-LOC120030978	LOC120030978	serine/threonine-protein kinase Sgk1-like	1	Y	3
gene-LOC120030979	LOC120030979	epithelial splicing regulatory protein 1-like	1	Y	4
gene-LOC120030980	LOC120030980	DNA repair and recombination protein RAD54B-like	1	Y	0
gene-LOC120030983	LOC120030983	myosin-10-like	1	Y	4
gene-LOC120030986	LOC120030986	meckelin-like	1	Y	3
gene-LOC120030993	LOC120030993	zinc fingers and homeoboxes protein 2-like	1	Y	4
gene-LOC120031008	LOC120031008	DENN domain-containing protein 4B-like	1	Y	3
gene-LOC120031026	LOC120031026	immunoglobulin superfamily DCC subclass member 3-like	1	Y	5
gene-LOC120031034	LOC120031034	E3 ubiquitin-protein ligase UBR5-like	1	Y	9
gene-LOC120031035	LOC120031035	protein LYRIC-like	1	Y	6
gene-LOC120031037	LOC120031037	antizyme inhibitor 1-like	1	Y	6
gene-LOC120031063	LOC120031063	protein dopey-1-like	1	Y	3
gene-LOC120031076	LOC120031076	dual specificity protein kinase Ttk-like	1	Y	12
gene-LOC120031089	LOC120031089	membrane-spanning 4-domains subfamily A member 4A-like	1	Y	1
gene-LOC120031091	LOC120031091	Krueppel-like factor 10	1	Y	3
gene-LOC120031097	LOC120031097	protein cornichon homolog 4-like	1	Y	3
gene-LOC120031113	LOC120031113	alpha-1,3/1,6-mannosyltransferase ALG2-like	1	Y	4
gene-LOC120031117	LOC120031117	ubiquitin carboxyl-terminal hydrolase 45-like	1	Y	3
gene-LOC120031120	LOC120031120	phosphatidylinositol-3-phosphatase SAC1-B	1	Y	3
gene-LOC120031126	LOC120031126	rho guanine nucleotide exchange factor 2-like	1	Y	8
gene-LOC120031138	LOC120031138	growth/differentiation factor 6-A-like	1	Y	6
gene-LOC120031141	LOC120031141	gamma-glutamylcyclotransferase-like	1	Y	1
gene-LOC120031149	LOC120031149	uncharacterized LOC120031149	1	Y	0
gene-LOC120031161	LOC120031161	DNA-directed RNA polymerase III subunit RPC7-like	1	Y	2
gene-LOC120031186	LOC120031186	receptor-binding cancer antigen expressed on SiSo cells-like	1	Y	1
gene-LOC120031200	LOC120031200	transcriptional repressor p66-beta-like	1	Y	3
gene-LOC120031210	LOC120031210	kinesin-like protein KIFC3	1	Y	4
gene-LOC120031222	LOC120031222	prolactin regulatory element-binding protein-like	1	Y	6
gene-LOC120031228	LOC120031228	E3 ubiquitin-protein ligase RNF144B-like	1	Y	9
gene-LOC120031256	LOC120031256	gonadotropin-releasing hormone II receptor-like	1	Y	4
gene-LOC120031281	LOC120031281	cytochrome b5 reductase 4	1	Y	5
gene-LOC120031284	LOC120031284	T-complex protein 1 subunit gamma-like	1	Y	6
gene-LOC120031295	LOC120031295	thrombospondin-3a-like	1	Y	4
gene-LOC120031303	LOC120031303	E3 ubiquitin-protein ligase TRIM33-like	1	Y	5
gene-LOC120031308	LOC120031308	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial-like	1	Y	4
gene-LOC120031319	LOC120031319	transmembrane protein 79-like	1	Y	3
gene-LOC120031325	LOC120031325	nucleotide-binding oligomerization domain-containing protein 1-like	1	Y	2
gene-LOC120031334	LOC120031334	zinc finger protein 407-like	1	Y	4
gene-LOC120031336	LOC120031336	adenylate cyclase type 3-like	1	Y	5
gene-LOC120031338	LOC120031338	transcription factor BTF3-like	1	Y	3
gene-LOC120031369	LOC120031369	uridine phosphorylase 1-like	3	Y	3
gene-LOC120031369_1			1		0
gene-LOC120031369_2			1		0
gene-LOC120031382	LOC120031382	WD repeat-containing protein 26-like	1	Y	3
gene-LOC120031387	LOC120031387	sodium- and chloride-dependent transporter XTRP3-like	1	Y	3
gene-LOC120031389	LOC120031389	nucleoside diphosphate-linked moiety X motif 17-like	1	Y	5
gene-LOC120031395	LOC120031395	trophoblast glycoprotein-like	1	Y	3
gene-LOC120031406	LOC120031406	kelch-like protein 32	1	Y	1
gene-LOC120031420	LOC120031420	thioredoxin-interacting protein-like	1	Y	3
gene-LOC120031431	LOC120031431	cyclic AMP-responsive element-binding protein 3-like protein 4	1	Y	4
gene-LOC120031444	LOC120031444	oxidation resistance protein 1-like	1	Y	2
gene-LOC120031445	LOC120031445	squalene monooxygenase-like	1	Y	6
gene-LOC120031449_1			1		0
gene-LOC120031452	LOC120031452	protein virilizer homolog	1	Y	3
gene-LOC120031456	LOC120031456	tyrosine-protein phosphatase non-receptor type 3-like	1	Y	6
gene-LOC120031459	LOC120031459	lethal(3)malignant brain tumor-like protein 4	1	Y	4
gene-LOC120031461	LOC120031461	pyruvate dehydrogenase [acetyl-transferring]-phosphatase 1, mitochondrial-like	1	Y	3
gene-LOC120031462	LOC120031462	band 4.1-like protein 4B	1	Y	2
gene-LOC120031469	LOC120031469	fibrinogen silencer-binding protein-like	1	Y	0
gene-LOC120031470	LOC120031470	GTP-binding protein GEM-like	1	Y	5
gene-LOC120031477	LOC120031477	transmembrane protein 244-like	1	Y	0
gene-LOC120031496	LOC120031496	F-box/LRR-repeat protein 4-like	1	Y	3
gene-LOC120031504	LOC120031504	ictacalcin-like	1	Y	2
gene-LOC120031510	LOC120031510	inactive serine protease 35-like	1	Y	2
gene-LOC120031527	LOC120031527	synaptotagmin-11-like	1	Y	13
gene-LOC120031528	LOC120031528	mothers against decapentaplegic homolog 4-like	1	Y	10
gene-LOC120031573	LOC120031573	failed axon connections homolog	1	Y	1
gene-LOC120031574	LOC120031574	glial fibrillary acidic protein-like	1	Y	4
gene-LOC120031577	LOC120031577	syntabulin-like	1	Y	4
gene-LOC120031600	LOC120031600	sialic acid-binding Ig-like lectin 5	1	Y	0
gene-LOC120031644	LOC120031644	death-associated protein kinase 2-like	1	Y	7
gene-LOC120031647	LOC120031647	ankyrin repeat domain-containing protein 34A-like	1	Y	1
gene-LOC120031652	LOC120031652	hemojuvelin-like	1	Y	3
gene-LOC120031656	LOC120031656	TBC1 domain family member 31-like	1	Y	2
gene-LOC120031673	LOC120031673	protein spire homolog 1-like	1	Y	11
gene-LOC120031686	LOC120031686	terminal nucleotidyltransferase 5A-like	1	Y	3
gene-LOC120031696	LOC120031696	lysosomal-associated transmembrane protein 4B-like	1	Y	1
gene-LOC120031717	LOC120031717	small nucleolar RNA SNORA15	1	Y	0
gene-LOC120031739	LOC120031739	probable G protein-coupled receptor 85	1	Y	3
gene-LOC120031743	LOC120031743	fish-egg lectin-like	1	Y	0
gene-LOC120031890	LOC120031890	myotrophin	1	Y	4
gene-LOC120031991	LOC120031991	coatomer subunit gamma-2	1	Y	10
gene-LOC120031993	LOC120031993	mesoderm-specific transcript homolog protein-like	1	Y	1
gene-LOC120031999	LOC120031999	forkhead box protein M1-like	1	Y	4
gene-LOC120032000	LOC120032000	cystine/glutamate transporter-like	1	Y	3
gene-LOC120032001	LOC120032001	peroxisome assembly protein 26-like	1	Y	6
gene-LOC120032010	LOC120032010	filamin-A-like	1	Y	2
gene-LOC120032048_1			1		0
gene-LOC120032094	LOC120032094	fish-egg lectin-like	1	Y	0
gene-LOC120032113	LOC120032113	thyrotropin-releasing hormone-degrading ectoenzyme-like	1	Y	6
gene-LOC120032118	LOC120032118	urocortin-3-like	1	Y	8
gene-LOC120032125	LOC120032125	plasma membrane calcium-transporting ATPase 1-like	1	Y	8
gene-LOC120032148	LOC120032148	tubby-related protein 3-like	1	Y	2
gene-LOC120032224	LOC120032224	aryl hydrocarbon receptor nuclear translocator-like protein 2	1	Y	8
gene-LOC120032297	LOC120032297	protein O-mannosyl-transferase TMTC1-like	1	Y	4
gene-LOC120032361	LOC120032361	voltage-dependent calcium channel gamma-4 subunit-like	1	Y	12
gene-LOC120032372	LOC120032372	voltage-dependent calcium channel gamma-5 subunit-like	1	Y	11
gene-LOC120032373	LOC120032373	nucleosome-remodeling factor subunit BPTF-like	1	Y	4
gene-LOC120032385_1			1		0
gene-LOC120032387	LOC120032387	ERO1-like protein beta	1	Y	6
gene-LOC120032388	LOC120032388	BTB/POZ domain-containing protein 3	1	Y	5
gene-LOC120032389	LOC120032389	G protein-coupled receptor 137Ba-like	1	Y	5
gene-LOC120032395	LOC120032395	voltage-dependent calcium channel gamma-1 subunit-like	1	Y	6
gene-LOC120032422	LOC120032422	ubiquitin carboxyl-terminal hydrolase 34-like	1	Y	5
gene-LOC120032435	LOC120032435	snake venom serine protease PTLE1-like	1	Y	2
gene-LOC120032442	LOC120032442	uncharacterized LOC120032442	1	Y	0
gene-LOC120032448	LOC120032448	golgin subfamily A member 7B-like	1	Y	3
gene-LOC120032454_1			1		0
gene-LOC120032456_1			1		0
gene-LOC120032456_2			1		0
gene-LOC120032456_3			1		0
gene-LOC120032456_4			1		0
gene-LOC120032458	LOC120032458	interleukin-2 receptor subunit beta-like	1	Y	6
gene-LOC120032464_1			1		0
gene-LOC120032487	LOC120032487	B-cell lymphoma/leukemia 11A-like	1	Y	5
gene-LOC120032511	LOC120032511	aftiphilin-like	1	Y	4
gene-LOC120032517	LOC120032517	CB1 cannabinoid receptor-interacting protein 1-like	1	Y	3
gene-LOC120032520	LOC120032520	venom factor-like	1	Y	4
gene-LOC120032524	LOC120032524	coiled-coil domain-containing protein 130 homolog	1	Y	3
gene-LOC120032526	LOC120032526	platelet-derived growth factor subunit A-like	1	Y	11
gene-LOC120032539_1			1		0
gene-LOC120032554_1			1		0
gene-LOC120032565	LOC120032565	exportin-1-like	1	Y	7
gene-LOC120032585	LOC120032585	actin-related protein 2-A-like	1	Y	4
gene-LOC120032586	LOC120032586	protrudin-like	1	Y	10
gene-LOC120032593	LOC120032593	protein Asterix	1	Y	3
gene-LOC120032603	LOC120032603	nucleolar protein 11-like	1	Y	5
gene-LOC120032611	LOC120032611	cytoplasmic phosphatidylinositol transfer protein 1-like	1	Y	4
gene-LOC120032639	LOC120032639	aprataxin and PNK-like factor	1	Y	5
gene-LOC120032645	LOC120032645	cartilage acidic protein 1-like	1	Y	2
gene-LOC120032652	LOC120032652	ewing's tumor-associated antigen 1-like	1	Y	0
gene-LOC120032664	LOC120032664	protein kinase C alpha type-like	1	Y	4
gene-LOC120032733	LOC120032733	protein FAM161A-like	1	Y	2
gene-LOC120032780	LOC120032780	uncharacterized LOC120032780	1	Y	1
gene-LOC120032786_1			1		0
gene-LOC120032787	LOC120032787	importin subunit alpha-1-like	1	Y	6
gene-LOC120032797	LOC120032797	SERTA domain-containing protein 2-like	1	Y	2
gene-LOC120032839	LOC120032839	F-box only protein 48-like	1	Y	3
gene-LOC120032877	LOC120032877	probable helicase with zinc finger domain	1	Y	5
gene-LOC120032897	LOC120032897	ras-related protein ORAB-1-like	1	Y	2
gene-LOC120032913	LOC120032913	sprouty-related, EVH1 domain-containing protein 2-like	1	Y	4
gene-LOC120032916	LOC120032916	26S proteasome non-ATPase regulatory subunit 12	1	Y	3
gene-LOC120032926	LOC120032926	transmembrane protease serine 6-like	1	Y	3
gene-LOC120032952	LOC120032952	uncharacterized LOC120032952	1	Y	0
gene-LOC120032996	LOC120032996	calcineurin subunit B type 1	1	Y	2
