comparison	chr_a	chr_b	anchors
reference_vs_lean	lnptg003010l1	rfNC0523261	37
reference_vs_lean	lnptg003052l1	rfNC0523151	37
reference_vs_lean	lnptg003076l1	rfNC0523441	37
reference_vs_lean	lnptg000076l1	rfNC0523321	36
reference_vs_lean	lnptg000210l1	rfNC0523351	36
reference_vs_lean	lnptg000436l1	rfNC0523331	36
reference_vs_lean	lnptg000612l1	rfNC0523261	36
reference_vs_lean	lnptg000902l1	rfNC0523291	36
reference_vs_lean	lnptg001762l1	rfNC0523241	36
reference_vs_lean	lnptg001933l1	rfNC0523181	36
reference_vs_lean	lnptg003031l1	rfNC0523381	36
reference_vs_lean	lnptg005107l1	rfNC0523461	36
reference_vs_lean	lnptg005385l1	rfNC0523481	36
reference_vs_lean	lnptg000242l1	rfNC0523371	35
reference_vs_lean	lnptg000309l1	rfNC0523311	35
reference_vs_lean	lnptg000385l1	rfNC0523141	35
reference_vs_lean	lnptg000911l1	rfNC0523261	35
reference_vs_lean	lnptg001267l1	rfNC0523261	35
reference_vs_lean	lnptg001335l1	rfNC0523121	35
reference_vs_lean	lnptg001522l1	rfNC0523081	35
reference_vs_lean	lnptg001526l1	rfNC0523301	35
reference_vs_lean	lnptg002522l1	rfNC0523221	35
reference_vs_lean	lnptg002552l1	rfNC0523131	35
reference_vs_lean	lnptg005974l1	rfNC0523471	35
reference_vs_lean	lnptg000108l1	rfNC0523171	34
reference_vs_lean	lnptg000329l1	rfNC0523081	34
reference_vs_lean	lnptg000834l1	rfNC0523081	34
reference_vs_lean	lnptg001011l1	rfNC0523311	34
reference_vs_lean	lnptg001568l1	rfNC0523471	34
reference_vs_lean	lnptg001805l1	rfNC0523111	34
reference_vs_lean	lnptg001819l1	rfNC0523171	34
reference_vs_lean	lnptg002037l1	rfNC0523241	34
reference_vs_lean	lnptg000412l1	rfNC0523201	33
reference_vs_lean	lnptg000501l1	rfNC0523141	33
reference_vs_lean	lnptg000813l1	rfNC0523401	33
reference_vs_lean	lnptg001190l1	rfNC0523371	33
reference_vs_lean	lnptg001507l1	rfNC0523211	33
reference_vs_lean	lnptg001509l1	rfNC0523081	33
reference_vs_lean	lnptg001798l1	rfNC0523441	33
reference_vs_lean	lnptg002468l1	rfNC0523121	33
reference_vs_lean	lnptg002664l1	rfNC0523261	33
reference_vs_lean	lnptg003357l1	rfNC0523201	33
reference_vs_lean	lnptg007729l1	rfNC0523481	33
reference_vs_lean	lnptg026149l1	rfNC0523091	33
reference_vs_lean	lnptg000172l1	rfNC0523091	32
reference_vs_lean	lnptg000336l1	rfNC0523161	32
reference_vs_lean	lnptg000372l1	rfNC0523161	32
reference_vs_lean	lnptg000904l1	rfNC0523101	32
reference_vs_lean	lnptg000988l1	rfNC0523271	32
reference_vs_lean	lnptg001268l1	rfNC0523431	32
reference_vs_lean	lnptg002055l1	rfNC0523371	32
reference_vs_lean	lnptg002071l1	rfNC0523271	32
reference_vs_lean	lnptg002081l1	rfNC0523211	32
reference_vs_lean	lnptg002137l1	rfNC0523121	32
reference_vs_lean	lnptg002358l1	rfNC0523171	32
reference_vs_lean	lnptg008961l1	rfNC0523081	32
reference_vs_lean	lnptg000049l1	rfNC0523291	31
reference_vs_lean	lnptg000314l1	rfNC0523361	31
reference_vs_lean	lnptg000374l1	rfNC0523131	31
reference_vs_lean	lnptg000398l1	rfNC0523421	31
reference_vs_lean	lnptg000538l1	rfNC0523131	31
reference_vs_lean	lnptg000560l1	rfNC0523171	31
reference_vs_lean	lnptg000597l1	rfNC0523201	31
reference_vs_lean	lnptg000684l1	rfNC0523291	31
reference_vs_lean	lnptg000912l1	rfNC0523271	31
reference_vs_lean	lnptg001214l1	rfNC0523171	31
reference_vs_lean	lnptg001273l1	rfNC0523091	31
reference_vs_lean	lnptg001452l1	rfNC0523241	31
reference_vs_lean	lnptg001757l1	rfNC0523101	31
reference_vs_lean	lnptg001948l1	rfNC0523181	31
reference_vs_lean	lnptg002013l1	rfNC0523271	31
reference_vs_lean	lnptg002115l1	rfNC0523431	31
reference_vs_lean	lnptg002320l1	rfNC0523471	31
reference_vs_lean	lnptg002505l1	rfNC0523081	31
reference_vs_lean	lnptg002969l1	rfNC0523181	31
reference_vs_lean	lnptg003419l1	rfNC0523091	31
reference_vs_lean	lnptg003433l1	rfNC0523421	31
reference_vs_lean	lnptg000179l1	rfNC0523251	30
reference_vs_lean	lnptg000317l1	rfNC0523351	30
reference_vs_lean	lnptg000323l1	rfNC0523161	30
reference_vs_lean	lnptg000331l1	rfNC0523151	30
reference_vs_lean	lnptg000403l1	rfNC0523341	30
reference_vs_lean	lnptg000500l1	rfNC0523231	30
reference_vs_lean	lnptg000531l1	rfNC0523181	30
reference_vs_lean	lnptg000631l1	rfNC0523401	30
reference_vs_lean	lnptg000718l1	rfNC0523231	30
reference_vs_lean	lnptg000802l1	rfNC0523341	30
reference_vs_lean	lnptg000807l1	rfNC0523301	30
reference_vs_lean	lnptg000974l1	rfNC0523461	30
reference_vs_lean	lnptg001533l1	rfNC0523111	30
reference_vs_lean	lnptg001712l1	rfNC0523091	30
reference_vs_lean	lnptg001904l1	rfNC0523091	30
reference_vs_lean	lnptg002453l1	rfNC0523451	30
reference_vs_lean	lnptg003434l1	rfNC0523201	30
reference_vs_lean	lnptg004047l1	rfNC0523101	30
reference_vs_lean	lnptg012655l1	rfNC0523301	30
reference_vs_lean	lnptg000247l1	rfNC0523281	29
reference_vs_lean	lnptg000310l1	rfNC0523401	29
reference_vs_lean	lnptg000404l1	rfNC0523271	29
reference_vs_lean	lnptg000459l1	rfNC0523411	29
reference_vs_lean	lnptg000689l1	rfNC0523381	29
reference_vs_lean	lnptg000744l1	rfNC0523461	29
reference_vs_lean	lnptg000762l1	rfNC0523101	29
reference_vs_lean	lnptg001334l1	rfNW0240580971	29
reference_vs_lean	lnptg001656l1	rfNC0523311	29
reference_vs_lean	lnptg002807l1	rfNC0523401	29
reference_vs_lean	lnptg000015l1	rfNC0523331	28
reference_vs_lean	lnptg000077l1	rfNC0523481	28
reference_vs_lean	lnptg000127l1	rfNC0523141	28
reference_vs_lean	lnptg000360l1	rfNC0523091	28
reference_vs_lean	lnptg000440l1	rfNC0523331	28
reference_vs_lean	lnptg000474l1	rfNC0523101	28
reference_vs_lean	lnptg000615l1	rfNC0523101	28
reference_vs_lean	lnptg000632l1	rfNC0523381	28
reference_vs_lean	lnptg000783l1	rfNC0523331	28
reference_vs_lean	lnptg000794l1	rfNC0523241	28
reference_vs_lean	lnptg000806l1	rfNC0523101	28
reference_vs_lean	lnptg000871l1	rfNC0523331	28
reference_vs_lean	lnptg000941l1	rfNC0523221	28
reference_vs_lean	lnptg000986l1	rfNC0523171	28
reference_vs_lean	lnptg001184l1	rfNC0523431	28
reference_vs_lean	lnptg001495l1	rfNC0523251	28
reference_vs_lean	lnptg001687l1	rfNC0523371	28
reference_vs_lean	lnptg001832l1	rfNC0523201	28
reference_vs_lean	lnptg001971l1	rfNC0523161	28
reference_vs_lean	lnptg002208l1	rfNC0523091	28
reference_vs_lean	lnptg004551l1	rfNC0523201	28
reference_vs_lean	lnptg004591l1	rfNC0523331	28
reference_vs_lean	lnptg006003l1	rfNC0523191	28
reference_vs_lean	lnptg006516l1	rfNC0523181	28
reference_vs_lean	lnptg007530l1	rfNC0523161	28
reference_vs_lean	lnptg000045l1	rfNC0523241	27
reference_vs_lean	lnptg000712l1	rfNC0523411	27
reference_vs_lean	lnptg000873l1	rfNC0523221	27
reference_vs_lean	lnptg001460l1	rfNC0523171	27
reference_vs_lean	lnptg001823l1	rfNC0523201	27
reference_vs_lean	lnptg001891l1	rfNC0523091	27
reference_vs_lean	lnptg003377l1	rfNW0240584741	27
reference_vs_lean	lnptg003930l1	rfNC0523231	27
reference_vs_lean	lnptg003987l1	rfNC0523461	27
reference_vs_lean	lnptg000162l1	rfNC0523451	26
reference_vs_lean	lnptg000275l1	rfNC0523131	26
reference_vs_lean	lnptg000444l1	rfNC0523081	26
reference_vs_lean	lnptg000488l1	rfNC0523091	26
reference_vs_lean	lnptg000492l1	rfNC0523321	26
reference_vs_lean	lnptg000699l1	rfNC0523411	26
reference_vs_lean	lnptg001281l1	rfNC0523331	26
reference_vs_lean	lnptg001297l1	rfNC0523201	26
reference_vs_lean	lnptg001389l1	rfNC0523191	26
reference_vs_lean	lnptg001433l1	rfNC0523181	26
reference_vs_lean	lnptg001764l1	rfNC0523451	26
reference_vs_lean	lnptg001794l1	rfNC0523311	26
reference_vs_lean	lnptg001938l1	rfNC0523291	26
reference_vs_lean	lnptg001951l1	rfNC0523181	26
reference_vs_lean	lnptg002017l1	rfNC0523281	26
reference_vs_lean	lnptg002098l1	rfNC0523431	26
reference_vs_lean	lnptg002119l1	rfNC0523091	26
reference_vs_lean	lnptg002518l1	rfNC0523261	26
reference_vs_lean	lnptg002888l1	rfNC0523321	26
reference_vs_lean	lnptg003440l1	rfNC0523371	26
reference_vs_lean	lnptg003467l1	rfNC0523241	26
reference_vs_lean	lnptg003750l1	rfNC0523071	26
reference_vs_lean	lnptg007386l1	rfNC0523131	26
reference_vs_lean	lnptg000109l1	rfNC0523431	25
reference_vs_lean	lnptg000180l1	rfNC0523361	25
reference_vs_lean	lnptg000387l1	rfNC0523111	25
reference_vs_lean	lnptg000629l1	rfNC0523151	25
reference_vs_lean	lnptg000725l1	rfNC0523381	25
reference_vs_lean	lnptg001119l1	rfNC0523201	25
reference_vs_lean	lnptg001175l1	rfNC0523121	25
reference_vs_lean	lnptg001377l1	rfNC0523481	25
reference_vs_lean	lnptg001397l1	rfNC0523281	25
reference_vs_lean	lnptg001645l1	rfNC0523101	25
reference_vs_lean	lnptg001747l1	rfNC0523141	25
reference_vs_lean	lnptg002166l1	rfNC0523221	25
reference_vs_lean	lnptg002213l1	rfNC0523181	25
reference_vs_lean	lnptg002257l1	rfNC0523271	25
reference_vs_lean	lnptg002381l1	rfNC0523261	25
reference_vs_lean	lnptg002399l1	rfNC0523091	25
reference_vs_lean	lnptg002750l1	rfNC0523471	25
reference_vs_lean	lnptg003632l1	rfNC0523091	25
reference_vs_lean	lnptg003835l1	rfNC0523391	25
reference_vs_lean	lnptg003925l1	rfNC0523311	25
reference_vs_lean	lnptg011000l1	rfNC0523111	25
reference_vs_lean	lnptg000028l1	rfNC0523091	24
reference_vs_lean	lnptg000086l1	rfNC0523271	24
reference_vs_lean	lnptg000245l1	rfNC0523281	24
reference_vs_lean	lnptg000250l1	rfNC0523241	24
reference_vs_lean	lnptg000433l1	rfNC0523101	24
reference_vs_lean	lnptg000472l1	rfNC0523091	24
reference_vs_lean	lnptg000551l1	rfNC0523151	24
reference_vs_lean	lnptg000575l1	rfNC0523391	24
reference_vs_lean	lnptg000622l1	rfNC0523171	24
reference_vs_lean	lnptg000635l1	rfNC0523381	24
reference_vs_lean	lnptg000838l1	rfNC0523241	24
reference_vs_lean	lnptg000859l1	rfNC0523201	24
reference_vs_lean	lnptg001012l1	rfNC0523181	24
reference_vs_lean	lnptg001032l1	rfNC0523171	24
reference_vs_lean	lnptg001050l1	rfNC0523101	24
reference_vs_lean	lnptg001074l1	rfNC0523141	24
reference_vs_lean	lnptg001089l1	rfNC0523411	24
reference_vs_lean	lnptg001601l1	rfNC0523091	24
reference_vs_lean	lnptg001780l1	rfNC0523101	24
reference_vs_lean	lnptg001837l1	rfNC0523381	24
reference_vs_lean	lnptg002007l1	rfNC0523421	24
reference_vs_lean	lnptg002281l1	rfNC0523451	24
reference_vs_lean	lnptg002380l1	rfNC0523341	24
reference_vs_lean	lnptg002392l1	rfNC0523351	24
reference_vs_lean	lnptg002622l1	rfNC0523141	24
reference_vs_lean	lnptg002961l1	rfNC0523101	24
reference_vs_lean	lnptg003088l1	rfNC0523081	24
reference_vs_lean	lnptg003429l1	rfNW0240615211	24
reference_vs_lean	lnptg003623l1	rfNC0523331	24
reference_vs_lean	lnptg003802l1	rfNC0523231	24
reference_vs_lean	lnptg004003l1	rfNC0523111	24
reference_vs_lean	lnptg004682l1	rfNC0523181	24
reference_vs_lean	lnptg004925l1	rfNC0523071	24
reference_vs_lean	lnptg006620l1	rfNC0523121	24
reference_vs_lean	lnptg007682l1	rfNC0523091	24
reference_vs_lean	lnptg000376l1	rfNC0523321	23
reference_vs_lean	lnptg000419l1	rfNC0523241	23
reference_vs_lean	lnptg000514l1	rfNC0523311	23
reference_vs_lean	lnptg000550l1	rfNC0523341	23
reference_vs_lean	lnptg000771l1	rfNC0523081	23
reference_vs_lean	lnptg000863l1	rfNC0523271	23
reference_vs_lean	lnptg000931l1	rfNC0523121	23
reference_vs_lean	lnptg001286l1	rfNC0523241	23
reference_vs_lean	lnptg001367l1	rfNC0523141	23
reference_vs_lean	lnptg001499l1	rfNC0523371	23
reference_vs_lean	lnptg001537l1	rfNC0523081	23
reference_vs_lean	lnptg001902l1	rfNC0523411	23
reference_vs_lean	lnptg002295l1	rfNC0523161	23
reference_vs_lean	lnptg002596l1	rfNC0523451	23
reference_vs_lean	lnptg002624l1	rfNC0523241	23
reference_vs_lean	lnptg002688l1	rfNC0523081	23
reference_vs_lean	lnptg002732l1	rfNW0240588971	23
reference_vs_lean	lnptg003879l1	rfNC0523431	23
reference_vs_lean	lnptg007525l1	rfNC0523311	23
reference_vs_lean	lnptg008335l1	rfNC0523311	23
reference_vs_lean	lnptg021632l1	rfNC0523091	23
reference_vs_lean	lnptg000128l1	rfNC0523471	22
reference_vs_lean	lnptg000324l1	rfNC0523261	22
reference_vs_lean	lnptg000416l1	rfNC0523261	22
reference_vs_lean	lnptg000457l1	rfNC0523281	22
reference_vs_lean	lnptg000578l1	rfNC0523341	22
reference_vs_lean	lnptg000617l1	rfNC0523211	22
reference_vs_lean	lnptg000746l1	rfNC0523081	22
reference_vs_lean	lnptg001064l1	rfNC0523431	22
reference_vs_lean	lnptg001116l1	rfNC0523101	22
reference_vs_lean	lnptg001270l1	rfNC0523121	22
reference_vs_lean	lnptg001312l1	rfNC0523111	22
reference_vs_lean	lnptg001368l1	rfNC0523281	22
reference_vs_lean	lnptg002253l1	rfNC0523081	22
reference_vs_lean	lnptg002495l1	rfNC0523421	22
reference_vs_lean	lnptg002614l1	rfNC0523111	22
reference_vs_lean	lnptg002671l1	rfNC0523201	22
reference_vs_lean	lnptg002813l1	rfNC0523261	22
reference_vs_lean	lnptg003517l1	rfNC0523091	22
reference_vs_lean	lnptg003557l1	rfNC0523201	22
reference_vs_lean	lnptg003630l1	rfNC0523141	22
reference_vs_lean	lnptg004471l1	rfNC0523401	22
reference_vs_lean	lnptg004864l1	rfNC0523141	22
reference_vs_lean	lnptg005066l1	rfNC0523471	22
reference_vs_lean	lnptg005768l1	rfNC0523111	22
reference_vs_lean	lnptg006278l1	rfNC0523321	22
reference_vs_lean	lnptg000236l1	rfNC0523291	21
reference_vs_lean	lnptg000344l1	rfNC0523101	21
reference_vs_lean	lnptg000403l1	rfNW0240613631	21
reference_vs_lean	lnptg000451l1	rfNC0523141	21
reference_vs_lean	lnptg000670l1	rfNC0523291	21
reference_vs_lean	lnptg000843l1	rfNC0523081	21
reference_vs_lean	lnptg000899l1	rfNC0523101	21
reference_vs_lean	lnptg000977l1	rfNC0523181	21
reference_vs_lean	lnptg001081l1	rfNC0523261	21
reference_vs_lean	lnptg001097l1	rfNC0523161	21
reference_vs_lean	lnptg001191l1	rfNC0523191	21
reference_vs_lean	lnptg002010l1	rfNC0523111	21
reference_vs_lean	lnptg002095l1	rfNC0523461	21
reference_vs_lean	lnptg002879l1	rfNC0523151	21
reference_vs_lean	lnptg003074l1	rfNC0523221	21
reference_vs_lean	lnptg003723l1	rfNC0523111	21
reference_vs_lean	lnptg004426l1	rfNC0523251	21
reference_vs_lean	lnptg006133l1	rfNC0523331	21
reference_vs_lean	lnptg006435l1	rfNC0523201	21
reference_vs_lean	lnptg000050l1	rfNC0523141	20
reference_vs_lean	lnptg000063l1	rfNC0523261	20
reference_vs_lean	lnptg000147l1	rfNC0523091	20
reference_vs_lean	lnptg000230l1	rfNC0523091	20
reference_vs_lean	lnptg000318l1	rfNC0523161	20
reference_vs_lean	lnptg000410l1	rfNC0523311	20
reference_vs_lean	lnptg000418l1	rfNC0523411	20
reference_vs_lean	lnptg000466l1	rfNC0523331	20
reference_vs_lean	lnptg000496l1	rfNC0523261	20
reference_vs_lean	lnptg000515l1	rfNC0523161	20
reference_vs_lean	lnptg000580l1	rfNC0523071	20
reference_vs_lean	lnptg000582l1	rfNC0523151	20
reference_vs_lean	lnptg000642l1	rfNC0523451	20
reference_vs_lean	lnptg000645l1	rfNC0523331	20
reference_vs_lean	lnptg000650l1	rfNC0523391	20
reference_vs_lean	lnptg000701l1	rfNC0523071	20
reference_vs_lean	lnptg000770l1	rfNC0523291	20
reference_vs_lean	lnptg000890l1	rfNC0523371	20
reference_vs_lean	lnptg000900l1	rfNC0523371	20
reference_vs_lean	lnptg001009l1	rfNC0523101	20
reference_vs_lean	lnptg001060l1	rfNC0523251	20
reference_vs_lean	lnptg001234l1	rfNC0523221	20
reference_vs_lean	lnptg001306l1	rfNC0523231	20
reference_vs_lean	lnptg001479l1	rfNC0523311	20
reference_vs_lean	lnptg001684l1	rfNC0523341	20
reference_vs_lean	lnptg001905l1	rfNC0523421	20
reference_vs_lean	lnptg001959l1	rfNC0523141	20
reference_vs_lean	lnptg002011l1	rfNC0523261	20
reference_vs_lean	lnptg002016l1	rfNC0523081	20
reference_vs_lean	lnptg002094l1	rfNC0523341	20
reference_vs_lean	lnptg002312l1	rfNC0523131	20
reference_vs_lean	lnptg002398l1	rfNC0523111	20
reference_vs_lean	lnptg002629l1	rfNC0523211	20
reference_vs_lean	lnptg002831l1	rfNC0523411	20
reference_vs_lean	lnptg002845l1	rfNC0523381	20
reference_vs_lean	lnptg002896l1	rfNW0240601281	20
reference_vs_lean	lnptg003162l1	rfNC0523321	20
reference_vs_lean	lnptg003181l1	rfNC0523291	20
reference_vs_lean	lnptg003474l1	rfNC0523161	20
reference_vs_lean	lnptg003513l1	rfNC0523071	20
reference_vs_lean	lnptg003645l1	rfNC0523121	20
reference_vs_lean	lnptg003808l1	rfNC0523211	20
reference_vs_lean	lnptg003911l1	rfNC0523081	20
reference_vs_lean	lnptg004060l1	rfNC0523401	20
reference_vs_lean	lnptg004781l1	rfNC0523431	20
reference_vs_lean	lnptg006246l1	rfNC0523241	20
reference_vs_lean	lnptg007732l1	rfNC0523391	20
reference_vs_lean	lnptg000154l1	rfNC0523391	19
reference_vs_lean	lnptg000168l1	rfNC0523081	19
reference_vs_lean	lnptg000283l1	rfNC0523091	19
reference_vs_lean	lnptg000334l1	rfNC0523311	19
reference_vs_lean	lnptg000403l1	rfNW0240585201	19
reference_vs_lean	lnptg000429l1	rfNC0523271	19
reference_vs_lean	lnptg000449l1	rfNC0523261	19
reference_vs_lean	lnptg000461l1	rfNC0523241	19
reference_vs_lean	lnptg000471l1	rfNC0523271	19
reference_vs_lean	lnptg000690l1	rfNC0523151	19
reference_vs_lean	lnptg000731l1	rfNW0240610981	19
reference_vs_lean	lnptg000752l1	rfNC0523141	19
reference_vs_lean	lnptg000795l1	rfNC0523131	19
reference_vs_lean	lnptg000832l1	rfNC0523411	19
reference_vs_lean	lnptg000920l1	rfNW0240613081	19
reference_vs_lean	lnptg001024l1	rfNC0523171	19
reference_vs_lean	lnptg001550l1	rfNC0523311	19
reference_vs_lean	lnptg001683l1	rfNC0523081	19
reference_vs_lean	lnptg001830l1	rfNC0523421	19
reference_vs_lean	lnptg001939l1	rfNC0523151	19
reference_vs_lean	lnptg002183l1	rfNC0523171	19
reference_vs_lean	lnptg002531l1	rfNC0523091	19
reference_vs_lean	lnptg002610l1	rfNC0523131	19
reference_vs_lean	lnptg002997l1	rfNC0523141	19
reference_vs_lean	lnptg003334l1	rfNC0523301	19
reference_vs_lean	lnptg003371l1	rfNC0523401	19
reference_vs_lean	lnptg003413l1	rfNC0523381	19
reference_vs_lean	lnptg003530l1	rfNC0523201	19
