gene_id	symbol	product	biotype	n_go	n_lines	has_phase2_line	reciprocal_pav	ecotype_only	cnv	sv	dmr	ref_pav
gene-LOC120036126	LOC120036126	unconventional myosin-X-like	protein_coding	2	3	1	0	1	0	1	0	1
gene-LOC120036138	LOC120036138	tubulin gamma-1 chain	protein_coding	14	3	1	0	1	0	1	0	1
gene-LOC120040411	LOC120040411	gastrula zinc finger protein XlCGF57.1-like	protein_coding	3	3	1	0	0	1	0	1	1
gene-LOC120041481	LOC120041481	cytohesin-1	protein_coding	2	3	1	0	1	0	1	0	1
gene-LOC120043213	LOC120043213	extracellular serine/threonine protein kinase FAM20C-like	protein_coding	3	3	1	1	0	0	1	0	1
gene-LOC120043347	LOC120043347	interferon-induced protein 44-like	protein_coding	0	3	1	0	1	0	1	0	1
gene-LOC120043357	LOC120043357	uncharacterized LOC120043357	lncRNA	0	3	1	0	1	0	1	0	1
gene-LOC120043469	LOC120043469	transmembrane protein 180-like	protein_coding	0	3	1	0	1	0	1	0	1
gene-LOC120043479	LOC120043479	immunoglobulin superfamily member 6-like	protein_coding	0	3	1	0	1	0	1	0	1
gene-LOC120043494	LOC120043494	ER lumen protein-retaining receptor 2-like	protein_coding	6	3	1	0	1	0	1	0	1
gene-LOC120044085	LOC120044085	dynein assembly factor 5, axonemal-like	protein_coding	5	3	1	0	1	0	1	0	1
gene-LOC120044111	LOC120044111	NACHT, LRR and PYD domains-containing protein 12-like	protein_coding	1	3	1	0	1	0	1	0	1
gene-LOC120044673	LOC120044673	serine/threonine-protein kinase/endoribonuclease IRE1-like	protein_coding	9	3	1	0	0	1	1	0	1
gene-LOC120044721	LOC120044721	cerebellar degeneration-related protein 2-like	protein_coding	0	3	1	0	1	0	1	0	1
gene-LOC120044851	LOC120044851	uncharacterized LOC120044851	lncRNA	0	3	1	1	0	1	1	0	0
gene-LOC120045788	LOC120045788	prostaglandin E2 receptor EP1 subtype-like	protein_coding	6	3	1	0	1	0	1	0	1
gene-LOC120047639	LOC120047639	furin-1-like	protein_coding	4	3	1	0	1	0	1	0	1
gene-LOC120048037	LOC120048037	adenylate cyclase type 2-like	protein_coding	6	3	1	0	1	0	1	0	1
gene-LOC120048047	LOC120048047	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	protein_coding	5	3	1	1	0	0	1	0	1
gene-LOC120048052	LOC120048052	granule associated Rac and RHOG effector protein 1-like	protein_coding	2	3	1	0	1	0	1	0	1
gene-LOC120048061	LOC120048061	uncharacterized LOC120048061	lncRNA	0	3	1	0	0	1	1	0	1
gene-LOC120048071	LOC120048071	uncharacterized LOC120048071	lncRNA	0	3	1	0	0	1	1	0	1
gene-LOC120048078	LOC120048078	protein LSM14 homolog A-like	protein_coding	5	3	1	0	1	0	1	0	1
gene-LOC120048085	LOC120048085	transcription initiation factor TFIID subunit 4-like	protein_coding	6	3	1	0	1	0	1	0	1
gene-LOC120048327	LOC120048327	chromodomain-helicase-DNA-binding protein 9-like	protein_coding	3	3	1	0	1	0	1	0	1
gene-LOC120048861	LOC120048861	lysosomal acid glucosylceramidase-like	protein_coding	2	3	1	0	1	0	1	0	1
gene-LOC120048863	LOC120048863	E3 ubiquitin-protein ligase RNF115-like	protein_coding	6	3	1	0	1	0	1	0	1
gene-LOC120050102	LOC120050102	ATP-binding cassette sub-family C member 9-like	protein_coding	7	3	1	0	1	0	1	0	1
gene-LOC120050135	LOC120050135	nucleosome assembly protein 1-like 1-A	protein_coding	5	3	1	1	1	0	1	0	0
gene-LOC120050139	LOC120050139	ras-related protein Rap-1b	protein_coding	7	3	1	0	1	0	1	0	1
gene-LOC120050584	LOC120050584	alpha-crystallin A chain	protein_coding	5	3	1	0	1	0	1	0	1
gene-LOC120050814	LOC120050814	filamin A-interacting protein 1-like	protein_coding	0	3	1	0	1	0	1	0	1
gene-LOC120051056	LOC120051056	myosin-7-like	protein_coding	4	3	1	0	0	1	1	1	0
gene-LOC120051410	LOC120051410	prostaglandin F2 receptor negative regulator-like	protein_coding	0	3	1	0	1	0	1	0	1
gene-LOC120051533	LOC120051533	OX-2 membrane glycoprotein-like	protein_coding	1	3	1	0	1	0	1	0	1
gene-LOC120053064	LOC120053064	CD209 antigen-like protein E	protein_coding	1	3	1	0	1	0	1	0	1
gene-LOC120053907	LOC120053907	breast cancer anti-estrogen resistance protein 1-like	protein_coding	6	3	1	0	1	0	1	0	1
gene-LOC120053918	LOC120053918	ephrin-A2-like	protein_coding	5	3	1	0	1	0	1	0	1
gene-LOC120054371	LOC120054371	lipoma-preferred partner homolog	protein_coding	3	3	1	1	0	0	1	0	1
gene-LOC120056015	LOC120056015	serine/threonine-protein kinase STK11-like	protein_coding	12	3	1	0	0	1	1	0	1
gene-LOC120056549	LOC120056549	protein naked cuticle homolog 1-like	protein_coding	3	3	1	0	1	0	1	0	1
gene-LOC120057064	LOC120057064	toll-like receptor 13	protein_coding	6	3	1	0	0	1	1	0	1
gene-LOC120057201	LOC120057201	cortexin domain-containing 1-like	protein_coding	0	3	1	0	0	1	1	0	1
gene-LOC120058008	LOC120058008	interferon-induced GTP-binding protein Mx-like	protein_coding	8	3	1	0	0	1	1	0	1
gene-LOC120059043	LOC120059043	zinc finger protein 335-like	protein_coding	7	3	1	0	1	0	1	0	1
gene-LOC120060543	LOC120060543	uncharacterized LOC120060543	lncRNA	0	3	1	0	0	1	1	0	1
gene-ada2b	ada2b	adenosine deaminase 2b	protein_coding	4	3	1	0	1	0	1	0	1
gene-adgrl1a	adgrl1a	adhesion G protein-coupled receptor L1a	protein_coding	9	3	1	0	1	0	1	0	1
gene-asap1a	asap1a	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1a	protein_coding	4	3	1	1	0	0	1	0	1
gene-bin1b	bin1b	bridging integrator 1b	protein_coding	5	3	1	0	1	0	1	0	1
gene-bnc1	bnc1	basonuclin 1	protein_coding	2	3	1	0	0	1	1	0	1
gene-cd74a	cd74a	CD74 molecule, major histocompatibility complex, class II invariant chain a	protein_coding	8	3	1	0	0	1	1	0	1
gene-crtc3	crtc3	CREB regulated transcription coactivator 3	protein_coding	6	3	1	1	0	0	1	0	1
gene-dusp27	dusp27	dual specificity phosphatase 27	protein_coding	5	3	1	0	0	1	1	0	1
gene-fam214a	fam214a	family with sequence similarity 214 member A	protein_coding	0	3	1	0	0	1	1	0	1
gene-invs	invs	inversin	protein_coding	3	3	1	0	1	0	1	0	1
gene-kiaa1549lb	kiaa1549lb	KIAA1549-like b	protein_coding	0	3	1	0	1	0	1	0	1
gene-mpp6b	mpp6b	membrane protein, palmitoylated 6b (MAGUK p55 subfamily member 6)	protein_coding	3	3	1	1	0	0	1	0	1
gene-snd1	snd1	staphylococcal nuclease and tudor domain containing 1	protein_coding	7	3	1	0	1	0	1	0	1
gene-srebf1	srebf1	sterol regulatory element binding transcription factor 1	protein_coding	5	3	1	0	0	1	1	0	1
gene-vgf	vgf	VGF nerve growth factor inducible	protein_coding	1	3	1	0	0	1	1	0	1
gene-vps50	vps50	VPS50 EARP/GARPII complex subunit	protein_coding	4	3	1	1	0	0	1	0	1
gene-LOC120032414	LOC120032414	zinc finger protein 883-like	protein_coding	5	3	0	0	0	0	1	1	1
gene-LOC120043843	LOC120043843	septin-9-like	protein_coding	8	3	0	0	0	0	1	1	1
gene-LOC120017365	LOC120017365	high choriolytic enzyme 1-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120017401	LOC120017401	transient receptor potential cation channel subfamily V member 5	protein_coding	4	2	1	0	0	1	1	0	0
gene-LOC120017433	LOC120017433	opioid growth factor receptor-like protein 1	protein_coding	2	2	1	0	1	0	1	0	0
gene-LOC120017437	LOC120017437	transcription initiation factor TFIID subunit 5-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120017443	LOC120017443	polymeric immunoglobulin receptor-like	protein_coding	0	2	1	0	1	0	0	0	1
gene-LOC120017445	LOC120017445	ATP synthase membrane subunit DAPIT, mitochondrial-like	protein_coding	1	2	1	0	1	0	1	0	0
gene-LOC120017447	LOC120017447	F-box/LRR-repeat protein 15-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120017450	LOC120017450	uncharacterized LOC120017450	lncRNA	0	2	1	0	1	0	1	0	0
gene-LOC120017459	LOC120017459	protein RRP5 homolog	protein_coding	6	2	1	0	1	0	1	0	0
gene-LOC120017465	LOC120017465	myosin heavy chain, fast skeletal muscle-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120017480	LOC120017480	target of Myb protein 1-like	protein_coding	6	2	1	0	0	1	1	0	0
gene-LOC120017495	LOC120017495	mitogen-activated protein kinase 8-like	protein_coding	6	2	1	0	0	1	1	0	0
gene-LOC120017647	LOC120017647	isoaspartyl peptidase/L-asparaginase-like	protein_coding	1	2	1	0	0	1	1	0	0
gene-LOC120017684	LOC120017684	histone-arginine methyltransferase CARM1-like	protein_coding	2	2	1	0	0	1	1	0	0
gene-LOC120017721	LOC120017721	CREB3 regulatory factor-like	protein_coding	5	2	1	0	1	0	1	0	0
gene-LOC120017751	LOC120017751	neurofilament heavy polypeptide-like	protein_coding	6	2	1	0	1	0	1	0	0
gene-LOC120017755	LOC120017755	catechol O-methyltransferase domain-containing protein 1-like	protein_coding	2	2	1	0	1	0	1	0	0
gene-LOC120017769	LOC120017769	galectin-related protein-like	protein_coding	1	2	1	0	1	0	1	0	0
gene-LOC120017770	LOC120017770	aftiphilin-like	protein_coding	4	2	1	0	0	1	1	0	0
gene-LOC120017787	LOC120017787	uncharacterized LOC120017787	lncRNA	0	2	1	0	0	1	1	0	0
gene-LOC120017807	LOC120017807	uncharacterized LOC120017807	lncRNA	0	2	1	0	0	1	1	0	0
gene-LOC120017815	LOC120017815	alpha-2-macroglobulin-like	protein_coding	3	2	1	0	0	1	1	0	0
gene-LOC120017821	LOC120017821	polymeric immunoglobulin receptor-like	protein_coding	2	2	1	0	1	0	1	0	0
gene-LOC120017841	LOC120017841	neurofilament medium polypeptide-like	protein_coding	6	2	1	0	1	0	1	0	0
gene-LOC120017851	LOC120017851	histone H1-like	protein_coding	4	2	1	0	0	1	1	0	0
gene-LOC120017858	LOC120017858	ABC transporter G family member 23-like	protein_coding	2	2	1	0	1	0	1	0	0
gene-LOC120017867	LOC120017867	protein FAM135A-like	protein_coding	1	2	1	0	1	0	1	0	0
gene-LOC120017871	LOC120017871	uncharacterized LOC120017871	lncRNA	0	2	1	0	1	0	1	0	0
gene-LOC120017876	LOC120017876	uncharacterized LOC120017876	lncRNA	0	2	1	0	0	1	1	0	0
gene-LOC120017877	LOC120017877	uncharacterized LOC120017877	lncRNA	0	2	1	0	1	0	1	0	0
gene-LOC120017878	LOC120017878	uncharacterized LOC120017878	lncRNA	0	2	1	0	0	1	1	0	0
gene-LOC120017880	LOC120017880	F-box/LRR-repeat protein 15	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120017881	LOC120017881	histone H2A	protein_coding	4	2	1	0	0	1	1	0	0
gene-LOC120017885	LOC120017885	uncharacterized LOC120017885	lncRNA	0	2	1	0	0	1	1	0	0
gene-LOC120017900	LOC120017900	histone H2B	protein_coding	4	2	1	0	0	1	1	0	0
gene-LOC120017908	LOC120017908	uncharacterized LOC120017908	protein_coding	1	2	1	0	0	1	1	0	0
gene-LOC120017911	LOC120017911	histone H2B	protein_coding	4	2	1	0	0	1	1	0	0
gene-LOC120017951	LOC120017951	histone H1-like	protein_coding	4	2	1	0	0	1	1	0	0
gene-LOC120017967	LOC120017967	NLR family CARD domain-containing protein 3-like	protein_coding	0	2	1	0	0	1	1	0	0
gene-LOC120017969	LOC120017969	fumarate hydratase, mitochondrial-like	protein_coding	6	2	1	0	1	0	1	0	0
gene-LOC120017989	LOC120017989	uncharacterized LOC120017989	lncRNA	0	2	1	0	1	0	1	0	0
gene-LOC120017990	LOC120017990	uncharacterized LOC120017990	lncRNA	0	2	1	0	1	0	1	0	0
gene-LOC120017992	LOC120017992	histone H2A	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120018058	LOC120018058	histone H4	protein_coding	5	2	1	0	0	1	1	0	0
gene-LOC120018062	LOC120018062	frizzled-4-like	protein_coding	6	2	1	0	1	0	1	0	0
gene-LOC120018085	LOC120018085	syntaxin-10-like	protein_coding	2	2	1	0	1	0	1	0	0
gene-LOC120018089	LOC120018089	lysosomal alpha-mannosidase-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120018151	LOC120018151	syntaxin-10-like	protein_coding	2	2	1	0	1	0	0	0	1
gene-LOC120018242	LOC120018242	uncharacterized LOC120018242	lncRNA	0	2	1	0	0	1	1	0	0
gene-LOC120018249	LOC120018249	spartin-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120018251	LOC120018251	40S ribosomal protein S3-like	protein_coding	6	2	1	0	1	0	1	0	0
gene-LOC120018265	LOC120018265	alpha-2-macroglobulin-like	protein_coding	3	2	1	0	0	1	1	0	0
gene-LOC120018266	LOC120018266	alpha-2-macroglobulin-like	protein_coding	3	2	1	0	0	1	1	0	0
gene-LOC120018283	LOC120018283	rho GTPase-activating protein 19-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120018285	LOC120018285	multiple epidermal growth factor-like domains protein 6	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120018286	LOC120018286	39S ribosomal protein L44, mitochondrial-like	protein_coding	6	2	1	0	1	0	1	0	0
gene-LOC120018287	LOC120018287	mitochondrial fission factor homolog B-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120018288	LOC120018288	arf-GAP domain and FG repeat-containing protein 1-like	protein_coding	1	2	1	0	1	0	1	0	0
gene-LOC120018289	LOC120018289	ladderlectin-like	protein_coding	1	2	1	0	1	0	1	0	0
gene-LOC120018326	LOC120018326	atypical kinase COQ8B, mitochondrial-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120018338	LOC120018338	myosin heavy chain, fast skeletal muscle-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120018348	LOC120018348	uncharacterized LOC120018348	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120018358	LOC120018358	tapasin-related protein-like	protein_coding	0	2	1	0	1	0	1	0	0
gene-LOC120018359	LOC120018359	gem-associated protein 4-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120018360	LOC120018360	TLC domain-containing protein 3A-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120018364	LOC120018364	serine/arginine repetitive matrix protein 2-like	protein_coding	1	2	1	0	1	0	1	0	0
gene-LOC120018496	LOC120018496	cis-aconitate decarboxylase-like	protein_coding	1	2	1	0	1	0	1	0	0
gene-LOC120018521	LOC120018521	uromodulin-like	protein_coding	5	2	1	0	0	1	1	0	0
gene-LOC120018572	LOC120018572	sodium-independent sulfate anion transporter-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120018584	LOC120018584	serine/threonine-protein kinase DCLK1-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120018587	LOC120018587	olfactory receptor 6N1-like	protein_coding	4	2	1	0	0	1	1	0	0
gene-LOC120018589	LOC120018589	olfactory receptor 1D2-like	protein_coding	4	2	1	0	0	1	1	0	0
gene-LOC120018595	LOC120018595	olfactory receptor 6N1-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120018624	LOC120018624	murinoglobulin-2-like	protein_coding	2	2	1	0	0	1	1	0	0
gene-LOC120018632	LOC120018632	thiamine transporter 2-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120018634	LOC120018634	A-kinase anchor protein SPHKAP-like	protein_coding	2	2	1	0	1	0	1	0	0
gene-LOC120018653	LOC120018653	F-box only protein 39-like	protein_coding	1	2	1	0	1	0	1	0	0
gene-LOC120018776	LOC120018776	putative nucleotidyltransferase MAB21L1	protein_coding	0	2	1	0	1	0	1	0	0
gene-LOC120018777	LOC120018777	pannexin-1-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120018783	LOC120018783	histone-lysine N-methyltransferase MECOM-like	protein_coding	5	2	1	0	1	0	1	0	0
gene-LOC120018802	LOC120018802	XIAP-associated factor 1-like	protein_coding	1	2	1	0	1	0	1	0	0
gene-LOC120018827	LOC120018827	N-sulphoglucosamine sulphohydrolase-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120018900	LOC120018900	zinc finger protein 180-like	protein_coding	0	2	1	0	1	0	0	0	1
gene-LOC120018979	LOC120018979	small nucleolar RNA SNORD15	snoRNA	0	2	1	0	1	0	1	0	0
gene-LOC120018980	LOC120018980	small nucleolar RNA SNORD15	snoRNA	0	2	1	0	1	0	1	0	0
gene-LOC120018994	LOC120018994	small nucleolar RNA SNORD15	snoRNA	0	2	1	0	1	0	1	0	0
gene-LOC120018995	LOC120018995	small nucleolar RNA SNORD15	snoRNA	0	2	1	0	1	0	1	0	0
gene-LOC120019052	LOC120019052	oocyte zinc finger protein XlCOF6-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120019104	LOC120019104	uncharacterized LOC120019104	protein_coding	7	2	1	0	1	0	1	0	0
gene-LOC120019132	LOC120019132	uncharacterized LOC120019132	protein_coding	0	2	1	0	1	0	1	0	0
gene-LOC120019133	LOC120019133	WD repeat-containing protein 20-like	protein_coding	1	2	1	0	0	1	1	0	0
gene-LOC120019140	LOC120019140	histone chaperone asf1b-B-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120019149	LOC120019149	histone chaperone asf1b-B-like	protein_coding	3	2	1	1	1	0	0	0	0
gene-LOC120019154	LOC120019154	transcription factor MafG-like	protein_coding	5	2	1	0	1	0	1	0	0
gene-LOC120019183	LOC120019183	transcription initiation factor IIA subunit 1-like	protein_coding	3	2	1	0	0	1	1	0	0
gene-LOC120019203	LOC120019203	neuropeptide B-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120019250	LOC120019250	grainyhead-like protein 1 homolog	protein_coding	4	2	1	0	0	1	1	0	0
gene-LOC120019263	LOC120019263	uncharacterized LOC120019263	lncRNA	0	2	1	0	1	0	0	0	1
gene-LOC120019291	LOC120019291	protein unc-93 homolog A-like	protein_coding	0	2	1	0	1	0	1	0	0
gene-LOC120019320	LOC120019320	uncharacterized LOC120019320	lncRNA	0	2	1	0	1	0	0	0	1
gene-LOC120019384	LOC120019384	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9-like	protein_coding	4	2	1	0	0	1	0	0	1
gene-LOC120019410	LOC120019410	myosin heavy chain, fast skeletal muscle-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120019452	LOC120019452	zinc finger BED domain-containing protein 4-like	protein_coding	2	2	1	0	0	1	1	0	0
gene-LOC120019463	LOC120019463	ribonucleoside-diphosphate reductase subunit M2	protein_coding	3	2	1	0	0	1	1	0	0
gene-LOC120019465	LOC120019465	zinc finger protein OZF-like	protein_coding	3	2	1	0	0	1	1	0	0
gene-LOC120019469	LOC120019469	uncharacterized LOC120019469	lncRNA	0	2	1	0	0	1	1	0	0
gene-LOC120019477	LOC120019477	zinc finger protein 501-like	protein_coding	0	2	1	0	0	1	1	0	0
gene-LOC120019509	LOC120019509	zinc finger protein 239-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120019531	LOC120019531	myosin heavy chain, fast skeletal muscle-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120019547	LOC120019547	uncharacterized LOC120019547	lncRNA	0	2	1	0	0	1	1	0	0
gene-LOC120019624	LOC120019624	protein GPR108-like	protein_coding	3	2	1	0	1	0	0	0	1
gene-LOC120019674	LOC120019674	lysophosphatidic acid receptor 2-like	protein_coding	3	2	1	0	1	0	1	0	0
gene-LOC120019717	LOC120019717	probable tubulin polyglutamylase TTLL2	protein_coding	5	2	1	0	0	1	1	0	0
gene-LOC120019718	LOC120019718	probable tubulin polyglutamylase TTLL2	protein_coding	5	2	1	0	1	0	1	0	0
gene-LOC120019719	LOC120019719	protein unc-93 homolog A-like	protein_coding	0	2	1	0	0	1	1	0	0
gene-LOC120019721	LOC120019721	uncharacterized LOC120019721	lncRNA	0	2	1	0	1	0	1	0	0
gene-LOC120019722	LOC120019722	uncharacterized LOC120019722	lncRNA	0	2	1	0	0	1	1	0	0
gene-LOC120019724	LOC120019724	plasminogen-like	protein_coding	5	2	1	0	0	1	1	0	0
gene-LOC120019783	LOC120019783	small nucleolar RNA SNORD94	snoRNA	0	2	1	0	0	1	1	0	0
gene-LOC120019784	LOC120019784	small nucleolar RNA SNORD94	snoRNA	0	2	1	0	0	1	1	0	0
gene-LOC120019900	LOC120019900	ubiquitin-like protein 5	protein_coding	6	2	1	0	1	0	1	0	0
gene-LOC120019936	LOC120019936	anion exchange protein 2-like	protein_coding	9	2	1	0	0	1	1	0	0
gene-LOC120019939	LOC120019939	peptidyl-prolyl cis-trans isomerase NIMA-interacting 1-like	protein_coding	4	2	1	0	1	0	1	0	0
gene-LOC120020046	LOC120020046	myosin light chain 1, cardiac muscle-like	protein_coding	2	2	1	0	0	1	1	0	0
gene-LOC120020075	LOC120020075	uncharacterized LOC120020075	lncRNA	0	2	1	0	0	1	1	0	0
gene-LOC120020198	LOC120020198	synapsin-2-like	protein_coding	4	2	1	1	0	0	1	0	0
gene-LOC120020340	LOC120020340	proline-rich protein 36-like	protein_coding	0	2	1	0	1	0	1	0	0
gene-LOC120020450	LOC120020450	proteoglycan 4-like	protein_coding	2	2	1	0	1	0	1	0	0
gene-LOC120020510	LOC120020510	supervillin-like	protein_coding	8	2	1	0	0	1	1	0	0
gene-LOC120020625	LOC120020625	regulator of G-protein signaling 5-like	protein_coding	0	2	1	0	0	1	1	0	0
gene-LOC120020628	LOC120020628	relaxin-3-like	protein_coding	2	2	1	0	0	1	1	0	0
gene-LOC120020649	LOC120020649	parathyroid hormone/parathyroid hormone-related peptide receptor-like	protein_coding	7	2	1	0	0	1	1	0	0
gene-LOC120020693	LOC120020693	myosin heavy chain, fast skeletal muscle-like	protein_coding	4	2	1	0	0	1	1	0	0
gene-LOC120020706	LOC120020706	uncharacterized LOC120020706	lncRNA	0	2	1	0	0	1	1	0	0
gene-LOC120020707	LOC120020707	uncharacterized LOC120020707	protein_coding	5	2	1	0	0	1	1	0	0
gene-LOC120020708	LOC120020708	nucleolar transcription factor 1-A-like	protein_coding	0	2	1	0	0	1	1	0	0
