gene_id	symbol	geneid	biotype	chrom	start	end	strand	is_named	product	n_go	go_bp	go_mf	go_cc	go_terms
gene-LOC120017354	LOC120017354	120017354	protein_coding	NC_052328.1	2918036	2998724	-	0	A disintegrin and metalloproteinase with thrombospondin motifs 3-like	3	1	1	1	GO:0004222|GO:0030198|GO:0031012
gene-LOC120017355	LOC120017355	120017355	protein_coding	NC_052328.1	3422623	3426100	-	0	stonustoxin subunit beta-like	1	0	1	0	GO:0005515
gene-LOC120017356	LOC120017356	120017356	protein_coding	NC_052328.1	3468098	3488694	-	0	NLR family CARD domain-containing protein 3-like	1	0	1	0	GO:0005515
gene-LOC120017357	LOC120017357	120017357	protein_coding	NC_052328.1	3523912	4183899	-	0	cadherin-23-like	3	1	1	1	GO:0005509|GO:0005886|GO:0007156
gene-LOC120017359	LOC120017359	120017359	protein_coding	NC_052328.1	5228374	5230316	+	0	gamma-crystallin S-1-like	3	2	1	0	GO:0002088|GO:0005212|GO:0007601
gene-LOC120017360	LOC120017360	120017360	protein_coding	NC_052328.1	5268236	5280376	-	0	E3 ubiquitin-protein ligase TRIM39	1	0	1	0	GO:0005515
gene-LOC120017361	LOC120017361	120017361	protein_coding	NC_052328.1	5737054	5737898	-	0	zinc metalloproteinase nas-4-like	2	1	1	0	GO:0004222|GO:0006508
gene-LOC120017362	LOC120017362	120017362	protein_coding	NC_052328.1	5742640	5755477	+	0	adenosine kinase-like	4	1	1	2	GO:0004001|GO:0005634|GO:0005829|GO:0006166
gene-LOC120017363	LOC120017363	120017363	protein_coding	NC_052328.1	5882593	5889111	-	0	golgin subfamily A member 6-like protein 22	0	0	0	0	
gene-LOC120017364	LOC120017364	120017364	protein_coding	NC_052328.1	5915088	5917161	+	0	high choriolytic enzyme 1-like	3	1	2	0	GO:0004222|GO:0006508|GO:0008270
gene-LOC120017365	LOC120017365	120017365	protein_coding	NC_052328.1	5933174	5935245	+	0	high choriolytic enzyme 1-like	3	1	2	0	GO:0004222|GO:0006508|GO:0008270
gene-LOC120017366	LOC120017366	120017366	protein_coding	NC_052328.1	5941504	5948023	-	0	golgin subfamily A member 6-like protein 22	0	0	0	0	
gene-LOC120017367	LOC120017367	120017367	protein_coding	NC_052328.1	5952123	5990762	-	0	adenosine kinase-like	4	1	1	2	GO:0004001|GO:0005634|GO:0005829|GO:0006166
gene-LOC120017370	LOC120017370	120017370	protein_coding	NC_052308.1	70188139	70196626	+	0	centromere protein K-like	3	2	0	1	GO:0000070|GO:0005634|GO:0051382
gene-LOC120017373	LOC120017373	120017373	pseudogene	NC_052328.1	7151145	7179030	-	0		0	0	0	0	
gene-LOC120017374	LOC120017374	120017374	protein_coding	NC_052328.1	7184511	7192188	+	0	palmitoyltransferase ZDHHC16A-like	3	1	1	1	GO:0005794|GO:0016409|GO:0018345
gene-LOC120017375	LOC120017375	120017375	protein_coding	NC_052328.1	7231129	7250703	+	0	ubiquitin domain-containing protein 1-like	1	0	1	0	GO:0005515
gene-LOC120017377	LOC120017377	120017377	protein_coding	NC_052328.1	7362028	7364125	-	0	pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial-like	1	0	1	0	GO:0016624
gene-LOC120017378	LOC120017378	120017378	protein_coding	NC_052328.1	7379108	7389791	-	0	growth/differentiation factor 10-like	6	2	2	2	GO:0005125|GO:0005576|GO:0005615|GO:0008083|GO:0030509|GO:0060395
gene-LOC120017379	LOC120017379	120017379	protein_coding	NC_052328.1	8327853	8339063	-	0	IQ motif and ankyrin repeat domain-containing protein 1-like	4	1	1	2	GO:0005515|GO:0005634|GO:0005737|GO:2000812
gene-LOC120017380	LOC120017380	120017380	protein_coding	NC_052308.1	70373617	70376170	-	0	protein DPCD-like	0	0	0	0	
gene-LOC120017386	LOC120017386	120017386	protein_coding	NC_052328.1	8826141	8877197	-	0	sorbin and SH3 domain-containing protein 1-like	5	1	1	3	GO:0005515|GO:0005634|GO:0005737|GO:0030055|GO:0031589
gene-LOC120017387	LOC120017387	120017387	pseudogene	NC_052328.1	9403559	9404303	+	0		0	0	0	0	
gene-LOC120017388	LOC120017388	120017388	protein_coding	NC_052328.1	10193675	10199658	+	0	protein CC2D2B-like	3	2	0	1	GO:0035869|GO:1904491|GO:1905515
gene-LOC120017389	LOC120017389	120017389	protein_coding	NC_052328.1	9889072	9904007	+	0	opsin-3-like	5	2	1	2	GO:0001750|GO:0004930|GO:0007186|GO:0007601|GO:0016020
gene-LOC120017390	LOC120017390	120017390	protein_coding	NC_052328.1	10577164	10578226	-	0	homeobox protein vent1-like	1	0	1	0	GO:0003677
gene-LOC120017391	LOC120017391	120017391	protein_coding	NC_052328.1	10654217	10719639	-	0	adhesion G protein-coupled receptor A1-like	6	2	1	3	GO:0004930|GO:0005886|GO:0007166|GO:0007186|GO:0014069|GO:0098978
gene-LOC120017392	LOC120017392	120017392	protein_coding	NC_052328.1	10785106	10800398	-	0	adhesion G protein-coupled receptor A3-like	5	1	1	3	GO:0004930|GO:0005886|GO:0007166|GO:0014069|GO:0098978
gene-LOC120017393	LOC120017393	120017393	protein_coding	NC_052328.1	11009612	11025936	-	0	gamma-aminobutyric acid receptor subunit pi-like	12	5	3	4	GO:0004890|GO:0005230|GO:0007165|GO:0007268|GO:0016020|GO:0030594|GO:0034220|GO:0042391|GO:0043005|GO:0045202|GO:0050877|GO:1902711
gene-LOC120017394	LOC120017394	120017394	pseudogene	NC_052328.1	11140912	11152930	-	0		0	0	0	0	
gene-LOC120017395	LOC120017395	120017395	protein_coding	NC_052328.1	11815906	11819132	-	0	leucine-rich repeat-containing protein 27-like	1	0	1	0	GO:0005515
gene-LOC120017396	LOC120017396	120017396	protein_coding	NC_052328.1	11819856	11997960	+	0	serine/threonine-protein kinase 32C-like	6	3	3	0	GO:0001664|GO:0004703|GO:0005524|GO:0006468|GO:0007186|GO:0009966
gene-LOC120017397	LOC120017397	120017397	protein_coding	NC_052308.1	70385088	70402899	+	0	WW domain binding protein 1-like	0	0	0	0	
gene-LOC120017399	LOC120017399	120017399	protein_coding	NC_052328.1	12655012	12719424	+	0	alpha-2,8-sialyltransferase 8F-like	4	3	1	0	GO:0003828|GO:0006486|GO:0006491|GO:0009311
gene-LOC120017400	LOC120017400	120017400	protein_coding	NC_052328.1	12730917	12774894	+	0	alpha-2,8-sialyltransferase 8F-like	4	3	1	0	GO:0003828|GO:0006486|GO:0006491|GO:0009311
gene-LOC120017401	LOC120017401	120017401	protein_coding	NC_052328.1	13649097	13673736	-	0	transient receptor potential cation channel subfamily V member 5	4	1	2	1	GO:0005262|GO:0005515|GO:0016020|GO:0098703
gene-LOC120017403	LOC120017403	120017403	protein_coding	NC_052328.1	14309712	14386414	-	0	cullin-9-like	1	0	1	0	GO:0008270
gene-LOC120017404	LOC120017404	120017404	protein_coding	NC_052328.1	14839098	14856525	-	0	uncharacterized LOC120017404	9	3	3	3	GO:0003677|GO:0003700|GO:0005515|GO:0005634|GO:0005737|GO:0006355|GO:0007165|GO:0010569|GO:0035861
gene-LOC120017405	LOC120017405	120017405	protein_coding	NC_052328.1	15065242	15120893	-	0	LIM domain-binding protein 3-like	9	3	2	4	GO:0001725|GO:0003779|GO:0005912|GO:0007507|GO:0030018|GO:0030036|GO:0031941|GO:0051371|GO:0061061
gene-LOC120017406	LOC120017406	120017406	protein_coding	NC_052328.1	15227629	15281151	-	0	inactive ubiquitin carboxyl-terminal hydrolase 54-like	2	1	1	0	GO:0004843|GO:0016579
gene-LOC120017407	LOC120017407	120017407	protein_coding	NC_052328.1	15353063	15367128	-	0	synaptopodin 2-like protein	5	1	1	3	GO:0003779|GO:0005634|GO:0015629|GO:0030018|GO:0032233
gene-LOC120017408	LOC120017408	120017408	protein_coding	NC_052308.1	70404453	70414039	+	0	arsenite methyltransferase-like	5	2	2	1	GO:0005829|GO:0009404|GO:0018872|GO:0030791|GO:0030792
gene-LOC120017409	LOC120017409	120017409	pseudogene	NC_052328.1	15370904	15374826	+	0		0	0	0	0	
gene-LOC120017412	LOC120017412	120017412	pseudogene	NC_052328.1	15749045	15760854	-	0		0	0	0	0	
gene-LOC120017413	LOC120017413	120017413	protein_coding	NC_052328.1	15762106	15771452	-	0	lymphocyte-specific helicase-like	10	5	3	2	GO:0003682|GO:0005524|GO:0005634|GO:0005721|GO:0006306|GO:0006346|GO:0031508|GO:0044027|GO:0046651|GO:0140658
gene-LOC120017414	LOC120017414	120017414	protein_coding	NC_052328.1	15869176	15886788	-	0	cGMP-dependent protein kinase 2-like	3	1	2	0	GO:0004692|GO:0005524|GO:0006468
gene-LOC120017416	LOC120017416	120017416	protein_coding	NC_052307.1	24907650	24916685	-	0	indoleamine 2,3-dioxygenase 2-like	7	2	4	1	GO:0004833|GO:0005737|GO:0019441|GO:0020037|GO:0033754|GO:0034354|GO:0046872
gene-LOC120017417	LOC120017417	120017417	protein_coding	NC_052328.1	16566683	16577445	+	0	potassium channel subfamily K member 18-like	4	2	1	1	GO:0016020|GO:0022841|GO:0030322|GO:0071805
gene-LOC120017418	LOC120017418	120017418	protein_coding	NC_052328.1	16580662	16597168	+	0	synaptic vesicular amine transporter-like	7	3	2	2	GO:0005335|GO:0015842|GO:0030672|GO:0042908|GO:0042910|GO:0043195|GO:0055085
gene-LOC120017421	LOC120017421	120017421	protein_coding	NC_052328.1	17406662	17409769	-	0	rap1 GTPase-GDP dissociation stimulator 1-like	4	1	2	1	GO:0005085|GO:0005515|GO:0005829|GO:0043547
gene-LOC120017422	LOC120017422	120017422	protein_coding	NC_052328.1	17410086	17421973	-	0	rap1 GTPase-GDP dissociation stimulator 1-like	4	1	2	1	GO:0005085|GO:0005515|GO:0005829|GO:0043547
gene-LOC120017426	LOC120017426	120017426	protein_coding	NC_052308.1	70497273	70525953	-	0	cytosolic purine 5'-nucleotidase-like	1	0	1	0	GO:0008253
gene-LOC120017429	LOC120017429	120017429	protein_coding	NC_052328.1	18433847	18473922	-	0	uncharacterized LOC120017429	7	3	2	2	GO:0009897|GO:0035723|GO:0042110|GO:0042289|GO:0045121|GO:0070374|GO:1990782
gene-LOC120017430	LOC120017430	120017430	protein_coding	NC_052328.1	19032908	19173839	-	0	protocadherin-15-like	6	3	1	2	GO:0005509|GO:0005886|GO:0007156|GO:0007605|GO:0032420|GO:0048839
gene-LOC120017431	LOC120017431	120017431	protein_coding	NC_052328.1	19756984	19759507	+	0	polymeric immunoglobulin receptor-like	0	0	0	0	
gene-LOC120017432	LOC120017432	120017432	protein_coding	NC_052328.1	19780636	19785817	+	0	uncharacterized LOC120017432	2	0	1	1	GO:0004888|GO:0005886
gene-LOC120017433	LOC120017433	120017433	protein_coding	NC_052328.1	20026880	20031760	+	0	opioid growth factor receptor-like protein 1	2	0	1	1	GO:0016020|GO:0140625
gene-LOC120017434	LOC120017434	120017434	protein_coding	NC_052328.1	20445520	20488611	+	0	uncharacterized LOC120017434	3	1	1	1	GO:0005509|GO:0005886|GO:0007156
gene-LOC120017435	LOC120017435	120017435	protein_coding	NC_052328.1	20558300	20559861	-	0	dickkopf-related protein 1-like	6	2	2	2	GO:0005576|GO:0005615|GO:0007275|GO:0039706|GO:0048019|GO:0090090
gene-LOC120017436	LOC120017436	120017436	protein_coding	NC_052328.1	20965531	20966847	+	0	interferon-induced protein with tetratricopeptide repeats 1-like	3	1	1	1	GO:0005515|GO:0005829|GO:0051607
gene-LOC120017437	LOC120017437	120017437	protein_coding	NC_052308.1	70583063	70589922	+	0	transcription initiation factor TFIID subunit 5-like	4	1	2	1	GO:0005515|GO:0005669|GO:0006367|GO:0016251
gene-LOC120017439	LOC120017439	120017439	protein_coding	NC_052328.1	21233186	21272991	-	0	E3 ubiquitin-protein ligase NEURL1-like	5	2	1	2	GO:0005886|GO:0007399|GO:0014069|GO:0045746|GO:0061630
gene-LOC120017440	LOC120017440	120017440	protein_coding	NC_052328.1	21360733	21425662	+	0	VPS10 domain-containing receptor SorCS3-like	2	0	1	1	GO:0005515|GO:0016020
gene-LOC120017441	LOC120017441	120017441	protein_coding	NC_052328.1	22963219	22965060	-	0	homeobox protein HMX2-like	4	1	2	1	GO:0000977|GO:0000981|GO:0005634|GO:0006357
gene-LOC120017442	LOC120017442	120017442	protein_coding	NC_052328.1	22972157	22973433	-	0	homeobox protein HMX3-like	4	1	2	1	GO:0000977|GO:0000981|GO:0005634|GO:0006357
gene-LOC120017443	LOC120017443	120017443	protein_coding	NC_052328.1	28728514	28739775	-	0	polymeric immunoglobulin receptor-like	0	0	0	0	
gene-LOC120017444	LOC120017444	120017444	protein_coding	NC_052328.1	810056	837342	+	0	serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform	5	1	2	2	GO:0000159|GO:0005515|GO:0005829|GO:0019888|GO:0070262
gene-LOC120017445	LOC120017445	120017445	protein_coding	NC_052308.1	70589911	70591241	-	0	ATP synthase membrane subunit DAPIT, mitochondrial-like	1	0	0	1	GO:0005753
gene-LOC120017446	LOC120017446	120017446	protein_coding	NC_052328.1	840763	847885	-	0	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	5	2	0	3	GO:0005634|GO:0005740|GO:0005741|GO:0043065|GO:0097345
gene-LOC120017447	LOC120017447	120017447	protein_coding	NC_052328.1	1500325	1522935	-	0	F-box/LRR-repeat protein 15-like	3	1	1	1	GO:0005515|GO:0019005|GO:0031146
gene-LOC120017448	LOC120017448	120017448	pseudogene	NC_052328.1	1526563	1532145	+	0		0	0	0	0	
gene-LOC120017449	LOC120017449	120017449	protein_coding	NC_052328.1	1524258	1525290	+	0	glutathione peroxidase 6-like	2	1	1	0	GO:0004602|GO:0006979
gene-LOC120017450	LOC120017450	120017450	lncRNA	NC_052328.1	1567170	1570140	-	0	uncharacterized LOC120017450	0	0	0	0	
gene-LOC120017454	LOC120017454	120017454	protein_coding	NC_052328.1	1751045	1763059	+	0	dnaJ homolog subfamily B member 12-like	5	3	1	1	GO:0005789|GO:0030433|GO:0030544|GO:0051085|GO:0071218
gene-LOC120017455	LOC120017455	120017455	protein_coding	NC_052328.1	1773691	1785708	+	0	dnaJ homolog subfamily B member 12-like	5	3	1	1	GO:0005789|GO:0030433|GO:0030544|GO:0051085|GO:0071218
gene-LOC120017456	LOC120017456	120017456	protein_coding	NC_052328.1	1796335	1810557	+	0	dnaJ homolog subfamily B member 12-like	5	3	1	1	GO:0005789|GO:0030433|GO:0030544|GO:0051085|GO:0071218
gene-LOC120017459	LOC120017459	120017459	protein_coding	NC_052308.1	70591415	70611210	+	0	protein RRP5 homolog	6	1	2	3	GO:0003723|GO:0005515|GO:0005634|GO:0005730|GO:0006364|GO:0032040
gene-LOC120017462	LOC120017462	120017462	protein_coding	NC_052328.1	2384033	2484797	-	0	A disintegrin and metalloproteinase with thrombospondin motifs 14-like	4	2	1	1	GO:0004222|GO:0006508|GO:0030198|GO:0031012
gene-LOC120017463	LOC120017463	120017463	protein_coding	NC_052328.1	2603824	2626276	+	0	myosin heavy chain, fast skeletal muscle-like	4	0	3	1	GO:0003774|GO:0005524|GO:0016459|GO:0051015
gene-LOC120017464	LOC120017464	120017464	protein_coding	NC_052328.1	2642351	2663986	+	0	myosin heavy chain, fast skeletal muscle-like	4	0	3	1	GO:0003774|GO:0005524|GO:0016459|GO:0051015
gene-LOC120017465	LOC120017465	120017465	protein_coding	NC_052328.1	2678765	2699363	-	0	myosin heavy chain, fast skeletal muscle-like	4	0	3	1	GO:0003774|GO:0005524|GO:0016459|GO:0051015
gene-LOC120017466	LOC120017466	120017466	protein_coding	NC_052328.1	2719056	2802425	+	0	DNA-directed RNA polymerase III subunit RPC1	3	1	2	0	GO:0003677|GO:0003899|GO:0006351
gene-LOC120017467	LOC120017467	120017467	protein_coding	NC_052308.1	70611327	70617859	-	0	RING finger protein 122-like	2	0	1	1	GO:0012505|GO:0061630
gene-LOC120017469	LOC120017469	120017469	protein_coding	NC_052328.1	3512945	3521689	+	0	eukaryotic translation initiation factor 3 subunit L	5	1	2	2	GO:0003743|GO:0005515|GO:0005737|GO:0005852|GO:0006413
gene-LOC120017472	LOC120017472	120017472	protein_coding	NC_052328.1	4842561	4950604	-	0	fibroblast growth factor receptor 2-like	10	5	3	2	GO:0005007|GO:0005524|GO:0006468|GO:0007275|GO:0008284|GO:0008543|GO:0016020|GO:0017134|GO:0033674|GO:0043235
gene-LOC120017473	LOC120017473	120017473	protein_coding	NC_052328.1	5040143	5214474	-	0	arginyl-tRNA--protein transferase 1	3	1	1	1	GO:0004057|GO:0005737|GO:0016598
gene-LOC120017475	LOC120017475	120017475	protein_coding	NC_052328.1	5448024	5472375	+	0	protein FAM160B1-like	0	0	0	0	
gene-LOC120017476	LOC120017476	120017476	protein_coding	NC_052328.1	5474236	5536951	-	0	serum response factor-like	4	1	3	0	GO:0000981|GO:0010736|GO:0045944|GO:0046983
gene-LOC120017477	LOC120017477	120017477	protein_coding	NC_052328.1	5544789	5731487	-	0	inactive tyrosine-protein kinase 7-like	9	3	3	3	GO:0004672|GO:0005524|GO:0005886|GO:0006468|GO:0007156|GO:0008046|GO:0030424|GO:0043025|GO:0050808
gene-LOC120017478	LOC120017478	120017478	protein_coding	NC_052328.1	5741007	5743570	+	0	trichohyalin-like	0	0	0	0	
gene-LOC120017479	LOC120017479	120017479	protein_coding	NC_052328.1	5785409	5833988	+	0	kinesin light chain 1-like	5	1	1	3	GO:0005737|GO:0005871|GO:0007018|GO:0019894|GO:0043227
gene-LOC120017480	LOC120017480	120017480	protein_coding	NC_052308.1	71049863	71057097	+	0	target of Myb protein 1-like	6	1	3	2	GO:0005768|GO:0007165|GO:0016020|GO:0030276|GO:0035091|GO:0043130
gene-LOC120017481	LOC120017481	120017481	protein_coding	NC_052328.1	5861846	5864945	-	0	vicilin-like seed storage protein At2g18540	0	0	0	0	
gene-LOC120017482	LOC120017482	120017482	protein_coding	NC_052328.1	5903467	5906558	-	0	vicilin-like seed storage protein At2g18540	0	0	0	0	
gene-LOC120017483	LOC120017483	120017483	protein_coding	NC_052328.1	5920200	5924085	-	0	golgin subfamily A member 6-like protein 22	0	0	0	0	
gene-LOC120017484	LOC120017484	120017484	lncRNA	NC_052328.1	5973414	5975986	-	0	uncharacterized LOC120017484	0	0	0	0	
gene-LOC120017492	LOC120017492	120017492	protein_coding	NC_052328.1	6250786	6254239	+	0	C-X-C motif chemokine 9-like	3	1	1	1	GO:0005576|GO:0006955|GO:0008009
gene-LOC120017495	LOC120017495	120017495	protein_coding	NC_052328.1	6788025	6799005	-	0	mitogen-activated protein kinase 8-like	6	2	2	2	GO:0004705|GO:0005524|GO:0005634|GO:0005737|GO:0006468|GO:0007254
gene-LOC120017496	LOC120017496	120017496	protein_coding	NC_052328.1	6808107	6826826	-	0	mitogen-activated protein kinase 8-like	6	2	2	2	GO:0004705|GO:0005524|GO:0005634|GO:0005737|GO:0006468|GO:0007254
gene-LOC120017497	LOC120017497	120017497	protein_coding	NC_052328.1	6865581	6899359	-	0	prominin-1-A-like	6	0	1	5	GO:0005902|GO:0005929|GO:0009986|GO:0015485|GO:0016324|GO:0071914
gene-LOC120017498	LOC120017498	120017498	protein_coding	NC_052328.1	6909396	6954203	-	0	LIM domain-binding protein 1-like	6	3	1	2	GO:0000122|GO:0005634|GO:0005667|GO:0007399|GO:0030274|GO:0045944
gene-LOC120017499	LOC120017499	120017499	protein_coding	NC_052328.1	6964624	7012361	+	0	peroxisome proliferator-activated receptor gamma coactivator-related protein 1-like	6	2	3	1	GO:0003723|GO:0005634|GO:0008134|GO:0030374|GO:0045944|GO:0051091
gene-LOC120017500	LOC120017500	120017500	protein_coding	NC_052328.1	7032186	7063876	+	0	protein O-GlcNAcase-like	2	1	1	0	GO:0009100|GO:0016231
gene-LOC120017501	LOC120017501	120017501	protein_coding	NC_052328.1	7086295	7112600	-	0	suppressor of fused homolog	4	1	1	2	GO:0005634|GO:0005737|GO:0008134|GO:0042994
gene-LOC120017502	LOC120017502	120017502	protein_coding	NC_052308.1	71071325	71076446	+	0	mpv17-like protein	2	0	0	2	GO:0005737|GO:0016020
gene-LOC120017504	LOC120017504	120017504	protein_coding	NC_052328.1	7289903	7345440	-	0	anthrax toxin receptor 1-like	2	0	1	1	GO:0016020|GO:0038023
gene-LOC120017510	LOC120017510	120017510	protein_coding	NC_052328.1	8358312	8385212	+	0	protein FAM83H-like	5	3	1	1	GO:0030335|GO:0044380|GO:0045095|GO:0045104|GO:1990254
gene-LOC120017512	LOC120017512	120017512	protein_coding	NC_052328.1	8446106	8448742	-	0	cytochrome c oxidase subunit 5B, mitochondrial	3	1	0	2	GO:0005740|GO:0005751|GO:0006123
gene-LOC120017513	LOC120017513	120017513	protein_coding	NC_052328.1	8455296	8464882	+	0	NAD-dependent protein deacetylase sirtuin-1-like	1	0	1	0	GO:0070403
gene-LOC120017517	LOC120017517	120017517	protein_coding	NC_052328.1	8616746	8634137	-	0	minichromosome maintenance complex binding protein	2	1	1	0	GO:0003682|GO:0006261
gene-LOC120017518	LOC120017518	120017518	protein_coding	NC_052328.1	8634400	8645793	+	0	SEC23 interacting protein	3	0	2	1	GO:0005515|GO:0030134|GO:0046872
