site_id	chrom	pos	meth_diff	direction	gene_id	symbol	product	biotype	location_class	in_promoter	exon_overlap	distance_bp
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-44	trnaw-cca	tRNA-Trp	tRNA	downstream<=5kb	0	0	2398
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-34	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	1946
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-43	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	1726
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-33	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	1273
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-42	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	1052
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-32	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	599
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-41	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	379
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-31	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	0
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-40	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	219
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-30	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	667
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-39	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	888
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-29	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	1336
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-38	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	1557
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-28	trnak-uuu	tRNA-Lys	tRNA	downstream<=5kb	0	0	2005
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-37	trnaw-cca	tRNA-Trp	tRNA	upstream<=5kb	0	0	2226
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-27	trnak-uuu	tRNA-Lys	tRNA	downstream<=5kb	0	0	2676
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-36	trnaw-cca	tRNA-Trp	tRNA	upstream<=5kb	0	0	2898
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-26	trnak-uuu	tRNA-Lys	tRNA	downstream<=5kb	0	0	3348
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-35	trnaw-cca	tRNA-Trp	tRNA	upstream<=5kb	0	0	3568
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-25	trnak-uuu	tRNA-Lys	tRNA	downstream<=5kb	0	0	4013
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-34	trnaw-cca	tRNA-Trp	tRNA	upstream<=5kb	0	0	4234
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-24	trnak-uuu	tRNA-Lys	tRNA	downstream<=5kb	0	0	4684
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-33	trnaw-cca	tRNA-Trp	tRNA	upstream<=5kb	0	0	4905
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnaw-cca-74	trnaw-cca	tRNA-Trp	tRNA	upstream<=5kb	0	0	4800
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnak-uuu-54	trnak-uuu	tRNA-Lys	tRNA	downstream<=5kb	0	0	4579
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnaw-cca-73	trnaw-cca	tRNA-Trp	tRNA	upstream<=5kb	0	0	3597
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnaw-cca-72	trnaw-cca	tRNA-Trp	tRNA	upstream<=5kb	0	0	3062
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnak-uuu-53	trnak-uuu	tRNA-Lys	tRNA	downstream<=5kb	0	0	2841
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnaw-cca-71	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	1857
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnak-uuu-52	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	1636
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnaw-cca-70	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	1189
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnak-uuu-51	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	968
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnaw-cca-69	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	521
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnaw-cca-68	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	0
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnak-uuu-50	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	696
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnaw-cca-67	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	1144
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnak-uuu-49	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	1366
NC_052308.1:40437800	NC_052308.1	40437800	-16.30	hypo_siscowet	gene-trnar-ccg	trnar-ccg	tRNA-Arg	tRNA	upstream<=5kb	0	0	3904
NC_052308.1:42961384	NC_052308.1	42961384	-28.79	hypo_siscowet	gene-LOC120063518	LOC120063518	uncharacterized LOC120063518	lncRNA	promoter	1	0	0
NC_052308.1:43060658	NC_052308.1	43060658	-30.70	hypo_siscowet	gene-LOC120021779	LOC120021779	protein B4-like	protein_coding	downstream<=5kb	0	0	1445
NC_052308.1:71072506	NC_052308.1	71072506	-25.01	hypo_siscowet	gene-bmerb1	bmerb1	bMERB domain containing 1	protein_coding	upstream<=5kb	0	0	4673
NC_052308.1:71072506	NC_052308.1	71072506	-25.01	hypo_siscowet	gene-LOC120017502	LOC120017502	mpv17-like protein	protein_coding	promoter	1	0	0
NC_052308.1:71187815	NC_052308.1	71187815	-17.52	hypo_siscowet	gene-LOC120017544	LOC120017544	multidrug resistance-associated protein 1-like	protein_coding	exon	0	1	0
NC_052308.1:71187815	NC_052308.1	71187815	-17.52	hypo_siscowet	gene-LOC120017566	LOC120017566	uncharacterized LOC120017566	lncRNA	intron	0	0	0
NC_052308.1:71344170	NC_052308.1	71344170	-16.21	hypo_siscowet	gene-crebbpa	crebbpa	CREB binding protein a	protein_coding	upstream<=5kb	0	0	3101
NC_052308.1:71344170	NC_052308.1	71344170	-16.21	hypo_siscowet	gene-LOC120017568	LOC120017568	adenylate cyclase type 9-like	protein_coding	exon	0	1	0
NC_052308.1:72229508	NC_052308.1	72229508	17.39	hyper_siscowet	gene-LOC120023315	LOC120023315	alpha-2-macroglobulin	protein_coding	intron	0	0	0
NC_052308.1:72230664	NC_052308.1	72230664	17.73	hyper_siscowet	gene-LOC120023315	LOC120023315	alpha-2-macroglobulin	protein_coding	intron	0	0	0
NC_052308.1:72274754	NC_052308.1	72274754	-16.51	hypo_siscowet	gene-LOC120017815	LOC120017815	alpha-2-macroglobulin-like	protein_coding	exon	0	1	0
NC_052308.1:72293880	NC_052308.1	72293880	-17.17	hypo_siscowet	gene-LOC120017922	LOC120017922		pseudogene	downstream<=5kb	0	0	2785
NC_052308.1:72362697	NC_052308.1	72362697	19.37	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4749
NC_052308.1:72362697	NC_052308.1	72362697	19.37	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3615
NC_052308.1:72362697	NC_052308.1	72362697	19.37	hyper_siscowet	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	2639
NC_052308.1:72362697	NC_052308.1	72362697	19.37	hyper_siscowet	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	2251
NC_052308.1:72362697	NC_052308.1	72362697	19.37	hyper_siscowet	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	3219
NC_052308.1:72362697	NC_052308.1	72362697	19.37	hyper_siscowet	gene-LOC120017932	LOC120017932	histone H1	protein_coding	upstream<=5kb	0	0	4818
NC_052308.1:72362725	NC_052308.1	72362725	18.10	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4721
NC_052308.1:72362725	NC_052308.1	72362725	18.10	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3587
NC_052308.1:72362725	NC_052308.1	72362725	18.10	hyper_siscowet	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	2611
NC_052308.1:72362725	NC_052308.1	72362725	18.10	hyper_siscowet	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	2279
NC_052308.1:72362725	NC_052308.1	72362725	18.10	hyper_siscowet	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	3247
NC_052308.1:72362725	NC_052308.1	72362725	18.10	hyper_siscowet	gene-LOC120017932	LOC120017932	histone H1	protein_coding	upstream<=5kb	0	0	4846
NC_052308.1:72362745	NC_052308.1	72362745	16.19	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4701
NC_052308.1:72362745	NC_052308.1	72362745	16.19	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3567
NC_052308.1:72362745	NC_052308.1	72362745	16.19	hyper_siscowet	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	2591
NC_052308.1:72362745	NC_052308.1	72362745	16.19	hyper_siscowet	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	2299
NC_052308.1:72362745	NC_052308.1	72362745	16.19	hyper_siscowet	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	3267
NC_052308.1:72362745	NC_052308.1	72362745	16.19	hyper_siscowet	gene-LOC120017932	LOC120017932	histone H1	protein_coding	upstream<=5kb	0	0	4866
NC_052308.1:72362801	NC_052308.1	72362801	17.07	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4645
NC_052308.1:72362801	NC_052308.1	72362801	17.07	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3511
NC_052308.1:72362801	NC_052308.1	72362801	17.07	hyper_siscowet	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	2535
NC_052308.1:72362801	NC_052308.1	72362801	17.07	hyper_siscowet	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	2355
NC_052308.1:72362801	NC_052308.1	72362801	17.07	hyper_siscowet	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	3323
NC_052308.1:72362801	NC_052308.1	72362801	17.07	hyper_siscowet	gene-LOC120017932	LOC120017932	histone H1	protein_coding	upstream<=5kb	0	0	4922
NC_052308.1:72362904	NC_052308.1	72362904	16.45	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4542
NC_052308.1:72362904	NC_052308.1	72362904	16.45	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3408
NC_052308.1:72362904	NC_052308.1	72362904	16.45	hyper_siscowet	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	2432
NC_052308.1:72362904	NC_052308.1	72362904	16.45	hyper_siscowet	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	2458
NC_052308.1:72362904	NC_052308.1	72362904	16.45	hyper_siscowet	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	3426
NC_052308.1:72362915	NC_052308.1	72362915	16.53	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4531
NC_052308.1:72362915	NC_052308.1	72362915	16.53	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3397
NC_052308.1:72362915	NC_052308.1	72362915	16.53	hyper_siscowet	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	2421
NC_052308.1:72362915	NC_052308.1	72362915	16.53	hyper_siscowet	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	2469
NC_052308.1:72362915	NC_052308.1	72362915	16.53	hyper_siscowet	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	3437
NC_052308.1:72362930	NC_052308.1	72362930	17.98	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4516
NC_052308.1:72362930	NC_052308.1	72362930	17.98	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3382
NC_052308.1:72362930	NC_052308.1	72362930	17.98	hyper_siscowet	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	2406
NC_052308.1:72362930	NC_052308.1	72362930	17.98	hyper_siscowet	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	2484
NC_052308.1:72362930	NC_052308.1	72362930	17.98	hyper_siscowet	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	3452
NC_052308.1:72362980	NC_052308.1	72362980	17.72	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4466
NC_052308.1:72362980	NC_052308.1	72362980	17.72	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3332
NC_052308.1:72362980	NC_052308.1	72362980	17.72	hyper_siscowet	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	2356
NC_052308.1:72362980	NC_052308.1	72362980	17.72	hyper_siscowet	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	2534
NC_052308.1:72362980	NC_052308.1	72362980	17.72	hyper_siscowet	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	3502
NC_052308.1:72363000	NC_052308.1	72363000	19.53	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4446
NC_052308.1:72363000	NC_052308.1	72363000	19.53	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3312
NC_052308.1:72363000	NC_052308.1	72363000	19.53	hyper_siscowet	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	2336
NC_052308.1:72363000	NC_052308.1	72363000	19.53	hyper_siscowet	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	2554
NC_052308.1:72363000	NC_052308.1	72363000	19.53	hyper_siscowet	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	3522
NC_052308.1:72363017	NC_052308.1	72363017	20.28	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4429
NC_052308.1:72363017	NC_052308.1	72363017	20.28	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3295
NC_052308.1:72363017	NC_052308.1	72363017	20.28	hyper_siscowet	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	2319
NC_052308.1:72363017	NC_052308.1	72363017	20.28	hyper_siscowet	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	2571
NC_052308.1:72363017	NC_052308.1	72363017	20.28	hyper_siscowet	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	3539
NC_052308.1:72363036	NC_052308.1	72363036	20.68	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4410
NC_052308.1:72363036	NC_052308.1	72363036	20.68	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3276
NC_052308.1:72363036	NC_052308.1	72363036	20.68	hyper_siscowet	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	2300
NC_052308.1:72363036	NC_052308.1	72363036	20.68	hyper_siscowet	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	2590
NC_052308.1:72363036	NC_052308.1	72363036	20.68	hyper_siscowet	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	3558
NC_052308.1:72363073	NC_052308.1	72363073	19.74	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4373
NC_052308.1:72363073	NC_052308.1	72363073	19.74	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3239
NC_052308.1:72363073	NC_052308.1	72363073	19.74	hyper_siscowet	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	2263
NC_052308.1:72363073	NC_052308.1	72363073	19.74	hyper_siscowet	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	2627
NC_052308.1:72363073	NC_052308.1	72363073	19.74	hyper_siscowet	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	3595
NC_052308.1:72363095	NC_052308.1	72363095	16.06	hyper_siscowet	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	4351
NC_052308.1:72363095	NC_052308.1	72363095	16.06	hyper_siscowet	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	3217
