dmr_id	chrom	dmr_start	dmr_end	direction	meth_diff	n_cpgs	gene_id	symbol	product	biotype	location_class	in_promoter	exon_overlap	gene_body_overlap	distance_bp	n_go
DMR_17	NC_052341.1	4526455	4526956	hypo_siscowet	-44.54	6	gene-LOC120029926	LOC120029926	epoxide hydrolase 1-like	protein_coding	promoter	1	0	1	0	3
DMR_18	NC_052343.1	27242658	27242906	hyper_siscowet	32.77	8	gene-rbm24b	rbm24b	RNA binding motif protein 24b	protein_coding	promoter	1	1	1	0	2
DMR_19	NC_052343.1	28911863	28911945	hypo_siscowet	-16.90	4	gene-ano10a	ano10a	anoctamin 10a	protein_coding	intron	0	0	1	0	3
DMR_20	NC_052345.1	2143493	2143535	hypo_siscowet	-50.76	3	gene-LOC120032453	LOC120032453	B-cell receptor CD22-like	protein_coding	intron	0	0	1	0	2
DMR_21	NC_052345.1	3790780	3791331	hyper_siscowet	28.77	7	gene-LOC120032414	LOC120032414	zinc finger protein 883-like	protein_coding	exon	0	1	1	0	5
DMR_23	NC_052345.1	3968440	3968654	hypo_siscowet	-23.55	10	gene-LOC120032412	LOC120032412	zinc finger protein 883-like	protein_coding	downstream<=5kb	0	0	0	1967	5
DMR_24	NC_052345.1	4049178	4049420	hypo_siscowet	-16.55	4	gene-LOC120032416	LOC120032416	zinc finger protein 883-like	protein_coding	exon	0	1	1	0	4
DMR_25	NC_052345.1	4049711	4050691	hypo_siscowet	-20.86	26	gene-LOC120032416	LOC120032416	zinc finger protein 883-like	protein_coding	exon	0	1	1	0	4
DMR_30	NC_052347.1	18150575	18150722	hypo_siscowet	-17.21	3	gene-LOC120033896	LOC120033896	small G protein signaling modulator 3-like	protein_coding	promoter	1	0	1	0	1
DMR_34	NW_024057705.1	43130	43200	hypo_siscowet	-21.63	4	gene-LOC120035322	LOC120035322	olfactory receptor 4S1-like	protein_coding	downstream<=5kb	0	0	0	4085	4
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnap-agg-66	trnap-agg	tRNA-Pro	tRNA	downstream<=5kb	0	0	0	4392	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnag-ucc-80	trnag-ucc	tRNA-Gly	tRNA	upstream<=5kb	0	0	0	4033	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnap-agg-65	trnap-agg	tRNA-Pro	tRNA	downstream<=5kb	0	0	0	3200	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnag-ucc-79	trnag-ucc	tRNA-Gly	tRNA	upstream<=5kb	0	0	0	2842	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnap-agg-64	trnap-agg	tRNA-Pro	tRNA	downstream<=5kb	0	0	0	2008	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnag-ucc-78	trnag-ucc	tRNA-Gly	tRNA	promoter	1	0	0	1650	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnap-agg-63	trnap-agg	tRNA-Pro	tRNA	promoter	1	0	0	817	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnag-ucc-77	trnag-ucc	tRNA-Gly	tRNA	promoter	1	0	0	458	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnap-agg-62	trnap-agg	tRNA-Pro	tRNA	promoter	1	0	0	200	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnap-agg-61	trnap-agg	tRNA-Pro	tRNA	promoter	1	0	0	1576	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnag-ucc-76	trnag-ucc	tRNA-Gly	tRNA	downstream<=5kb	0	0	0	1934	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnap-agg-60	trnap-agg	tRNA-Pro	tRNA	upstream<=5kb	0	0	0	2767	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnag-ucc-75	trnag-ucc	tRNA-Gly	tRNA	downstream<=5kb	0	0	0	3125	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnap-agg-59	trnap-agg	tRNA-Pro	tRNA	upstream<=5kb	0	0	0	3958	0
DMR_35	NW_024057744.1	74083	74186	hypo_siscowet	-17.81	3	gene-trnag-ucc-74	trnag-ucc	tRNA-Gly	tRNA	downstream<=5kb	0	0	0	4316	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnap-agg-66	trnap-agg	tRNA-Pro	tRNA	downstream<=5kb	0	0	0	3200	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnag-ucc-80	trnag-ucc	tRNA-Gly	tRNA	upstream<=5kb	0	0	0	2841	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnap-agg-65	trnap-agg	tRNA-Pro	tRNA	downstream<=5kb	0	0	0	2008	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnag-ucc-79	trnag-ucc	tRNA-Gly	tRNA	promoter	1	0	0	1650	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnap-agg-64	trnap-agg	tRNA-Pro	tRNA	promoter	1	0	0	816	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnag-ucc-78	trnag-ucc	tRNA-Gly	tRNA	promoter	1	0	0	458	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnap-agg-63	trnap-agg	tRNA-Pro	tRNA	promoter	1	0	0	237	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnag-ucc-77	trnag-ucc	tRNA-Gly	tRNA	promoter	1	0	0	596	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnap-agg-62	trnap-agg	tRNA-Pro	tRNA	promoter	1	0	0	1428	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnap-agg-61	trnap-agg	tRNA-Pro	tRNA	upstream<=5kb	0	0	0	2804	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnag-ucc-76	trnag-ucc	tRNA-Gly	tRNA	downstream<=5kb	0	0	0	3162	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnap-agg-60	trnap-agg	tRNA-Pro	tRNA	upstream<=5kb	0	0	0	3995	0
DMR_36	NW_024057744.1	75311	75378	hypo_siscowet	-15.36	3	gene-trnag-ucc-75	trnag-ucc	tRNA-Gly	tRNA	downstream<=5kb	0	0	0	4353	0
DMR_37	NW_024057744.1	76503	76570	hypo_siscowet	-18.93	3	gene-trnap-agg-66	trnap-agg	tRNA-Pro	tRNA	downstream<=5kb	0	0	0	2008	0
DMR_37	NW_024057744.1	76503	76570	hypo_siscowet	-18.93	3	gene-trnag-ucc-80	trnag-ucc	tRNA-Gly	tRNA	promoter	1	0	0	1649	0
DMR_37	NW_024057744.1	76503	76570	hypo_siscowet	-18.93	3	gene-trnap-agg-65	trnap-agg	tRNA-Pro	tRNA	promoter	1	0	0	816	0
DMR_37	NW_024057744.1	76503	76570	hypo_siscowet	-18.93	3	gene-trnag-ucc-79	trnag-ucc	tRNA-Gly	tRNA	promoter	1	0	0	458	0
DMR_37	NW_024057744.1	76503	76570	hypo_siscowet	-18.93	3	gene-trnap-agg-64	trnap-agg	tRNA-Pro	tRNA	promoter	1	0	0	238	0
DMR_37	NW_024057744.1	76503	76570	hypo_siscowet	-18.93	3	gene-trnag-ucc-78	trnag-ucc	tRNA-Gly	tRNA	promoter	1	0	0	596	0
DMR_37	NW_024057744.1	76503	76570	hypo_siscowet	-18.93	3	gene-trnap-agg-63	trnap-agg	tRNA-Pro	tRNA	promoter	1	0	0	1429	0
DMR_37	NW_024057744.1	76503	76570	hypo_siscowet	-18.93	3	gene-trnag-ucc-77	trnag-ucc	tRNA-Gly	tRNA	promoter	1	0	0	1788	0
DMR_37	NW_024057744.1	76503	76570	hypo_siscowet	-18.93	3	gene-trnap-agg-62	trnap-agg	tRNA-Pro	tRNA	upstream<=5kb	0	0	0	2620	0
DMR_37	NW_024057744.1	76503	76570	hypo_siscowet	-18.93	3	gene-trnap-agg-61	trnap-agg	tRNA-Pro	tRNA	upstream<=5kb	0	0	0	3996	0
DMR_37	NW_024057744.1	76503	76570	hypo_siscowet	-18.93	3	gene-trnag-ucc-76	trnag-ucc	tRNA-Gly	tRNA	downstream<=5kb	0	0	0	4354	0
DMR_38	NW_024057793.1	16506	18707	hypo_siscowet	-26.03	46	gene-LOC120035744	LOC120035744	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3055	0
DMR_39	NW_024057793.1	20165	20293	hypo_siscowet	-20.52	10	gene-LOC120035749	LOC120035749	28S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4395	0
DMR_39	NW_024057793.1	20165	20293	hypo_siscowet	-20.52	10	gene-LOC120035754	LOC120035754	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3872	0
DMR_39	NW_024057793.1	20165	20293	hypo_siscowet	-20.52	10	gene-LOC120035744	LOC120035744	18S ribosomal RNA	rRNA	promoter	1	0	0	1469	0
DMR_40	NW_024057793.1	44525	44542	hypo_siscowet	-17.64	3	gene-LOC120035750	LOC120035750	28S ribosomal RNA	rRNA	promoter	1	1	1	0	0
DMR_40	NW_024057793.1	44525	44542	hypo_siscowet	-17.64	3	gene-LOC120035755	LOC120035755	5.8S ribosomal RNA	rRNA	promoter	1	0	0	1096	0
DMR_40	NW_024057793.1	44525	44542	hypo_siscowet	-17.64	3	gene-LOC120035745	LOC120035745	18S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	1817	0
DMR_41	NW_024057793.1	76027	76251	hypo_siscowet	-26.95	7	gene-LOC120035747	LOC120035747	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	2912	0
DMR_42	NW_024057793.1	77557	77635	hypo_siscowet	-23.45	7	gene-LOC120035752	LOC120035752	28S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4454	0
DMR_42	NW_024057793.1	77557	77635	hypo_siscowet	-23.45	7	gene-LOC120035757	LOC120035757	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3931	0
DMR_42	NW_024057793.1	77557	77635	hypo_siscowet	-23.45	7	gene-LOC120035747	LOC120035747	18S ribosomal RNA	rRNA	promoter	1	0	0	1528	0
DMR_43	NW_024057893.1	49429	49694	hypo_siscowet	-25.63	6	gene-LOC120036048	LOC120036048	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4684	0
DMR_43	NW_024057893.1	49429	49694	hypo_siscowet	-25.63	6	gene-LOC120036051	LOC120036051	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	2281	0
DMR_44	NW_024057893.1	50124	50447	hypo_siscowet	-27.96	8	gene-LOC120036047	LOC120036047		pseudogene	upstream<=5kb	0	0	0	4454	0
DMR_44	NW_024057893.1	50124	50447	hypo_siscowet	-27.96	8	gene-LOC120036048	LOC120036048	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3931	0
DMR_44	NW_024057893.1	50124	50447	hypo_siscowet	-27.96	8	gene-LOC120036051	LOC120036051	18S ribosomal RNA	rRNA	promoter	1	0	0	1528	0
DMR_55	NW_024058031.1	62695	63412	hypo_siscowet	-20.34	13	gene-LOC120036375	LOC120036375	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	2104	0
DMR_55	NW_024058031.1	62695	63412	hypo_siscowet	-20.34	13	gene-LOC120036374	LOC120036374	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4507	0
DMR_56	NW_024058055.1	21129	21474	hypo_siscowet	-20.70	17	gene-LOC120036470	LOC120036470	protein transport protein Sec16A-like	protein_coding	upstream<=5kb	0	0	0	4158	0
DMR_59	NW_024058159.1	21726	21800	hypo_siscowet	-30.73	3	gene-LOC120036681	LOC120036681	OCIA domain-containing protein 1-like	protein_coding	promoter	1	0	0	1885	1
DMR_59	NW_024058159.1	21726	21800	hypo_siscowet	-30.73	3	gene-LOC120036686	LOC120036686	U1 spliceosomal RNA	snRNA	promoter	1	0	0	450	0
DMR_59	NW_024058159.1	21726	21800	hypo_siscowet	-30.73	3	gene-LOC120036685	LOC120036685	U1 spliceosomal RNA	snRNA	upstream<=5kb	0	0	0	4959	0
DMR_60	NW_024058207.1	15701	15734	hyper_siscowet	16.63	5	gene-LOC120036801	LOC120036801	5S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	4935	0
DMR_60	NW_024058207.1	15701	15734	hyper_siscowet	16.63	5	gene-LOC120036788	LOC120036788		pseudogene	downstream<=5kb	0	0	0	4092	0
DMR_61	NW_024058234.1	8050	8109	hypo_siscowet	-17.92	4	gene-LOC120036895	LOC120036895		pseudogene	upstream<=5kb	0	0	0	4454	0
DMR_61	NW_024058234.1	8050	8109	hypo_siscowet	-17.92	4	gene-LOC120036893	LOC120036893	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3931	0
DMR_61	NW_024058234.1	8050	8109	hypo_siscowet	-17.92	4	gene-LOC120036897	LOC120036897	18S ribosomal RNA	rRNA	promoter	1	0	0	1528	0
DMR_62	NW_024058275.1	61264	61344	hypo_siscowet	-22.62	4	gene-LOC120037005	LOC120037005		pseudogene	promoter	1	0	0	378	0
DMR_63	NW_024058275.1	61622	63075	hypo_siscowet	-28.85	30	gene-LOC120037005	LOC120037005		pseudogene	promoter	1	0	0	736	0
DMR_64	NW_024058275.1	64022	64406	hypo_siscowet	-23.53	6	gene-LOC120037005	LOC120037005		pseudogene	upstream<=5kb	0	0	0	3136	0
DMR_74	NW_024058595.1	7778	7953	hypo_siscowet	-18.29	3	gene-LOC120037711	LOC120037711	uncharacterized LOC120037711	protein_coding	intron	0	0	1	0	1
DMR_75	NW_024058595.1	34219	34387	hyper_siscowet	21.40	5	gene-LOC120037712	LOC120037712	zona pellucida sperm-binding protein 4-like	protein_coding	upstream<=5kb	0	0	0	4205	0
DMR_75	NW_024058595.1	34219	34387	hyper_siscowet	21.40	5	gene-LOC120037713	LOC120037713	U1 spliceosomal RNA	snRNA	promoter	1	0	0	1466	0
DMR_76	NW_024058631.1	39552	40023	hypo_siscowet	-19.65	19	gene-LOC120037768	LOC120037768	5.8S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	4315	0
DMR_76	NW_024058631.1	39552	40023	hypo_siscowet	-19.65	19	gene-LOC120037770	LOC120037770	28S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	14	0
DMR_77	NW_024058631.1	43229	43250	hypo_siscowet	-17.11	3	gene-LOC120037769	LOC120037769	18S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	1809	0
DMR_77	NW_024058631.1	43229	43250	hypo_siscowet	-17.11	3	gene-LOC120037768	LOC120037768	5.8S ribosomal RNA	rRNA	promoter	1	0	0	1088	0
DMR_77	NW_024058631.1	43229	43250	hypo_siscowet	-17.11	3	gene-LOC120037770	LOC120037770	28S ribosomal RNA	rRNA	promoter	1	1	1	0	0
DMR_78	NW_024058631.1	47966	48479	hypo_siscowet	-19.97	27	gene-LOC120037769	LOC120037769	18S ribosomal RNA	rRNA	promoter	1	0	0	1072	0
DMR_78	NW_024058631.1	47966	48479	hypo_siscowet	-19.97	27	gene-LOC120037768	LOC120037768	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3475	0
DMR_78	NW_024058631.1	47966	48479	hypo_siscowet	-19.97	27	gene-LOC120037770	LOC120037770	28S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3998	0
DMR_79	NW_024058641.1	65205	65271	hypo_siscowet	-36.37	3	gene-LOC120037787	LOC120037787	ovochymase-2-like	protein_coding	intron	0	0	1	0	2
DMR_89	NW_024058782.1	39497	39600	hypo_siscowet	-18.00	3	gene-LOC120037963	LOC120037963	18S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	4934	0
DMR_89	NW_024058782.1	39497	39600	hypo_siscowet	-18.00	3	gene-LOC120037962	LOC120037962	5.8S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	4213	0
DMR_89	NW_024058782.1	39497	39600	hypo_siscowet	-18.00	3	gene-LOC120037964	LOC120037964	28S ribosomal RNA	rRNA	exon	0	1	1	0	0
DMR_100	NW_024058826.1	33607	33958	hypo_siscowet	-21.65	9	gene-LOC120038015	LOC120038015	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4339	0
DMR_101	NW_024058826.1	34486	36410	hypo_siscowet	-24.24	40	gene-LOC120038017	LOC120038017	28S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4813	0
DMR_101	NW_024058826.1	34486	36410	hypo_siscowet	-24.24	40	gene-LOC120038013	LOC120038013	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4290	0
DMR_101	NW_024058826.1	34486	36410	hypo_siscowet	-24.24	40	gene-LOC120038015	LOC120038015	18S ribosomal RNA	rRNA	promoter	1	0	0	1887	0
DMR_102	NW_024058826.1	36710	37604	hypo_siscowet	-18.89	38	gene-LOC120038017	LOC120038017	28S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3619	0
DMR_102	NW_024058826.1	36710	37604	hypo_siscowet	-18.89	38	gene-LOC120038013	LOC120038013	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3096	0
DMR_102	NW_024058826.1	36710	37604	hypo_siscowet	-18.89	38	gene-LOC120038015	LOC120038015	18S ribosomal RNA	rRNA	promoter	1	0	0	693	0
DMR_103	NW_024058826.1	45154	45167	hypo_siscowet	-16.15	3	gene-LOC120038017	LOC120038017	28S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	0	0
DMR_103	NW_024058826.1	45154	45167	hypo_siscowet	-16.15	3	gene-LOC120038013	LOC120038013	5.8S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	4301	0
DMR_106	NW_024058840.1	35598	35858	hypo_siscowet	-24.09	8	gene-LOC120038040	LOC120038040	18S ribosomal RNA	rRNA	promoter	1	0	0	1335	0
DMR_106	NW_024058840.1	35598	35858	hypo_siscowet	-24.09	8	gene-LOC120038038	LOC120038038	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3738	0
DMR_106	NW_024058840.1	35598	35858	hypo_siscowet	-24.09	8	gene-LOC120038041	LOC120038041	28S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4261	0
DMR_108	NW_024058907.1	36601	36712	hypo_siscowet	-15.71	4	gene-LOC120038221	LOC120038221	NACHT, LRR and PYD domains-containing protein 3-like	protein_coding	downstream<=5kb	0	0	0	1368	2
DMR_109	NW_024058907.1	37270	37408	hypo_siscowet	-17.05	6	gene-LOC120038221	LOC120038221	NACHT, LRR and PYD domains-containing protein 3-like	protein_coding	downstream<=5kb	0	0	0	2037	2
DMR_110	NW_024058907.1	38793	39009	hypo_siscowet	-15.85	4	gene-LOC120038221	LOC120038221	NACHT, LRR and PYD domains-containing protein 3-like	protein_coding	downstream<=5kb	0	0	0	3560	2
DMR_111	NW_024058907.1	39507	39588	hypo_siscowet	-18.14	5	gene-LOC120038221	LOC120038221	NACHT, LRR and PYD domains-containing protein 3-like	protein_coding	downstream<=5kb	0	0	0	4274	2
DMR_118	NW_024058936.1	9363	9629	hypo_siscowet	-26.83	6	gene-LOC120038331	LOC120038331	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	2399	0
DMR_118	NW_024058936.1	9363	9629	hypo_siscowet	-26.83	6	gene-LOC120038330	LOC120038330	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4802	0
DMR_119	NW_024058936.1	10257	10618	hypo_siscowet	-24.20	3	gene-LOC120038331	LOC120038331	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3293	0
DMR_120	NW_024058936.1	10901	11902	hypo_siscowet	-25.00	23	gene-LOC120038331	LOC120038331	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3937	0
DMR_124	NW_024058945.1	24257	24964	hypo_siscowet	-22.49	17	gene-LOC120038347	LOC120038347	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4888	0
DMR_125	NW_024058945.1	27963	28324	hypo_siscowet	-21.84	8	gene-LOC120038348	LOC120038348		pseudogene	upstream<=5kb	0	0	0	4454	0
DMR_125	NW_024058945.1	27963	28324	hypo_siscowet	-21.84	8	gene-LOC120038345	LOC120038345	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3931	0
DMR_125	NW_024058945.1	27963	28324	hypo_siscowet	-21.84	8	gene-LOC120038347	LOC120038347	18S ribosomal RNA	rRNA	promoter	1	0	0	1528	0
DMR_129	NW_024058979.1	10451	10535	hypo_siscowet	-22.22	5	gene-LOC120038389	LOC120038389		pseudogene	downstream<=5kb	0	0	0	184	0
DMR_130	NW_024058979.1	21218	21440	hypo_siscowet	-21.03	10	gene-LOC120038391	LOC120038391	18S ribosomal RNA	rRNA	promoter	1	0	0	1444	0
DMR_130	NW_024058979.1	21218	21440	hypo_siscowet	-21.03	10	gene-LOC120038388	LOC120038388	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3847	0
DMR_130	NW_024058979.1	21218	21440	hypo_siscowet	-21.03	10	gene-LOC120038389	LOC120038389		pseudogene	upstream<=5kb	0	0	0	4370	0
DMR_131	NW_024058979.1	23346	24638	hypo_siscowet	-22.53	20	gene-LOC120038391	LOC120038391	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3572	0
DMR_134	NW_024058979.1	34109	34388	hypo_siscowet	-18.70	13	gene-LOC120038390	LOC120038390	5.8S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	4507	0
DMR_134	NW_024058979.1	34109	34388	hypo_siscowet	-18.70	13	gene-LOC120038393	LOC120038393	28S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	205	0
DMR_135	NW_024058979.1	37780	37797	hypo_siscowet	-16.67	3	gene-LOC120038392	LOC120038392	18S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	1819	0
DMR_135	NW_024058979.1	37780	37797	hypo_siscowet	-16.67	3	gene-LOC120038390	LOC120038390	5.8S ribosomal RNA	rRNA	promoter	1	0	0	1098	0
DMR_135	NW_024058979.1	37780	37797	hypo_siscowet	-16.67	3	gene-LOC120038393	LOC120038393	28S ribosomal RNA	rRNA	promoter	1	1	1	0	0
DMR_137	NW_024059010.1	34645	35246	hypo_siscowet	-19.34	15	gene-LOC120038434	LOC120038434	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4539	0
DMR_138	NW_024059023.1	4635	6286	hypo_siscowet	-24.51	31	gene-LOC120038479	LOC120038479	18S ribosomal RNA	rRNA	promoter	1	0	0	1521	0
DMR_138	NW_024059023.1	4635	6286	hypo_siscowet	-24.51	31	gene-LOC120038477	LOC120038477	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3924	0
DMR_139	NW_024059023.1	6606	6966	hypo_siscowet	-32.10	9	gene-LOC120038479	LOC120038479	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3492	0
DMR_140	NW_024059023.1	7248	9339	hypo_siscowet	-26.64	41	gene-LOC120038479	LOC120038479	18S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4134	0
DMR_141	NW_024059023.1	30770	30840	hypo_siscowet	-19.29	3	gene-LOC120038480	LOC120038480	18S ribosomal RNA	rRNA	promoter	1	0	0	1926	0
DMR_141	NW_024059023.1	30770	30840	hypo_siscowet	-19.29	3	gene-LOC120038478	LOC120038478	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4329	0
DMR_141	NW_024059023.1	30770	30840	hypo_siscowet	-19.29	3	gene-LOC120038481	LOC120038481		pseudogene	upstream<=5kb	0	0	0	4852	0
DMR_142	NW_024059030.1	27447	32453	hypo_siscowet	-26.97	96	gene-LOC120038491	LOC120038491	28S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	4395	0
DMR_142	NW_024059030.1	27447	32453	hypo_siscowet	-26.97	96	gene-LOC120038487	LOC120038487	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3872	0
DMR_142	NW_024059030.1	27447	32453	hypo_siscowet	-26.97	96	gene-LOC120038489	LOC120038489	18S ribosomal RNA	rRNA	promoter	1	0	0	1469	0
DMR_143	NW_024059030.1	41204	41212	hypo_siscowet	-19.60	3	gene-LOC120038491	LOC120038491	28S ribosomal RNA	rRNA	downstream<=5kb	0	0	0	425	0
