gene_id	symbol	product	biotype	lean_del_n	lean_del_bp	sisco_del_n	sisco_del_bp	lean_ins_n	sisco_ins_n	ecotype_skew_note
gene-LOC120017631	LOC120017631	GTPase IMAP family member 7-like	protein_coding	0	0	1	107	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017632	LOC120017632	bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2-like	protein_coding	6	1337	1	577	8	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017633	LOC120017633	calcium/calmodulin-dependent protein kinase type II subunit gamma	protein_coding	6	1431	4	607	8	13	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017642	LOC120017642	GTP-binding protein 2-like	protein_coding	0	0	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017644	LOC120017644	apoptosis-stimulating of p53 protein 2-like	protein_coding	1	100	1	83	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017645	LOC120017645	stromal membrane-associated protein 1-like	protein_coding	1	1002	7	1434	0	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017646	LOC120017646	uncharacterized LOC120017646	lncRNA	1	289	1	139	8	8	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017647	LOC120017647	isoaspartyl peptidase/L-asparaginase-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017648	LOC120017648	axin-1-like	protein_coding	3	424	4	903	2	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017650	LOC120017650	B-cell lymphoma/leukemia 11A-like	protein_coding	1	52	3	771	3	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017651	LOC120017651	cGMP-dependent protein kinase 1-like	protein_coding	5	572	5	442	5	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017656	LOC120017656	NACHT, LRR and PYD domains-containing protein 3-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017660	LOC120017660	SH3 and PX domain-containing protein 2A-like	protein_coding	1	4194	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017664	LOC120017664	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	protein_coding	0	0	1	64	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017669	LOC120017669	erythroid differentiation-related factor 1-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017670	LOC120017670	ubiquitin thioesterase Zranb1-like	protein_coding	0	0	0	0	1	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017671	LOC120017671	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5-like	protein_coding	1	160	3	287	13	7	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017673	LOC120017673	carbohydrate sulfotransferase 15-like	protein_coding	2	2285	0	0	5	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017675	LOC120017675	transmembrane protease serine 9-like	protein_coding	1	91	0	0	4	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017678	LOC120017678	wings apart-like protein homolog	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017680	LOC120017680	uncharacterized LOC120017680	protein_coding	2	186	1	108	3	8	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017684	LOC120017684	histone-arginine methyltransferase CARM1-like	protein_coding	7	1621	6	503	9	14	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017685	LOC120017685	protein bicaudal C homolog 1-A-like	protein_coding	2	312	10	4760	1	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017686	LOC120017686	protein FAM13C-like	protein_coding	0	0	1	234	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017689	LOC120017689	coiled-coil domain-containing protein 6-like	protein_coding	0	0	0	0	3	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017693	LOC120017693	AT-rich interactive domain-containing protein 5B-like	protein_coding	1	598	1	170	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017700	LOC120017700	tetraspanin-14-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017701	LOC120017701	GDNF family receptor alpha-1-like	protein_coding	4	280	12	2784	4	23	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017702	LOC120017702	attractin-like protein 1	protein_coding	21	14016	23	16697	27	71	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017704	LOC120017704	cilia- and flagella-associated protein 36-like	protein_coding	1	253	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017706	LOC120017706	reticulon-4-like	protein_coding	1	50	0	0	2	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017709	LOC120017709	spectrin beta chain, non-erythrocytic 1-like	protein_coding	15	2321	15	8971	23	63	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017710	LOC120017710	zinc transporter 6-like	protein_coding	8	998	6	1796	8	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017713	LOC120017713	uncharacterized LOC120017713	lncRNA	3	619	2	126	1	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017717	LOC120017717	putative ATP-dependent RNA helicase DHX57	protein_coding	4	552	7	1698	2	31	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017719	LOC120017719	mitogen-activated protein kinase kinase kinase kinase 3-like	protein_coding	14	4928	16	3389	13	39	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017720	LOC120017720	stress-induced-phosphoprotein 1-like	protein_coding	4	926	6	965	7	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017721	LOC120017721	CREB3 regulatory factor-like	protein_coding	0	0	1	58	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017723	LOC120017723	leucine zipper putative tumor suppressor 2 homolog	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017725	LOC120017725	PDZ domain-containing protein 7-like	protein_coding	1	60	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017726	LOC120017726	PDZ domain-containing protein 7-like	protein_coding	1	1749	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017727	LOC120017727	PDZ domain-containing protein 7-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017728	LOC120017728	sideroflexin-1-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017729	LOC120017729	peroxiredoxin-like 2A	protein_coding	1	443	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017730	LOC120017730	S-adenosylmethionine synthase	protein_coding	0	0	1	1414	1	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017731	LOC120017731	transmembrane protein 150A-like	protein_coding	0	0	0	0	1	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017737	LOC120017737	eukaryotic translation initiation factor 4E-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017739	LOC120017739	inorganic pyrophosphatase-like	protein_coding	1	117	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017742	LOC120017742	KH-type splicing regulatory protein	protein_coding	5	491	2	852	21	17	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017745	LOC120017745	acyl-CoA desaturase-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017748	LOC120017748	cysteine-rich protein 2-like	protein_coding	0	0	0	0	1	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017750	LOC120017750	voltage-dependent anion-selective channel protein 2-like	protein_coding	0	0	0	0	4	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017751	LOC120017751	neurofilament heavy polypeptide-like	protein_coding	2	266	2	838	0	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017752	LOC120017752	neurofilament light polypeptide-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017754	LOC120017754	catechol O-methyltransferase domain-containing protein 1-like	protein_coding	1	192	0	0	4	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017755	LOC120017755	catechol O-methyltransferase domain-containing protein 1-like	protein_coding	1	766	3	766	5	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017756	LOC120017756	catechol O-methyltransferase domain-containing protein 1-like	protein_coding	0	0	1	1856	0	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017757	LOC120017757	catechol O-methyltransferase domain-containing protein 1-like	protein_coding	1	103	1	145	3	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017758	LOC120017758		pseudogene	0	0	1	76	3	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017759	LOC120017759	catechol O-methyltransferase domain-containing protein 1-like	protein_coding	1	255	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017761	LOC120017761	E3 ubiquitin-protein ligase MARCHF8-like	protein_coding	13	2851	14	2122	28	21	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017762	LOC120017762	polyunsaturated fatty acid 5-lipoxygenase-like	protein_coding	5	1666	1	351	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017764	LOC120017764	annexin A11-like	protein_coding	2	193	1	66	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017765	LOC120017765	disks large homolog 5-like	protein_coding	24	8340	16	10072	10	14	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017766	LOC120017766	extracellular serine/threonine protein kinase FAM20C-like	protein_coding	1	153	1	51	6	9	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017767	LOC120017767	zinc finger CCHC domain-containing protein 24-like	protein_coding	7	2550	6	679	5	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017769	LOC120017769	galectin-related protein-like	protein_coding	7	958	2	321	17	7	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017770	LOC120017770	aftiphilin-like	protein_coding	5	937	2	315	11	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017774	LOC120017774	butyrophilin subfamily 2 member A1-like	protein_coding	2	2074	3	899	52	100	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017775	LOC120017775	ABC transporter G family member 23-like	protein_coding	7	2219	12	4589	49	130	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017776	LOC120017776	neutral amino acid transporter A-like	protein_coding	4	2963	9	1885	32	46	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017777	LOC120017777	homeobox protein Meis1-like	protein_coding	11	2531	16	3010	32	42	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017778	LOC120017778	FERM domain-containing protein 6-like	protein_coding	16	5042	21	12448	11	36	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017786	LOC120017786	MHC class II regulatory factor RFX1-like	protein_coding	12	4944	13	2013	13	40	lean-reference: siscowet-specific & deletion counts inflated by divergence
